ax,ay,az,gx,gy,gz,flex
20681,15710,-11669,-143,241,-334,308
15778,8679,-8923,-16,220,-152,309
16219,12131,-3226,55,212,-6,310
14601,20800,-1441,23,140,193,311
14621,23477,-1774,39,87,311,311
15945,23644,-2137,162,108,323,312
16680,25115,-2284,324,189,315,313
14670,26615,-176,283,238,429,313
12473,24958,-2461,221,187,396,314
11453,22722,-7943,333,237,297,314
11453,22722,-7943,333,237,297,314
8639,29430,-7776,414,325,110,314
-1519,-19230,-3510,286,280,-26,315
-7188,3206,215,211,-69,-198,315
853,-32185,7050,218,-267,-257,313
-11326,-4914,13228,230,131,-441,235
-6913,-609,17416,311,189,-572,312
14719,-15142,-31185,482,510,-424,313
-8325,-27105,-15387,364,572,-263,315
4334,16719,31743,-151,-199,-72,316
4746,3079,16249,-222,-295,230,315
-15768,2735,17916,-20,-72,229,311
-12914,58,18465,-11,61,91,315
-6923,-3667,18818,24,94,31,316
-2745,-2745,24045,83,71,-2,316
-2245,-735,26545,76,-13,-23,316
1676,-980,26506,28,-90,-21,317
2618,-1941,25114,14,-57,-14,317
2500,-1578,24878,20,-31,-9,317
2569,-804,24231,0,-2,0,317
1569,-598,22633,-9,-5,9,317
2490,-637,22181,-7,4,13,317
1294,-794,22338,3,51,17,317
-568,-558,22436,-2,21,5,317
804,-1706,21799,-2,-18,-3,317
2118,-2226,22907,10,-14,-5,318
2637,-1922,23339,7,-11,-7,318
2402,-1549,23015,-10,-25,1,318
2863,-1206,22064,-23,-23,2,318
2990,-1755,20975,-12,-22,7,318
2863,-1245,21328,3,-21,11,318
2118,-1294,21956,4,-5,9,318
1765,-1127,22456,-6,-19,2,318
3049,-1637,21681,-4,-19,-6,318
3461,-1598,22132,10,-14,-3,318
2696,-941,22691,4,-12,0,317
2843,-833,22181,-7,-10,-4,318
2961,-1039,22534,2,-3,-5,318
2941,-1166,22397,0,-16,-6,318
3226,-1304,22525,-5,-22,-2,319
3089,-1117,22534,-8,-21,-2,319
3285,-1245,22034,-9,-22,-2,319
3559,-1117,22172,-11,-11,-2,319
3216,-961,21936,-16,0,-2,319
3098,-1010,21750,-18,2,-1,319
2785,-1049,21691,-13,0,-5,319
2892,-1059,21770,-14,-4,-7,319
3255,-1225,21672,-18,-3,-8,319
3196,-1314,21564,-20,-7,-8,319
3647,-1186,21181,-20,-13,-6,319
3540,-1206,20828,-15,-4,-3,319
3265,-1166,21819,-7,-4,-3,319
3294,-1039,22015,-16,0,-4,319
3039,-1225,21760,-14,0,-7,319
3128,-1235,22299,-8,-8,-10,319
3618,-990,22201,-13,-17,-10,318
3520,-1147,22015,-15,-23,-8,319
3804,-1343,21907,-17,-14,-12,319
4069,-1510,21397,-13,-5,-17,319
4226,-1363,21946,-6,-10,-15,319
4138,-1225,22054,-14,-18,-15,319
4863,-1284,21701,-15,-15,-13,320
4559,-1421,21642,-13,-6,-10,320
4344,-1323,21495,-11,-14,-9,320
4540,-1304,21809,-13,-10,-9,320
4157,-1412,21789,-15,-7,-11,320
4540,-1421,21583,-16,-4,-12,320
4344,-1578,21515,-11,-2,-11,320
4422,-1363,21976,-10,-8,-12,320
4569,-1255,21779,-16,-4,-13,320
