ax,ay,az,gx,gy,gz,flex
12973,8207,8806,103,-538,1,339
14827,11669,6962,47,-572,12,361
13454,15758,1676,-4,-572,-1,405
10012,16759,-8139,47,-572,-80,453
10453,22505,-19632,283,-572,-266,526
17651,23496,-19200,490,-572,-305,553
24476,24290,-13748,530,-572,-182,560
17327,20730,-11306,359,-572,56,593
5167,14287,-19063,149,-349,163,601
2422,1559,-21524,80,-480,175,604
2422,1559,-21524,80,-480,175,604
8168,-9649,-18945,-65,-513,291,590
5824,-19514,-18259,-359,-242,420,604
-12522,31038,-30213,-572,-202,500,614
-18455,16485,25625,-572,-206,536,614
-18543,11915,22997,-558,-59,355,614
-11002,9846,27831,-356,107,36,614
3530,14681,-30291,-108,173,-215,600
16425,26125,-21113,92,365,-357,603
14925,-30056,-15680,193,572,-367,611
10875,-24035,-16347,208,572,-288,610
13317,-23172,-20279,235,572,-176,608
24143,-21603,-30566,161,572,-37,602
-31901,-20446,26105,57,572,166,582
28712,-20524,-32409,63,572,371,528
20554,-17484,-20191,31,572,470,478
12228,-2824,-21603,-264,572,437,326
22387,3451,-6874,-403,63,283,265
25300,509,833,-345,572,219,262
3795,15680,6893,-147,572,-28,265
-4079,30968,12277,-184,370,-357,281
5550,-24556,13925,-132,191,-512,289
15778,-23202,15131,-62,171,-475,294
22132,29840,8541,-25,224,-382,297
20112,15915,2147,-134,75,-185,300
25074,3696,578,-148,104,-54,302
27801,-637,4854,-21,418,-13,304
14542,2539,8992,81,410,14,307
14219,2481,13875,-8,114,67,308
18573,-2147,12091,-66,127,88,309
16366,-2500,10002,-23,164,53,310
15052,-813,10247,22,94,22,311
17357,-215,11561,15,26,28,312
16925,-588,11698,4,57,33,313
15317,-823,10551,19,52,20,314
17876,-657,10845,33,15,5,314
19544,-117,11708,31,38,7,315
18779,-235,12061,12,55,23,315
17033,-833,11385,12,60,30,316
17543,-892,11855,14,51,27,316
17690,-549,12297,8,72,22,317
16562,-647,11816,-2,77,19,317
15905,-1059,11767,0,42,2,318
17102,-686,12375,7,11,-4,318
17720,-539,12522,-11,0,-3,320
17886,-676,12081,-20,-2,-6,320
18504,-509,11963,-19,16,-4,320
18053,-617,11571,-20,30,-2,321
17229,-588,11316,-15,-4,-16,321
18435,-558,11708,-13,-42,-32,321
19808,-451,11522,-9,-28,-34,321
19808,-500,11581,-2,2,-16,321
19014,-323,11748,1,-8,6,322
18936,-78,11649,-2,-29,23,322
19200,0,11895,-19,-2,21,321
17926,-657,11277,-20,22,11,322
17671,-598,11336,-11,15,12,322
17710,-460,11738,-15,9,13,322
17602,-676,11620,-23,10,6,323
17288,-970,11365,-19,4,0,323
17955,-794,11365,-17,5,0,323
17690,-784,11277,-14,8,-1,323
17572,-676,11483,-15,-7,0,323
17916,-853,11463,-13,-13,2,323
18534,-666,11532,-8,-2,-3,324
18445,-598,11591,-17,7,-3,324
18308,-853,11532,-16,0,0,324
18926,-892,11865,-18,4,4,324
18406,-853,11345,-21,8,8,324
17994,-931,11022,-11,10,5,324
