ax,ay,az,gx,gy,gz,flex
24653,30674,-1255,-65,-338,463,353
27212,-31185,-2284,59,-379,572,316
27663,-28047,-3039,131,-330,572,288
27251,-25850,-8168,160,-239,572,260
23574,-25291,-13356,212,-166,572,248
24015,-25958,-16445,293,-125,572,232
23348,-25497,-19789,426,-13,572,238
19504,-23830,-22034,519,-42,572,227
22083,-21329,-22946,571,-54,572,241
21260,-24379,-23231,572,-26,572,252
21260,-24379,-23231,572,-26,572,252
18190,-23271,-21515,572,-59,572,249
18484,-25095,-18082,572,-125,572,246
17563,-26203,-15131,572,-119,572,256
15758,-31616,-9963,572,-156,572,254
10973,-32420,-2716,572,-147,572,270
7501,27016,4638,572,-242,572,274
9806,20220,13199,572,-273,515,270
10188,14425,20495,572,-244,456,269
8923,8786,26898,480,-179,415,268
5432,4344,30193,342,-98,322,270
2765,951,27408,205,-27,205,265
9,-4599,20220,118,-37,79,270
5775,-7707,25045,128,-61,-40,265
9698,-11208,-26566,-50,-38,-44,275
5697,-9012,10090,-289,-84,-57,268
12424,-24613,-6521,-80,-72,-97,278
12934,-16974,5766,90,113,-33,279
6982,-17661,9188,-9,56,-8,279
9933,-16808,5315,-50,-7,-4,279
10443,-17445,5638,-43,10,2,277
10345,-16788,8355,-20,9,1,282
9767,-16759,6060,-30,-5,-1,283
10384,-16896,4952,-27,-7,0,282
10296,-17102,5403,-15,2,0,278
10247,-16749,5619,-4,6,-2,281
10071,-16641,5893,-6,4,1,283
9776,-16729,5824,-13,-5,9,279
9953,-16925,5981,-9,-15,13,281
9747,-17092,5815,-3,-22,14,283
10031,-16298,6040,-5,-28,19,283
9482,-16474,5844,-15,-37,27,283
9159,-16827,5373,-8,-50,25,283
8296,-16562,5109,4,-70,15,282
8453,-16729,5109,9,-96,-2,282
10002,-17180,5275,3,-100,-8,278
11198,-17386,5040,9,-71,-1,284
10718,-17455,5628,16,-56,6,284
9943,-17180,5599,11,-55,12,282
8884,-17072,5756,10,-57,10,282
8139,-16376,6178,12,-71,1,285
9492,-15415,8335,-3,-97,-5,287
11218,-16474,8737,-4,-74,-1,287
8384,-15464,7815,12,-77,-4,288
7668,-12905,11453,40,-124,-19,289
5540,-8776,15248,10,-107,-57,286
6432,-4765,18965,-100,-54,-118,291
6570,-843,18651,-232,49,-165,293
2853,2657,14346,-351,93,-226,293
-1578,5334,9217,-415,51,-315,290
-2647,8894,6040,-443,-19,-428,294
-1667,13670,4638,-495,-48,-526,296
-1774,18543,2765,-572,-35,-572,297
-127,24408,833,-572,-9,-572,294
4354,30311,-715,-572,77,-572,306
1608,-25821,-6305,-572,175,-572,307
5344,-8856,-11483,-572,-197,-572,310
-32087,-913,-14513,-572,-346,-572,311
-29116,-14200,-17131,-572,232,-572,364
19955,-14416,-11345,-484,467,-572,409
13317,-7120,-3383,-232,391,-572,465
11816,-4600,-627,-150,428,-572,511
14376,-7620,205,-64,499,-572,538
16964,-13975,-402,16,502,-572,538
18573,-25164,-4354,60,409,-572,546
18053,30713,-5422,122,284,-489,545
12944,25967,-3334,166,147,-176,531
8855,26094,-333,154,38,40,549
4756,25722,1059,112,-28,97,549
2069,24153,1559,67,-71,79,539
