ax,ay,az,gx,gy,gz,flex
30586,-1686,10267,134,163,29,305
-31528,-78,11277,152,203,78,305
-28635,1833,13248,123,268,172,315
-28616,2137,15180,95,199,315,325
-25164,4530,18936,65,0,555,321
-31352,11424,19347,-60,-230,572,320
26222,9816,17200,-245,-459,572,310
19769,6305,13366,-288,-546,572,300
13934,6432,8894,-190,-551,572,298
7639,9688,8511,-87,-490,572,306
7639,9688,8511,-87,-490,572,306
657,14091,8423,-31,-399,572,292
-6540,16170,9080,0,-285,572,288
-18073,18739,8011,-21,-154,572,285
29881,15837,6011,-120,-52,572,285
6394,12267,-1873,-314,70,383,292
-10541,7443,-12532,-375,118,-147,293
-10414,9168,-13915,-91,185,-572,294
-9149,-27203,-1676,181,59,-572,298
29263,10718,13640,74,-333,-572,294
22544,30026,19249,-202,-243,-572,287
11551,-31832,21652,-469,-29,-572,296
-12602,28752,-4422,-572,-229,-572,289
16435,-1,31979,-572,115,-572,292
17288,24574,9581,-282,336,-406,291
-4355,17612,-30664,417,485,314,298
26025,32272,-3736,357,234,572,301
6727,-25880,1961,101,1,572,302
-18015,-13985,2549,4,-57,572,304
26418,-1109,5050,-13,-50,572,298
-549,9865,5197,-88,59,572,303
-25682,-638,2824,-173,18,572,303
16142,-16622,-1667,-161,-80,572,278
-7168,-28753,-8864,-229,-127,572,292
30695,15513,-23456,-238,158,362,296
-31743,12973,-16366,245,182,-572,290
-5765,-20584,2088,452,-22,-572,300
-29330,5932,11375,224,-265,-572,294
7040,10100,12914,118,-34,-572,293
-31969,10492,22819,180,183,-572,301
13297,18239,-29969,0,-15,-572,305
-1540,-5012,17661,-93,156,-572,304
2706,-29194,-5226,-29,8,-474,298
9590,17837,1598,31,-107,51,301
-18623,22534,10708,-108,69,572,305
19867,28379,1451,-289,-45,572,306
2225,-28920,-13101,-325,-71,572,306
-19564,-14524,-23025,-270,194,572,306
22966,-9307,-27085,-248,412,572,307
5903,-7297,-26663,-223,558,572,304
-7119,-11141,-24241,-265,571,572,302
-20161,-15504,-20838,-329,479,572,298
-29115,-23340,-15494,-333,338,572,300
24830,-27507,-11571,-348,191,572,298
10984,-32548,-13650,-437,15,572,305
5365,28046,-15150,-526,-77,572,311
3707,22917,-17690,-537,91,572,320
2933,13228,-20681,-418,148,434,335
4727,12934,-20877,-293,53,86,347
11808,21142,-17975,-382,-85,-239,358
13847,26212,-22750,-572,34,-459,405
10140,30252,-32684,-549,180,-572,444
6973,-31440,24291,-64,197,-572,480
6591,1931,-26349,468,-96,-572,526
-13209,-21859,-20730,572,-572,-572,539
-23026,-2707,32115,494,-572,-572,580
25300,10649,-29057,86,-32,-572,616
-9307,294,-9286,-572,572,-572,606
19328,9012,-18004,-413,572,-326,613
-15975,3559,-9267,12,-367,-190,596
-24781,6736,5158,238,188,-198,616
32115,5020,14797,139,291,-100,615
22701,2029,11816,36,147,-83,614
25476,882,8923,45,67,-136,612
27506,882,7609,72,60,-121,612
26163,215,9129,89,69,-75,612
22927,2020,11581,104,102,-87,608
21064,2824,11738,79,102,-88,610
20407,2049,9727,50,91,-57,606
18465,3236,7423,59,114,-28,605
