ax,ay,az,gx,gy,gz,flex
28350,23309,-8894,385,121,469,281
-32175,29958,-16062,572,133,449,270
-30979,-31646,-18073,572,142,487,243
32390,-27557,-17102,572,98,504,258
-31989,-20888,-13866,572,100,457,267
-27674,-15730,-1706,572,254,515,277
32566,-10935,7756,572,481,572,282
23427,-12445,12434,572,572,572,283
10473,-21790,16710,474,572,572,283
3716,-30234,23290,201,553,572,281
3716,-30234,23290,201,553,572,281
-1706,27340,28526,-113,572,572,282
-10649,22397,-28145,-376,572,435,289
-15984,19426,-22192,-572,436,241,296
-13660,16827,-31322,-572,74,300,300
-13826,21475,16641,-572,-220,506,300
-14189,32243,5687,-572,-332,572,295
-13395,-10033,-7472,-572,-250,572,281
-10139,7844,-14327,-572,-149,372,285
2745,23074,-26035,-572,104,164,278
-32342,-824,15269,-572,572,-38,291
-3657,15650,-1588,-572,497,-21,285
12699,539,11553,-317,1,73,285
8894,11041,23683,4,304,-106,296
11855,9208,30910,119,113,-101,300
14454,10228,-23682,118,-6,21,300
9904,8404,-20171,-23,21,46,295
9590,5932,-20985,-58,25,12,300
9933,5981,-18887,-6,0,-9,300
13218,6070,-17200,-37,-9,0,301
13297,5628,-17602,-70,29,20,302
11806,5991,-17121,-35,36,13,302
11169,6344,-16945,-9,8,-23,302
12797,6197,-17533,-19,-8,-14,303
12101,6403,-16896,-1,1,-6,303
11326,6462,-15964,15,6,-11,304
11375,6295,-14837,6,12,-8,304
10806,6197,-14287,-3,14,-3,305
11061,6256,-14356,-5,-4,-1,305
10502,5775,-15101,-9,-8,8,306
10492,6128,-15307,5,-12,4,306
9502,6374,-16102,5,-22,5,307
8933,6795,-16837,25,-37,10,307
6727,8904,-17867,47,-39,24,309
4030,11983,-19014,98,-71,28,307
6148,16945,-16866,217,-23,0,312
6050,20691,-12218,342,138,-18,297
4452,21083,-7580,424,404,-47,420
2716,20053,-4697,418,572,-80,479
2647,17886,-1078,332,572,-93,538
-1441,13758,-4785,205,572,-91,546
-68,8943,-4667,167,572,-118,549
-2539,4903,-2932,232,572,-189,549
-3412,5177,-607,283,572,-300,549
6972,5118,5570,370,572,-474,548
3863,8874,6982,375,572,-572,547
12728,11051,18318,455,319,-572,547
23525,20289,25143,385,367,-572,547
-32519,27781,24486,207,499,-572,546
17680,18024,31860,209,497,-403,545
11444,19465,-28145,214,170,-247,545
15572,25927,-31557,47,37,-355,542
8992,25927,23309,-64,-161,-572,536
7423,27104,14385,-45,-572,-572,532
15366,27379,9884,68,-572,-572,530
21240,29262,10022,127,-572,-572,529
24025,28752,9904,105,-351,-572,529
19357,25957,6442,70,131,-482,529
10237,24447,3530,21,342,-309,529
5089,23701,2314,-29,317,-171,529
2706,22946,2147,-64,189,-90,529
1931,22289,2363,-80,37,-63,528
2049,21711,2157,-68,-82,-59,528
1882,20985,1892,-42,-156,-44,528
1980,20907,2216,-21,-200,-28,527
2451,21093,2618,-11,-197,-19,527
2510,20554,2883,-14,-160,-6,527
1873,19779,3304,-10,-102,24,527
823,19975,4128,-2,-52,48,527
-166,20152,4599,-8,-25,48,526
