ax,ay,az,gx,gy,gz,flex
1882,23986,-27085,-572,-310,-78,335
1039,28301,-31978,-572,-310,-193,337
-1098,31870,28008,-572,-284,-347,337
-1382,-32617,25997,-451,-283,-516,337
-3471,32213,25782,-383,-179,-572,338
156,30929,25360,-284,-65,-572,341
6589,-32568,27841,-148,102,-572,343
13375,-26841,31312,-32,250,-572,348
18592,-19584,31038,140,362,-572,356
14493,-14494,31097,559,572,-572,376
14493,-14494,31097,559,572,-572,376
7246,-13357,-27340,572,572,-572,426
-2726,-1629,-4530,572,572,-572,494
15709,13650,22103,572,572,-572,507
24172,-30116,-21271,572,572,-556,530
-7521,-28635,-3747,572,572,-12,515
12386,30036,5903,382,134,-387,566
-4363,1490,-32656,45,-572,-408,580
29291,-8139,26741,460,-357,-351,572
24937,6315,-25301,572,464,-214,575
4324,10178,-18574,230,572,-49,564
-274,1618,-24301,-126,130,38,570
4422,-2971,28938,-159,-115,40,560
10551,-5452,23829,-33,70,27,565
4089,-3902,25525,67,193,25,560
2686,-1186,27869,60,64,-17,563
6893,-784,27595,-24,-25,-34,563
9492,-2922,23613,-51,-40,-17,562
9914,-4010,21132,5,7,13,562
7384,-3010,21848,58,50,36,562
5256,-1402,23015,3,20,35,562
5550,-1569,21613,-86,-1,18,561
7197,-3069,18779,-96,37,21,560
4559,-4197,15856,-24,78,45,560
1804,-2706,15101,25,59,45,558
2216,-303,12865,33,56,10,557
1598,-49,11855,51,67,-3,555
205,9,9502,71,66,6,546
-9,1255,7541,80,80,9,538
-2755,1441,7658,132,66,11,552
-3598,4069,8247,197,19,-3,552
-2118,6785,7109,195,-10,-34,550
-1196,7962,7805,208,-15,-58,546
-411,8963,9639,275,-1,-75,545
1941,10973,10728,339,42,-94,545
1284,12228,13130,378,111,-73,545
137,14209,15994,375,157,-41,545
-411,16131,17474,361,164,-53,544
-500,17896,19740,384,123,-79,543
794,20505,21976,379,81,-70,543
2853,21260,22770,360,81,-72,542
2853,20387,26732,428,139,-77,542
-1333,24927,28399,464,91,-97,541
892,25584,24810,355,-101,-168,541
9414,19191,26026,323,-79,-161,541
8404,22770,27771,377,100,-54,541
1873,25878,26026,322,106,-19,541
3559,21603,22074,228,-31,-55,542
7511,19504,22819,245,-7,-12,542
4922,21838,22976,283,103,48,541
-745,23142,20514,256,63,43,541
264,20583,16337,188,-96,5,541
3265,19955,14699,157,-149,1,541
4246,20279,13307,155,-85,26,541
2314,20103,11404,138,-34,38,542
1637,19485,10345,102,-44,25,542
2481,18592,10345,76,-45,19,542
1539,17759,10404,82,-81,15,541
-1000,17210,12326,147,-173,4,541
19,18828,13640,224,-260,0,540
2618,22436,11600,183,-219,-27,540
3824,24270,8070,48,-137,-50,541
2863,24908,5256,-84,-94,-40,541
1372,25535,3177,-165,-109,-20,540
2216,23917,2422,-141,-174,-21,539
4501,20799,2559,-20,-197,-32,538
5668,19308,3373,114,-179,-46,538
5981,19308,4432,155,-179,-48,538
6452,19249,5697,103,-156,-36,537
6766,19946,6668,34,-126,-11,537
