ax,ay,az,gx,gy,gz,flex
16621,15435,-27341,356,254,-40,524
16896,26173,-20682,281,317,76,521
8933,-27154,-16367,182,436,144,513
921,-16897,-22938,-23,496,196,502
-5697,-10160,31831,-310,560,250,489
-10581,-9366,21632,-572,474,291,473
-12012,-12543,9659,-572,397,364,461
-14278,-23006,2314,-572,200,368,454
-11591,-30361,-1461,-572,-8,390,452
-11983,30997,-1461,-572,-148,460,453
-11983,30997,-1461,-572,-148,460,453
-8502,28987,-1176,-572,-259,416,455
-5903,25927,-3628,-572,-143,367,456
-9257,22878,-7158,-572,-17,315,457
-16111,23770,-8443,-572,-93,311,459
-22799,28458,-9737,-572,-394,273,461
-15484,27242,-9943,-572,-514,155,460
-12816,30772,-8815,-572,-66,75,459
-16621,30684,-6805,-572,237,-80,460
-11169,31782,-4089,-572,419,-311,462
-7531,24937,-4079,-572,572,-572,462
-2108,-28370,2147,-572,572,-572,463
8600,-8454,7923,-572,572,-572,466
20848,6020,4324,-572,572,-572,467
-32116,32292,5305,-572,572,-572,469
1215,24986,-7747,-408,572,-572,469
4863,14591,-15317,572,572,-572,470
-6277,-26704,-13738,572,572,-524,471
-2119,19573,-15356,572,572,-32,471
-2374,22603,-6266,572,572,422,472
-26350,-31695,25339,572,572,572,471
32037,20867,-19937,333,572,572,471
13150,16660,-20437,38,572,572,469
-5079,9992,-26713,-391,572,572,468
-16827,-5080,26987,-572,572,572,466
-17975,-20927,16719,-572,572,572,465
-14582,-31469,9061,-572,572,572,464
-10463,27889,3716,-572,572,572,464
-7501,16994,-2481,-572,572,562,463
-4569,15023,-2333,-572,572,455,462
-2284,15111,-2177,-572,572,343,462
-1971,9521,-5246,-572,572,300,462
-313,8178,-3491,-572,572,233,459
4501,11483,794,-435,572,250,458
2804,3294,-3579,-216,572,236,455
1510,7737,1137,124,572,136,451
68,10796,10600,216,572,-101,451
8776,8364,11483,314,572,-240,451
6629,13817,18906,422,572,-442,450
9531,19387,25447,355,572,-572,451
24427,26526,27928,218,572,-572,452
26182,-20025,31262,132,572,-572,455
31399,-5326,27908,140,572,-572,457
-25075,-3305,-17907,328,572,-572,459
-6512,-8503,17366,249,572,-572,460
30703,117,-19770,57,572,-572,461
30478,-5326,21838,527,572,-572,461
27810,3569,-29214,572,572,-148,462
6668,8492,-15828,572,572,290,465
-18426,16160,-17995,572,572,33,469
-30831,-26096,-26713,572,572,-217,476
-28448,18818,-28782,572,572,-11,487
-11434,14493,-17809,572,572,481,497
-5707,-13288,27781,572,570,572,518
27949,8001,-5864,572,274,572,523
3039,-17348,14013,572,-535,215,551
21162,2480,-1343,572,158,268,536
5030,-14396,14434,572,287,331,567
-3491,-27262,18828,397,251,203,571
1490,29958,15297,57,292,141,540
-657,18455,8413,-7,304,179,558
-3677,9257,6884,143,279,147,520
-2990,5658,8698,224,303,61,548
-3383,1519,10335,178,351,26,548
-2373,-1980,7295,62,344,16,548
78,-4618,3079,32,244,-25,547
3059,-6187,-284,43,103,-73,511
8443,-5932,-2010,3,16,-90,509
12797,-6707,-6246,-60,41,-72,544
14935,-7443,-8835,-44,113,-46,511
