ax,ay,az,gx,gy,gz,flex
3491,2775,4785,333,-409,572,551
2863,539,4050,324,-421,572,551
1333,-902,2108,302,-339,572,551
-1490,-2657,568,307,-251,572,541
-4108,-4148,-2157,339,-223,490,543
-6158,-4912,-3334,433,-211,389,537
-7207,-5795,-2814,563,-195,275,541
-9139,-6334,68,572,-188,140,546
-9914,-6972,3981,572,-224,0,541
-9100,-4981,5913,572,-303,-152,554
-9100,-4981,5913,572,-303,-152,554
-3275,1412,8923,572,-386,-312,556
4030,15190,20544,572,-306,-394,557
28595,-3894,16415,553,-249,-82,549
5540,19259,-27409,-572,110,217,534
8041,4226,19445,-572,40,321,518
-1755,-10492,7482,-572,95,396,528
-1314,-18936,-205,-572,129,362,484
-6707,-23074,-4422,-273,142,192,550
-4912,-23672,-7864,364,-122,-75,519
-1853,-20289,-9718,572,-219,-334,542
-3226,-8786,-6697,572,-188,-458,556
2127,745,-23095,572,-313,-511,540
24447,-20417,-10052,-513,133,215,572
3746,-7982,4108,-572,179,259,480
-3961,-15778,5677,-240,-27,30,544
4265,-7688,20407,-133,-37,13,511
5256,-362,26673,-289,10,60,548
3706,1941,25447,-419,52,107,512
745,735,24074,-455,17,73,545
186,-509,22534,-517,-6,18,533
186,-1863,20093,-572,-15,-39,525
657,-2294,16788,-572,-7,-84,541
264,-2382,14258,-572,7,-129,553
-892,-3667,10737,-572,-4,-188,547
843,-4726,7511,-572,-24,-255,553
3461,-4040,4501,-572,17,-321,554
4981,-3775,1873,-572,94,-372,553
6815,-5226,647,-572,140,-423,552
9982,-4520,-686,-572,206,-485,549
13464,-2255,-3481,-572,260,-528,544
17935,-3795,-3098,-572,355,-535,547
16896,-5001,-2451,-572,486,-509,536
17298,-333,-2588,-446,451,-532,540
22348,2618,-921,-401,374,-554,535
21681,1039,1794,-341,411,-518,545
18906,1461,3932,-219,438,-530,546
21044,8600,5167,-160,359,-572,548
23907,11434,6589,-219,365,-572,549
21328,8737,8570,-195,363,-572,548
22485,11228,10031,-84,423,-572,547
24094,16033,11542,38,482,-572,546
20769,17612,13621,101,488,-572,546
15337,17690,14395,123,404,-494,546
11032,18710,14287,159,287,-499,544
10659,20965,15454,238,222,-566,541
10875,24486,17278,296,247,-572,536
10188,27859,17759,275,275,-563,542
10463,29105,17906,220,277,-537,544
10973,27899,17955,190,292,-489,544
8953,26124,15798,165,260,-410,545
7717,23584,14130,123,147,-299,545
6325,21966,13934,114,12,-172,546
4824,21956,14395,106,-108,-85,545
3942,21672,13356,63,-177,-23,545
4589,20916,12159,15,-195,32,546
4589,19622,11198,-13,-159,85,546
2726,20152,10806,-26,-105,108,546
1931,19583,10581,-34,-72,80,546
1431,18583,10257,-27,-49,63,546
323,18014,9316,-24,-46,62,546
-147,18102,8717,-24,-77,55,546
1108,18641,8806,-18,-90,32,546
2226,18681,8972,-5,-54,23,546
1706,18857,8708,-3,-7,34,546
1068,19181,8766,-10,9,35,546
902,19024,9051,-13,15,28,546
647,18779,8806,-13,16,28,546
725,18730,8796,-12,7,33,546
568,18573,8963,-7,0,33,546
