ax,ay,az,gx,gy,gz,flex
18592,17435,-18446,-387,544,572,467
13366,15886,-6473,-517,289,572,464
13111,18857,1284,-572,305,556,462
2981,22662,2912,-572,442,542,461
-12807,31135,951,-572,428,500,459
-28006,-30351,-10268,-572,361,346,459
27262,-30940,-29420,-572,169,38,460
-31919,32380,22682,-572,24,-202,464
-27389,30164,15317,-572,146,-259,465
-25820,27791,9620,-572,212,-330,467
-25820,27791,9620,-572,212,-330,467
-22476,26271,5530,-560,205,-415,469
-16376,26163,4422,-465,207,-468,470
-10786,24192,676,-387,259,-458,472
-8384,23201,-2206,-311,328,-428,473
-5432,21485,-5118,-215,356,-402,474
-3059,20053,-6158,-116,398,-388,474
-303,19230,-6991,-10,442,-381,475
3098,20289,-5344,113,426,-365,475
7550,22113,-1117,220,435,-324,476
10551,21858,-88,278,472,-259,476
13699,20465,3814,437,454,-217,477
17180,21868,11944,572,389,-219,477
19642,22878,21289,572,417,-197,477
20652,24702,27850,572,319,-198,477
29242,25790,31095,572,168,-255,477
-24722,28055,-27635,572,227,-122,477
-23605,31458,-18848,572,354,168,477
-25605,28320,-10523,572,334,429,477
-31008,29056,-452,572,353,572,477
27045,28418,6776,502,326,572,476
18573,26379,13718,307,326,572,474
3128,28340,17974,-41,427,572,472
-17504,22740,20338,-335,400,572,469
-31605,18788,18926,-572,263,572,467
31626,21662,12081,-572,217,572,467
26066,29889,2039,-572,339,572,468
16789,32743,-15044,-572,305,318,469
25036,27428,32341,-572,72,-73,472
-22780,27310,26594,-572,-24,-245,473
-15562,28105,21564,-572,197,-207,474
-14179,25251,15023,-572,277,-225,476
-12199,22485,10963,-556,237,-300,477
-9100,21534,8560,-474,221,-331,477
-7943,19632,4589,-440,234,-352,478
-6481,16592,-274,-352,211,-379,479
-5207,15042,-2098,-236,193,-403,479
-3108,13885,-3128,-174,197,-407,479
-1647,12081,-3951,-144,246,-389,480
-1186,10031,-4275,-91,277,-367,480
588,9845,-3422,9,307,-362,480
706,10267,-1696,62,341,-368,481
4108,10571,460,123,341,-365,480
5874,12179,3471,227,371,-381,480
9463,14317,7354,319,280,-444,480
15562,14650,11463,347,288,-433,480
15101,18171,16494,386,340,-386,481
19073,17376,16925,477,225,-455,481
27389,20671,22397,572,205,-416,480
26977,25378,25741,572,333,-256,481
25702,20652,25898,572,279,-177,482
29634,19544,25300,572,209,-87,484
28693,25771,24005,572,233,112,485
26859,28820,-27311,572,346,376,485
25859,26967,-24899,572,411,491,485
17710,20858,-29704,572,325,529,485
15494,30438,-23693,572,286,553,485
6933,31762,-21996,572,272,397,486
-2177,25525,-24075,349,191,235,487
-6511,20573,-30420,255,-31,149,490
-7737,17837,25427,223,-276,12,494
2902,20171,20465,226,-334,-123,498
7315,20004,17023,154,-55,-144,501
2059,18583,13689,89,149,-120,505
2530,17788,10561,70,155,-111,510
225,17788,8355,60,117,-120,514
872,18494,7864,33,22,-165,518
3118,18583,7835,29,-33,-172,520
3461,18985,6884,36,-66,-164,522
4157,19818,6668,23,-99,-173,523
