ax,ay,az,gx,gy,gz,flex
10218,6501,11934,-426,135,162,464
10002,1598,9776,-413,165,81,458
11895,-1206,7786,-377,146,-10,443
13513,-3883,5452,-379,160,-103,433
18494,-9178,2598,-319,242,-173,420
20475,-10630,1774,-259,320,-209,429
20093,-12414,529,-253,368,-222,414
20985,-14464,-186,-273,320,-192,424
20073,-17200,-2108,-297,292,-139,426
15954,-18867,-4638,-285,251,-96,429
15954,-18867,-4638,-285,251,-96,429
12493,-20818,-7747,-284,157,-42,438
9973,-23299,-10845,-269,69,44,441
6746,-26722,-12522,-240,22,118,439
2226,-30870,-14042,-190,-72,156,440
-813,29743,-15131,-135,-290,254,439
4206,24909,-14680,-49,-534,331,432
10973,22594,-13885,2,-508,399,437
13532,20996,-16700,88,-552,431,440
27653,22467,-20112,205,-572,441,448
-32352,27223,-19632,254,-572,419,451
28154,-30125,-13777,171,-418,365,452
21269,-20956,-6776,212,-353,188,452
21603,1618,8188,266,-283,-9,453
11483,25025,23348,225,88,-195,453
-1892,-24938,-32136,509,312,-421,452
1147,-3629,-13023,572,434,-560,454
6923,-8424,343,572,572,-507,455
-11365,-27890,-11749,335,572,-417,455
-4118,13846,22966,19,-312,-312,456
9825,4716,20916,73,-271,-102,456
1323,4971,27683,112,160,-17,457
-2726,3608,27271,5,233,10,457
-1127,186,22319,-20,98,24,458
-921,-735,23329,45,-47,29,458
686,-627,25869,28,-13,3,458
1412,-2775,24476,2,33,-19,459
2539,-2520,24113,21,22,-28,458
2765,-1686,24623,20,-34,-26,458
4255,-1902,23849,-16,-51,-19,459
4854,-2853,21358,-14,-16,-13,459
4942,-1961,20730,16,-8,-6,459
4893,-1314,22005,20,-4,8,459
3961,-2039,22083,-3,-3,7,459
4246,-2549,21211,-6,1,7,459
3873,-2412,21201,4,21,8,459
3118,-1735,21887,11,16,9,459
3255,-1559,22289,-8,0,10,455
3647,-2098,21515,-18,4,10,458
3687,-2108,21417,-6,22,11,455
3010,-2177,22113,7,24,9,449
3147,-2127,22446,-6,17,3,450
3677,-2373,21976,-18,6,2,460
4069,-2500,21426,-9,9,2,460
4275,-2088,21377,-5,-3,3,460
4608,-1784,21760,-11,4,8,459
4687,-2235,21603,-13,18,8,459
4324,-2108,21515,-10,17,12,437
3736,-2235,20995,-6,1,13,451
4167,-2118,21103,1,5,11,459
4334,-1912,21691,1,18,11,461
3471,-2078,21564,-6,18,13,461
3343,-2186,21348,-5,2,8,461
3569,-2353,21456,2,-3,6,461
3951,-2118,21946,3,6,9,461
3324,-1941,21838,-6,18,10,461
2794,-2098,21564,-4,9,4,461
2843,-2235,21289,3,-2,-2,462
3334,-1902,21573,8,8,-2,461
3167,-2167,21770,3,17,0,461
2932,-2078,21672,0,4,0,451
3334,-1706,21387,-1,-1,-1,455
3687,-1647,20867,0,3,-1,454
3598,-1618,20563,13,5,2,459
3196,-1333,21171,13,5,9,460
3049,-1186,21730,7,11,10,458
3373,-706,21917,0,20,10,461
3255,-274,21760,-14,28,16,462
2834,990,21642,-41,16,20,466
2431,1971,19769,-93,-31,28,478
