ax,ay,az,gx,gy,gz,flex
23623,31851,6982,137,14,418,479
22495,-27037,8796,176,-23,445,478
27467,-20692,9482,175,-228,432,478
31252,-13671,7580,227,-243,513,479
29987,-8101,8237,283,-183,572,479
25633,-7365,12787,337,-191,572,480
21838,-6012,18416,365,-243,572,481
16347,-9474,21024,331,-245,572,481
10384,-17005,22123,298,-166,572,481
1735,-25144,22966,234,-91,572,480
1735,-25144,22966,234,-91,572,480
-4834,30831,20799,147,-86,572,467
-7237,21093,17435,77,-71,572,465
-8815,14278,13444,46,2,469,478
-10492,9472,10816,20,14,350,480
-8423,5540,8737,-24,-26,259,481
-6638,2745,5148,-55,12,209,481
-4540,-49,1166,-39,68,156,482
-784,-1922,-902,3,85,109,482
5373,-3147,1010,27,83,65,483
12012,-3206,451,51,139,-5,485
16347,-3108,1647,-11,102,25,485
17680,-4677,2157,-20,27,22,485
19210,-4854,2216,-2,-37,17,485
21171,-4716,2284,5,-24,11,485
20573,-5011,2637,-9,25,21,486
19377,-5236,2716,-20,26,22,486
18867,-5187,2059,-19,22,16,486
19191,-5138,2363,-20,21,8,487
19279,-5109,2657,-17,7,7,487
19259,-4942,2481,-28,-1,1,487
19465,-5060,1951,-28,0,3,487
19357,-4981,1823,-30,6,4,487
18887,-4991,1667,-26,15,2,487
18936,-4383,2147,-28,8,-8,488
19495,-4697,1686,-34,-9,-13,488
20338,-4481,1725,-31,1,-8,488
19926,-4481,1098,-28,24,-3,488
19965,-4599,1186,-22,31,0,488
19965,-4442,1470,-21,26,2,488
20348,-4981,1686,-19,23,5,488
19877,-4912,1863,-22,23,4,489
20279,-5305,1971,-24,3,2,489
20171,-5118,1686,-23,17,5,489
19700,-5069,1539,-20,23,4,489
19779,-5128,1657,-21,15,0,489
20004,-4834,1794,-24,4,-1,489
20122,-4814,1372,-27,-1,1,489
19965,-4932,1127,-19,14,2,489
19593,-4403,1186,-13,6,0,489
20063,-4658,1421,-15,-1,2,489
19926,-4775,1549,-18,7,4,489
19789,-5099,1480,-14,9,3,489
19730,-4608,1873,-10,6,3,489
19514,-4746,1794,-12,11,4,489
19818,-4971,2069,-11,16,5,490
19504,-4991,2412,-10,11,5,490
19524,-4971,2637,-11,2,2,490
19553,-5001,2686,-11,6,2,490
19642,-5187,2971,-14,9,3,490
19524,-5266,2971,-15,14,2,490
19455,-5285,3089,-13,16,-1,490
19818,-5089,3177,-13,5,-4,490
20210,-5167,3392,-19,3,0,491
20034,-5167,3255,-20,12,2,491
19632,-5187,3157,-21,8,2,491
19524,-5030,3020,-21,-8,0,491
19887,-5148,2794,-20,-3,0,491
19759,-5334,2765,-19,18,2,491
19426,-5138,2892,-22,8,0,491
19700,-4952,2834,-27,-7,-1,491
19946,-5256,2382,-29,4,0,491
19583,-5128,2157,-22,11,-1,491
19504,-5099,2206,-16,-3,-5,491
19789,-4638,2353,-17,-19,-9,492
20642,-5011,2029,-22,-8,-5,492
19769,-5275,1774,-11,21,3,492
18965,-5099,2186,0,-6,-5,492
19671,-4795,2677,-7,-26,-14,492
20818,-4756,2451,-17,-22,-13,492
