ax,ay,az,gx,gy,gz,flex
16690,6138,4157,15,-128,73,341
11806,9610,3255,39,-275,106,349
8315,10502,4118,77,-450,125,364
5893,13464,5295,62,-494,99,397
3520,17690,5432,21,-549,48,439
4510,15386,6570,-20,-528,11,465
1922,18259,3844,-10,-572,-79,495
4648,19151,2618,-21,-572,-233,504
12875,18092,-1755,-132,-572,-303,517
9129,18553,-5913,-278,-571,-332,528
9129,18553,-5913,-278,-571,-332,528
6668,24574,-14032,-388,-572,-379,538
10110,23917,-23221,-482,-538,-381,540
6511,23760,-30193,-549,-460,-378,535
8472,22525,25595,-572,-563,-363,528
13464,16425,16387,-572,-557,-154,537
5226,11100,6541,-572,-329,95,551
-3422,1304,-6128,-572,-323,138,567
-1059,-5687,-14062,-553,-373,-27,566
6325,-10836,-9080,-130,-178,-23,565
5815,-11542,2325,241,134,33,564
4089,-10071,11405,465,213,-63,559
4765,-686,15583,537,298,-137,528
88,2078,12298,572,412,-50,528
1931,14474,3786,572,436,42,500
9718,14523,10209,572,572,66,448
12336,10845,14632,572,572,119,395
13267,14523,21996,572,572,291,360
20720,29075,-19426,474,572,506,332
15631,17612,-13130,46,572,572,316
5834,17778,-6246,41,572,515,313
-3255,30282,5413,27,572,121,309
5187,32429,11336,-184,525,-190,308
11051,30703,9296,-197,572,-208,307
7648,30017,4589,-144,507,-217,309
6021,21691,1068,-150,132,-194,308
5001,8266,-5589,-98,-206,-86,307
12454,2608,-1255,46,-200,-37,309
14287,647,5972,68,176,-1,312
11189,-1245,7129,37,253,24,314
15033,-2667,8080,27,76,24,315
19769,-2912,8560,16,23,4,317
21887,-2883,8364,4,30,-12,318
21240,-2490,6678,5,-2,-17,318
21897,-1353,5422,3,-17,-11,319
21976,-1637,4707,3,13,-2,320
21024,-1912,5138,0,24,0,321
19955,-1755,5020,7,17,1,322
19857,-1618,5540,0,11,5,323
19377,-1902,6158,-11,13,16,324
19102,-2549,5579,-18,-3,12,324
18857,-2353,4628,1,-12,-6,325
20053,-1873,4883,19,-11,-15,326
20760,-1676,5854,-8,10,0,327
19485,-2294,5030,-23,10,10,327
19357,-2245,4707,-13,13,1,328
19563,-1833,4981,-3,0,-6,328
20377,-1814,5128,-11,-6,-3,329
20348,-2069,5069,-18,1,2,330
19877,-2049,4648,-14,7,1,330
20279,-1931,4491,-2,14,-6,331
20475,-1735,5197,-2,-8,-9,331
21054,-1873,5628,-19,-1,3,331
19985,-1902,4903,-14,13,5,331
20063,-1755,5305,-3,11,-1,332
20044,-1598,5991,-11,6,-1,332
20210,-1863,5893,-28,-5,0,332
19838,-2206,5334,-20,3,0,332
19661,-1990,5295,0,12,-5,332
20112,-1412,5932,0,4,-9,333
20573,-1588,6383,-22,-4,0,333
20161,-2059,5638,-28,-5,2,333
20279,-2137,4912,-12,4,-6,333
20809,-1755,5324,-2,4,-7,334
21034,-1470,5883,-19,-1,5,334
20426,-1794,5550,-32,3,11,334
19544,-2088,4863,-25,7,4,334
19965,-2039,5040,-9,0,-4,334
20779,-1519,5746,-19,-2,0,334
20142,-1745,5383,-35,3,9,335
