ax,ay,az,gx,gy,gz,flex
5354,17504,4040,229,-419,86,516
3726,22623,5903,210,-572,68,546
6923,24280,3343,161,-572,32,560
7276,25378,1412,139,-572,-77,571
7089,23437,-6158,53,-572,-242,571
10404,21064,-14670,-81,-572,-331,572
13150,14876,-21005,-152,-572,-352,572
13356,7207,-19975,-236,-572,-222,572
2098,5589,-26722,-492,-572,-120,577
862,-127,26694,-572,-572,-54,575
862,-127,26694,-572,-572,-54,575
2147,-5118,10905,-572,-572,259,582
-10649,-19622,-7658,-572,-572,572,584
-23339,-30487,-24496,-572,-324,414,582
-14631,-32321,-16484,-235,-201,89,577
-6511,31008,-9011,198,123,-139,549
-755,-26889,4806,515,519,-295,528
-4069,-13297,4541,572,572,-288,506
7050,1637,3354,572,572,-153,490
11630,-323,2286,572,572,141,436
7325,6472,18299,572,572,400,397
5501,17945,-32576,453,572,411,370
17700,11855,-22074,172,572,388,345
17749,16768,-10375,132,572,395,340
156,18612,-1235,6,572,191,322
7207,20612,5432,-119,328,-32,324
17288,20436,7854,-127,449,-58,317
6423,24712,5344,-154,572,-71,313
2716,20063,6099,-142,428,-192,321
12022,16651,9973,-73,235,-232,328
9865,12336,9002,-83,157,-167,328
8286,7315,3824,-97,-136,-169,326
16504,3069,1421,-65,-278,-146,320
20024,-657,1745,-18,-121,-65,333
18828,-1157,4814,1,43,-27,333
17014,-1735,5638,-39,71,-4,336
19053,-4128,4118,-36,17,-14,337
21152,-4020,3275,26,55,-11,337
20740,-2088,5942,39,72,-12,329
19426,-2510,6697,-15,46,-2,340
18651,-3638,4707,-25,12,-8,340
20034,-2951,3912,10,20,-20,338
20573,-1774,5275,16,41,-15,341
20318,-2490,6364,-20,14,-9,342
19828,-2873,4991,-14,-19,-17,342
20760,-2608,4559,7,-7,-18,342
21152,-2275,5383,1,26,-9,344
20387,-2549,5697,-28,13,-2,345
19671,-2677,4589,-21,-9,-3,346
20524,-2333,4285,0,-14,-9,346
21466,-1765,5452,-8,18,3,346
20318,-1716,5736,-44,9,31,347
19318,-2824,4873,-55,-32,36,347
20034,-2677,3922,-27,-29,17,347
20661,-3030,4648,-15,0,-6,348
20318,-2892,5226,-20,10,-6,348
19700,-3039,4854,-24,-2,4,349
19848,-3334,4069,-11,-15,-1,349
20377,-3138,4265,-5,-2,-10,349
20103,-3098,4510,-7,3,-3,350
19043,-3245,4285,-12,-7,8,350
19083,-3108,3971,-6,-25,3,351
19995,-2824,4236,0,-1,-7,351
19553,-2304,4863,-4,14,-9,352
19867,-2235,4922,-11,-3,-8,352
20250,-2647,4383,-11,-14,-13,352
21201,-2265,4481,0,-5,-17,353
21250,-1951,5001,-6,8,-10,353
20887,-2118,4942,-13,1,4,353
20514,-2814,4354,-4,-12,6,353
21191,-2461,4942,6,5,0,353
20367,-2069,5481,-2,19,4,354
20063,-2226,5373,-13,-4,8,354
20053,-2765,4648,-8,-20,6,354
20701,-2579,4834,-4,-13,1,354
20357,-2284,5138,-13,14,6,354
19671,-2500,4883,-15,-1,5,354
20181,-2667,4677,-10,-7,0,354
20632,-2481,4942,-6,9,0,354
20357,-2510,5226,-16,23,5,354
