ax,ay,az,gx,gy,gz,flex
-7747,-10267,-15140,-572,-380,259,579
-9659,-19936,-22917,-530,-364,112,577
215,-25182,-6168,69,-118,-55,565
-676,-25212,5718,328,225,-143,557
-3402,-18994,15308,495,339,-247,543
-3059,-11953,15720,572,341,-257,520
-3128,-2167,9572,572,434,-181,506
1019,2363,8365,572,572,-109,464
-1147,-137,20025,572,572,31,372
2598,6089,25115,572,505,111,373
2598,6089,25115,572,505,111,373
8943,15474,-26486,535,563,103,348
8286,15523,-16249,160,572,230,328
5089,15807,-11287,40,572,156,318
9021,25878,-6178,42,552,-10,318
16141,28840,1029,-192,572,-11,315
11689,28811,-1990,-358,572,75,313
6334,27653,-3157,-290,572,-17,306
8815,20701,-1873,-154,572,-124,312
12659,12414,970,-132,389,-86,323
8600,6844,-804,-128,132,-22,322
13052,3049,-676,-44,-28,-11,324
16170,1117,529,-9,73,17,328
14729,-2284,1951,7,151,26,328
14356,-2108,3343,33,100,-4,328
19161,-2078,3902,2,56,-20,327
20828,-2304,2883,-21,97,-5,328
19779,-2941,2275,-8,99,-4,329
19436,-2167,2941,23,44,-12,327
20936,-1461,4118,3,-2,-12,333
21681,-2265,3873,-32,16,3,334
19867,-3059,3049,-15,33,2,335
19916,-2520,3138,10,10,-4,334
21279,-1676,3961,-8,-6,-5,330
20965,-2735,3353,-30,18,3,334
20318,-2775,2951,-9,16,2,338
20632,-2069,3373,-2,12,-6,338
20711,-1735,3618,-14,13,-5,339
20652,-1971,3402,-23,13,0,338
20475,-2618,3334,-9,12,1,336
20946,-2245,3442,0,-7,-2,335
21407,-2069,3775,-10,-2,4,337
20348,-2177,3696,-24,17,12,339
19749,-2794,3373,-11,17,10,339
19661,-2579,3540,0,5,0,339
20338,-2000,4157,-12,0,-1,339
19906,-2402,4099,-32,7,8,342
19367,-2814,3206,-22,-10,7,342
19965,-2618,3285,-6,2,-5,341
20250,-2049,3628,-7,23,-6,340
19897,-2314,4069,-22,21,4,341
19151,-3010,3471,-16,-5,2,341
20053,-2510,3746,2,-13,-11,339
20456,-2216,3971,-8,3,-12,339
20191,-2441,3902,-19,20,-6,337
19681,-2618,3471,-15,-3,-6,342
20328,-2245,3422,-6,-11,-11,333
21064,-2000,3696,-12,4,-12,337
20465,-2157,3530,-17,17,-8,342
20495,-2343,3392,-11,10,-4,341
20524,-2127,3334,-3,5,-2,343
20622,-1853,3785,-6,9,-3,342
20004,-1902,3932,-12,2,0,337
20269,-2294,3746,-10,-14,-2,338
20779,-2020,3569,-2,5,-5,337
20711,-1696,3746,-5,14,-6,345
20534,-1823,3991,-16,1,2,343
20269,-2108,3559,-10,-7,4,342
20563,-2020,3677,-1,1,0,340
20671,-1657,4118,-6,13,-1,338
20230,-2069,4275,-16,0,3,341
20289,-2069,4138,-15,-10,3,347
20397,-1931,3863,-9,4,1,347
20171,-1706,3932,-11,16,0,347
20103,-1765,4157,-15,0,-1,347
20485,-1922,4412,-24,-11,0,347
20456,-2088,3922,-19,-4,0,348
20230,-2010,3746,-13,6,0,348
20259,-1873,3961,-14,3,0,348
20377,-1951,4118,-18,6,2,348
