ax,ay,az,gx,gy,gz,flex
31252,31958,-647,144,-468,2,333
-28645,-30567,-8688,282,-466,229,333
-30155,-23516,-11306,491,-206,453,334
28879,-12249,-7423,572,-160,572,334
26055,-4659,-8727,572,-272,572,334
29124,2627,-11748,572,-268,572,334
28820,15444,-12375,572,-131,572,334
25339,21750,-9168,572,-41,572,335
16641,17415,-6550,572,43,572,334
10110,7384,-3304,572,-105,572,334
10110,7384,-3304,572,-105,572,334
9825,-1530,6109,572,-134,572,334
1657,-13602,13071,572,-108,572,333
-5236,-24997,21877,572,-148,572,333
-7835,28477,28948,572,-187,495,333
-5717,15739,-30243,572,-90,408,332
1068,6678,-16495,463,238,347,331
-16219,-7070,-29400,77,386,242,331
-15199,-14552,13209,-40,4,20,332
9502,-13983,1500,-47,-218,-60,333
14415,-14837,421,-22,127,36,334
6864,-16249,4814,-23,93,-6,334
16484,-15033,8727,-52,-94,-59,330
19063,-13405,3461,-42,21,-12,334
12934,-14533,147,-11,51,17,334
9678,-17288,1755,6,19,9,336
11895,-16268,3628,-14,0,-11,336
13797,-14856,2892,-18,19,-11,336
14229,-14905,2108,-7,30,3,336
12591,-15807,2775,-8,21,15,336
11483,-15582,3304,-10,8,4,337
11444,-15337,2981,-12,23,-6,337
13807,-15415,3059,-13,4,-8,337
14229,-15395,2981,-9,13,5,337
13218,-15091,3187,-5,28,13,337
11326,-15219,3383,-7,31,9,338
11885,-15425,3245,-7,6,-8,338
14307,-15082,3098,-7,7,-6,338
13581,-14895,3598,-4,30,13,338
11797,-15052,3324,-5,24,9,338
12150,-15180,3089,-2,9,-1,338
12640,-15239,3902,0,15,-6,336
13424,-15405,4422,0,0,-7,335
12993,-15327,3657,-7,16,3,336
12571,-15474,2667,-9,20,4,336
13444,-15533,3746,6,21,0,335
13013,-14856,5158,17,33,2,336
10865,-14003,5756,11,31,1,340
10590,-13895,4393,-18,14,0,344
10492,-14513,4893,-28,-7,-11,348
9708,-12659,7511,-7,-28,-19,354
9963,-10277,9953,17,-52,-24,369
7658,-8433,14709,32,42,21,386
-235,-3961,18730,-69,129,-4,398
-5785,666,17014,-287,172,-125,411
-4922,3677,12150,-437,113,-275,420
-3853,8178,6825,-510,50,-421,425
4314,11434,4108,-514,76,-549,427
8247,14611,2843,-494,171,-572,430
12748,18926,666,-472,344,-572,436
11953,21809,-1529,-408,369,-572,444
11041,26310,1363,-344,272,-572,454
28252,-29684,1255,-512,36,-572,460
-23448,-31116,2088,-519,445,-572,463
31174,30595,6374,-258,572,-572,463
20730,-29322,10767,-130,560,-572,486
17514,-21967,13934,-97,307,-572,492
18102,-16132,16121,-64,70,-572,495
19573,-13524,16445,-54,-65,-572,492
18730,-15612,13091,-87,-189,-572,499
18043,-22202,7766,-132,-282,-572,498
17425,32096,4912,-94,-338,-572,507
14464,23142,4177,82,-330,-460,511
12002,21897,4050,251,-365,-177,512
11316,22476,5334,329,-333,1,513
11140,23437,6629,270,-230,89,513
9561,23005,6472,124,-60,118,513
6795,21809,6021,-10,68,120,513
4226,19848,5481,-86,114,109,513
2422,18239,5697,-104,100,94,513
