ax,ay,az,gx,gy,gz,flex
13120,2323,17543,-276,126,-572,466
-1687,10845,29497,-344,399,-572,469
-20555,-7405,-25056,-413,90,-572,459
-30420,3039,14297,-135,572,-519,444
16729,26751,-78,-76,50,-152,457
-4541,-2108,-3049,-101,-572,167,463
-15593,10512,-6285,111,-572,572,464
20161,-31587,-11453,329,-366,572,455
-6845,-10444,-11228,399,-348,572,458
-23614,2343,-5687,539,-312,572,459
-23614,2343,-5687,539,-312,572,459
23652,13562,1549,526,32,572,468
-2559,14562,3304,364,254,572,457
28939,6315,-2265,109,89,572,451
10444,-12180,-10659,-154,-414,572,457
10827,-22849,-3236,-88,-572,572,460
-519,-29351,18141,82,-72,-12,455
-12581,-17015,23898,138,458,-572,458
1148,8541,17347,-23,143,-572,471
-32076,-29685,17523,-141,-319,-572,474
11385,-17407,19396,-424,-335,-572,473
-23457,-22359,26555,-406,558,-572,477
10541,-2521,21985,-433,289,-572,478
18749,5834,-5236,-572,-391,-572,454
646,-26076,12494,-257,-1,-213,460
-18270,20063,22898,263,101,173,457
28497,10698,-6629,319,-270,533,459
12797,20328,-823,391,-105,572,467
-9032,-30646,2127,380,46,572,458
-24928,-22918,-1667,219,79,572,453
30811,-22594,-7197,159,-17,572,456
25869,-25330,-9551,199,-63,572,457
18122,-31607,-9502,208,123,572,460
7070,26820,-11394,196,331,572,464
362,19122,-13974,176,416,572,463
539,11336,-16023,153,460,572,460
-480,6923,-16641,172,543,572,461
-5079,2510,-17200,177,549,540,459
-6472,-1608,-15239,217,487,420,463
-7040,-2990,-11169,210,461,331,464
-6668,-4275,-8845,167,483,263,464
-6599,-6629,-9355,134,491,231,461
-6580,-6638,-8119,153,488,206,467
-7119,-5167,-6619,109,467,213,462
-8060,-6109,-7629,71,398,228,466
-7384,-5932,-6393,78,342,255,467
-7060,-4775,-5089,43,341,326,466
-9031,-3804,-5060,-2,333,412,465
-11826,-3363,-5638,-29,284,479,459
-14964,1598,-4265,-69,196,560,459
-18465,5011,-3412,-145,75,572,460
-21799,8757,-1814,-202,8,572,458
-30478,12228,-245,-250,-104,572,459
30646,17680,6079,-343,-156,572,457
23330,20279,9992,-406,107,572,462
5188,26133,8541,-546,475,572,449
-11218,29026,-2422,-572,413,266,452
1403,31448,-9963,-572,-91,-256,458
28527,-31734,-16974,-572,-386,-546,466
-27565,31468,-16964,-572,-66,-520,467
21379,-28645,-11934,-572,572,-567,463
3590,-13033,-7835,-572,572,-572,474
14563,-4100,-8923,-250,572,-572,491
-17514,5560,4000,250,572,-572,509
22946,-21840,15052,572,266,-572,519
-1334,29722,6550,572,496,-572,530
-5983,8668,-12896,572,572,-572,547
-26988,-27370,4148,-540,572,-372,551
-25527,31459,-18210,-151,-572,-470,536
7011,-4707,11904,162,-572,-146,537
-26086,-6825,5609,28,546,92,556
23103,-5069,1421,147,572,116,554
16866,-3746,11296,198,214,-34,554
27232,-3343,15699,93,-35,-36,555
26094,-5756,13464,-2,1,4,547
22083,-6678,9061,-31,-22,21,554
21269,-5158,7344,-11,-94,17,545
20338,-2863,5746,6,-26,33,546
16866,-235,4677,22,47,67,540
12875,68,3216,48,91,83,511
