ax,ay,az,gx,gy,gz,flex
19034,15239,20475,-189,-572,-66,515
22427,17445,15503,-140,-572,-73,512
27938,18965,8531,3,-572,-59,510
30242,23829,2481,222,-572,-45,509
-32009,30831,-3343,422,-572,-52,509
-29508,-26017,-10237,572,-572,5,509
-29106,-14406,-17484,572,-572,65,509
-30322,-9042,-19926,572,-572,72,508
27202,-11347,-22701,572,-572,81,509
22525,-11994,-27026,572,-572,136,510
22525,-11994,-27026,572,-572,136,510
22682,-11602,-21191,572,-387,160,510
10178,-20496,-14572,572,-103,201,511
3893,-27351,-8237,572,0,208,513
1814,-31803,-3834,572,-60,182,512
2912,28212,921,572,15,192,510
-4471,21015,3981,572,143,167,507
-7139,16386,9188,572,181,110,511
-7207,10590,18190,572,345,135,508
-13591,2726,26771,572,453,127,508
-20122,98,-28282,572,394,125,512
-19730,-1343,-19564,369,264,148,509
-25584,-4971,-20270,80,125,185,512
-29134,-9825,-25566,-44,-161,194,513
-25594,-9355,-19564,-95,-250,123,514
-23633,-8119,-11288,-279,-112,77,514
-29644,-5687,-7238,-548,-67,59,514
31901,2775,-5708,-572,-175,-10,520
-28614,18896,-13592,-572,-208,-144,515
-18190,-31548,30840,-572,-173,-246,519
-5491,-14847,5707,-572,-189,-374,513
647,17180,-2049,-572,39,-458,518
20681,-24811,-21995,-572,-217,-502,518
3020,17445,-2049,-572,267,-73,506
14895,22280,8101,-572,572,249,509
-16955,24329,27586,-325,-298,70,518
13885,20612,30145,-463,160,-296,519
21868,14111,-28585,-120,-286,-166,518
23397,17514,-24555,-157,93,149,519
3893,14444,32607,-254,176,95,519
4971,11512,-32704,-97,-52,-105,519
19445,13709,-28399,69,-97,-75,519
9600,12601,-22731,13,130,80,519
3510,9433,-18945,0,122,58,519
5923,8904,-17141,28,32,-19,519
7864,8619,-17072,31,4,-28,519
8904,7511,-15190,15,-5,2,518
8708,7246,-14533,-5,39,27,518
4854,6923,-15994,-21,29,15,518
6825,6501,-15827,-10,-19,-13,518
8590,6884,-15111,0,36,6,518
6393,7197,-14778,-14,48,18,518
5775,6501,-15199,-28,-3,-4,518
7835,7040,-15366,-35,-15,-16,518
8051,7246,-16484,-29,15,1,518
7021,7511,-16896,-34,14,1,518
6962,7511,-17641,-34,3,-9,518
7305,7482,-17641,-23,-1,-20,518
8609,7237,-17553,-11,-9,-17,518
8384,7344,-17857,-20,8,-3,518
7629,6835,-18112,-27,3,-1,518
7393,6550,-17867,-5,-13,0,518
7747,6854,-17161,6,3,8,518
6560,7599,-16513,0,31,12,518
5844,7609,-16121,0,21,2,518
6403,7482,-15847,24,2,-10,518
8001,7384,-15052,34,10,-11,518
8256,6884,-15042,18,12,-16,518
8649,5481,-15386,0,13,-18,518
8884,5668,-15592,34,28,-12,517
8423,6982,-14091,45,27,-3,517
7423,7756,-13032,33,31,-3,517
5972,7796,-12659,55,56,-11,517
4952,8433,-11247,129,77,-30,517
7237,9110,-7560,178,144,-26,518
10424,9276,-4206,142,451,21,518
6227,8963,-5128,85,572,62,520
2059,8825,-4599,97,572,52,523
235,9129,-2549,131,572,-9,525
4971,9580,264,123,572,-74,527
