ax,ay,az,gx,gy,gz,flex
-2686,20269,8649,81,197,131,286
813,22750,14964,202,224,111,282
-6580,26398,20681,84,317,123,281
-11855,26290,21181,43,57,47,282
-3706,31439,20652,36,-52,25,283
-2284,-30910,19034,-2,-38,56,286
-5177,-26193,18896,-74,-143,104,289
-4550,-22143,16484,-173,-223,172,291
-166,-19780,12973,-294,-216,249,292
-1470,-19849,8433,-435,-126,281,292
-1470,-19849,8433,-435,-126,281,292
-1117,-19084,6432,-550,-62,302,293
-147,-21104,2137,-572,-35,341,293
2294,-22506,-1412,-572,-19,379,294
3951,-24634,-1274,-572,5,450,294
5462,-26184,-1990,-572,37,528,294
4608,-29135,-4981,-572,71,533,294
4736,-31273,-4942,-572,110,572,294
2422,28350,-7952,-572,87,572,294
4854,31939,-6903,-572,156,572,295
-568,26143,-12620,-572,196,572,294
303,25369,-13522,-572,207,572,293
-539,30674,-10875,-572,137,572,293
-10875,21181,-17180,-572,-29,572,290
-1166,20995,-13385,-572,-83,572,289
-362,27751,-13621,-572,168,572,290
-2441,24417,-18749,-572,402,572,292
-11659,22691,30910,-572,572,572,294
-17612,21093,7924,-572,572,556,294
-29242,29644,-9786,-572,289,569,295
6306,15033,-19181,-572,492,514,294
-3677,18475,2923,-116,211,150,295
25585,12846,20457,-172,-250,-247,297
-7992,5501,-32125,-190,-405,-272,299
-5373,6491,-23093,-279,-242,-43,302
-14503,12934,-23446,-414,-68,-5,309
-15650,17033,-25800,-458,-71,-165,323
-16415,17553,-25977,-352,-121,-324,337
-16700,20377,-25094,-120,-26,-420,399
-11012,22142,-19936,107,185,-454,448
-13650,20044,-16425,393,350,-558,447
-7933,22809,-9257,572,346,-572,448
-8825,21132,-8472,572,344,-572,514
-2078,22025,-784,572,342,-572,535
-2775,19936,-362,572,497,-514,546
-3324,18494,-3245,572,465,-481,540
-3932,20818,4030,572,496,-466,551
-1529,24015,10826,572,515,-435,553
-1039,24162,12895,572,572,-334,556
-1961,29242,-28351,572,572,-209,556
-12767,23142,-29135,572,572,-233,570
-5520,12120,-30508,572,-112,-523,566
21554,7717,-13759,572,-473,-473,564
22750,6933,-14132,572,-46,-258,564
23800,11326,8482,260,280,-41,580
10002,-274,-5502,-38,293,33,564
3530,-1814,-17691,-8,43,13,561
2667,7433,-19515,-47,-178,2,576
10306,1637,-20986,-394,-35,98,559
7021,-794,27840,-426,-129,119,571
6550,-529,19200,-374,-109,152,562
3236,-2314,15974,-324,-116,184,559
2961,-1951,14317,-326,-110,199,548
3265,617,10953,-334,-107,189,535
2490,3716,5462,-369,-77,206,499
-598,3971,3049,-329,-53,223,523
-3422,3138,1745,-223,-127,195,481
-3275,4197,-166,-146,-193,117,473
-2686,4677,-1127,-63,-243,38,446
-1657,4452,-1892,26,-213,19,459
-1569,3559,-2216,77,-154,-14,473
-2843,2873,-3383,119,-85,-97,452
-4834,2853,-3677,225,-65,-248,435
-2628,3804,-2431,357,-74,-430,446
-88,5413,2726,513,-48,-572,438
4344,14229,10669,572,-46,-572,420
16111,26418,25016,572,-81,-572,431
22584,-26429,-31057,572,-56,-572,431
18602,-24644,30046,567,-102,-572,421
20308,-20672,-32744,572,-212,-572,397
