ax,ay,az,gx,gy,gz,flex
1804,9178,5991,-359,47,45,294
1647,6962,1882,-421,-47,50,293
9168,8207,490,-525,-156,140,292
12718,5246,-4000,-572,-196,278,291
14042,402,-14434,-572,-164,375,288
13503,-1823,-23260,-572,-5,495,286
7452,-10463,30459,-572,249,572,288
-15386,-11718,19662,-572,281,572,290
27527,-7374,9562,-572,200,572,294
20976,-3187,2433,-572,196,572,297
20976,-3187,2433,-572,196,572,297
8444,13670,4649,-572,572,572,301
-3167,-7384,9150,-572,477,572,303
-3471,5069,-25829,-171,407,572,305
8444,20152,-19181,-536,344,279,310
31705,8374,-25457,-572,-70,-207,316
-3971,11679,-22927,-572,-243,-361,325
-274,15435,-21554,-572,22,-163,331
-7139,21789,-19857,-522,137,-147,342
-7511,25192,-21191,-505,179,-275,365
-10022,23113,-23731,-282,148,-452,397
-3481,26212,-18622,-81,112,-572,444
-2363,22348,-18779,174,255,-572,453
-4089,20760,-14866,446,337,-572,462
-5501,19857,-11228,572,371,-572,449
-3981,17396,-11189,572,371,-572,510
-3922,17622,-5354,572,470,-558,517
-10090,15935,-7433,572,453,-572,372
-3991,23466,-1304,572,275,-572,377
98,27928,9767,572,350,-572,524
3883,-30116,15572,572,390,-572,534
9629,-23340,-31371,572,572,-572,533
11071,-29008,-5933,572,572,-362,546
-8884,20514,-16936,572,572,-320,555
2177,5648,-3364,572,-211,-443,552
26163,-4510,-7287,430,-283,-283,537
22387,-4520,-8120,345,78,-82,558
9335,-1059,-11268,131,199,-30,568
7384,-6540,-20172,-34,-25,-51,568
17043,-4942,-24134,23,-138,-50,568
11777,-1333,-30155,-56,-10,42,569
9188,-1725,32360,-206,-82,101,562
6550,-2863,25212,-274,-171,122,526
2353,-2343,18720,-307,-379,138,543
2549,-3167,12610,-272,-572,111,538
5530,-3285,11895,-314,-572,70,451
3324,-7982,5099,-251,-572,-1,511
3226,-6923,2775,-157,-572,-48,496
5020,-5305,1392,-96,-572,-92,418
10600,-7707,4795,-143,-572,-101,367
7521,-7805,1274,-106,-443,-100,363
7756,-6138,-245,-70,-475,-163,339
11591,-9629,0,-150,-420,-214,315
13875,-7766,-784,-168,-270,-238,298
13719,-5167,-5403,-128,-258,-291,292
21162,-4216,-4726,-175,-239,-300,297
24368,-3069,-5766,-250,14,-228,306
22005,-4128,-10473,-97,57,-188,306
22505,480,-6481,-49,53,-208,315
25878,-1833,-4962,-70,111,-168,315
22378,-568,-5491,-63,192,-138,318
21211,-323,-4461,-55,103,-160,321
23878,588,-2912,-41,39,-171,323
25378,1137,-2726,-51,110,-125,324
22701,382,-2333,-56,117,-84,326
22829,235,-3442,1,54,-115,326
24555,3079,-598,22,45,-109,327
24005,1637,-519,-8,49,-60,329
23633,1068,-1461,-2,79,-44,330
20191,2686,-58,30,83,-69,332
22672,1902,1274,-2,26,-50,333
22319,2098,58,3,39,-40,334
22927,2441,500,6,26,-31,335
23849,2667,990,5,40,-1,336
22142,2510,921,-7,29,23,336
22211,1755,39,25,18,13,336
21573,2657,1372,28,39,29,337
21407,2078,1667,12,22,33,337
21054,1500,1578,26,40,25,337
20210,1353,2186,18,38,20,338
