ax,ay,az,gx,gy,gz,flex
1833,13218,10630,-572,36,-40,382
3775,21819,3491,-572,-28,-198,365
5118,-30763,-3442,-572,-53,-258,343
5501,-13239,-13454,-572,-57,-191,328
-637,-3433,-23250,-572,-109,-188,347
-8786,3471,-27653,-572,-249,-301,352
-23358,29340,28419,-572,-527,-473,375
-8492,28016,18848,-572,-572,-368,379
823,13797,21418,-572,572,-61,400
13248,12855,-3059,-234,572,-314,394
13248,12855,-3059,-234,572,-314,394
-21604,30595,-5560,404,572,-379,387
-18280,-7395,2668,572,572,138,391
-11435,6001,30292,572,572,572,383
28350,27281,-27899,572,572,572,391
-22240,-24987,-12630,572,572,572,390
-31223,23760,5364,346,572,338,394
-28075,8413,-362,-180,572,493,372
30322,-20202,-8943,-182,331,522,352
-24182,-30842,-9874,-61,26,572,350
-23260,26467,-10100,-44,-43,572,348
-20514,22721,-8786,-167,-165,572,347
-20328,22299,-11061,-423,-200,555,344
-23054,21711,-15650,-572,-188,572,340
-25045,22034,-20652,-572,-262,572,337
-29821,24584,-24898,-572,-355,572,333
-29575,-32626,-23662,-572,-458,572,333
29184,-5963,-26437,-572,-536,572,343
11964,26378,18446,-572,-480,572,340
-25153,-4531,17034,-572,131,572,334
-18102,10610,-31752,-572,572,550,351
-30605,29536,-2451,-572,572,-60,362
13493,-4776,18407,-479,572,-572,445
-17338,21740,-27575,572,572,-409,504
-24772,-18152,27969,572,572,572,499
-745,6991,-2167,-130,572,572,481
13386,970,22760,-186,572,572,485
-3304,-13063,-23114,418,-572,572,504
11424,-3796,-22075,572,-572,572,420
9982,2745,-30047,572,-521,524,490
7423,-1354,27604,192,-572,572,532
10492,-9346,9031,33,-572,572,544
16298,-17525,2706,264,-572,572,534
15680,-24546,6227,494,-572,492,551
9335,-28017,10728,570,-527,400,547
5883,-31577,11561,420,-361,315,541
6933,25006,8845,355,-222,282,536
2912,21770,8570,356,-134,262,509
500,16808,11355,259,-94,231,534
-2971,11140,7747,193,-57,198,510
-392,7089,8178,143,-101,122,530
1412,4452,5011,51,-40,82,419
2647,1098,2059,44,-13,63,460
3314,539,617,25,-100,53,476
8776,-843,-2667,-26,-61,58,549
7845,-2157,-7688,3,50,12,549
10492,-1882,-6217,46,66,-36,552
14199,-853,-8100,-5,89,-26,549
17700,-1539,-9433,-34,158,19,557
18416,-725,-9580,-51,233,25,569
21779,186,-9884,-107,360,44,562
21721,-1745,-9953,-91,473,67,540
26987,-931,-6972,-92,557,132,545
25202,-2892,-7119,-59,572,209,536
22946,-2265,-2941,-11,572,237,508
21642,-441,29,-74,572,248,479
17818,-4030,2686,-107,496,219,421
15062,-6746,2657,-66,294,156,443
14817,-3216,1588,63,35,57,423
18416,-3912,4824,66,-4,60,400
13150,-6148,3912,-15,67,73,372
13777,-5903,2618,-37,29,63,354
12434,-7335,3138,-78,30,29,347
10688,-9423,1274,-67,-4,-23,335
13042,-9110,-117,22,-27,-91,332
14797,-6491,3608,37,-23,-140,330
15680,-6197,3471,-20,18,-134,327
15709,-6893,1598,17,12,-151,327
16847,-4501,3716,20,-29,-161,330
19014,-3883,4197,-44,-55,-144,329
