ax,ay,az,gx,gy,gz,flex
21044,-2069,-6423,370,-439,524,502
16435,-6481,-6854,423,-318,572,489
12493,-6236,-5697,507,-354,572,508
11669,-7188,-1441,490,-306,572,508
4814,-7129,-549,373,-101,572,512
-3255,-10257,-725,386,-98,572,544
-6991,-7217,-2961,440,-215,545,503
-11257,-9355,-862,420,-319,429,529
-12130,-13738,68,550,-378,330,528
-16641,-11728,-3422,572,-463,135,511
-16641,-11728,-3422,572,-463,135,511
-16023,-11071,4206,572,-555,-14,543
-19102,-9276,13621,572,-515,-138,517
-18514,17857,18994,572,-572,-356,498
14032,-4874,990,572,-572,-339,526
23201,6413,-26625,-480,395,224,472
-3177,-14611,9306,-248,-78,69,567
4059,-10610,16268,155,-47,-60,541
13209,4383,-29734,-69,51,-39,550
5913,7472,-30538,-475,116,78,569
-254,3696,26987,-572,46,188,562
2951,-3196,21309,-572,28,307,577
-3618,-9178,12905,-572,244,316,538
-5942,-15699,3481,-572,165,232,569
-6109,-20269,-2382,-558,138,110,532
-5236,-23839,-9443,-132,50,88,538
-5962,-23299,-12512,256,-67,-3,548
-3981,-24074,-12257,572,-125,-108,539
-4559,-20269,-10237,572,-130,-206,569
-8149,323,1922,572,-239,-318,569
-3138,8904,-11690,572,-439,-475,582
30595,15925,-31626,-488,137,166,532
-4658,-21358,225,-337,143,157,570
-5109,-12228,13150,174,-79,-105,551
11600,9306,-30930,87,-198,4,572
3245,9786,32007,-333,106,166,558
-1255,5530,21662,-519,11,144,577
-1774,598,19818,-572,-79,85,563
117,1657,17219,-572,44,62,560
-4128,2569,15170,-572,125,-54,566
-7384,490,9198,-572,98,-242,539
-7443,460,8011,-572,100,-392,541
-7040,794,5177,-572,72,-500,524
-5481,2569,2696,-572,73,-572,502
-1068,6148,-1333,-572,88,-572,503
2941,7286,-3010,-572,180,-572,487
7894,13944,-6285,-572,297,-572,489
18298,17798,-7423,-572,456,-572,463
29987,16102,-4952,-572,572,-572,451
27928,11493,-284,-461,572,-572,430
26565,18916,7207,-226,572,-572,425
25722,18543,14503,-36,572,-572,407
20073,20132,20769,166,572,-572,407
12591,21466,23564,176,199,-572,400
19514,25025,23760,243,-80,-572,391
25849,26182,26643,250,47,-572,409
18279,26565,25339,168,215,-572,399
14670,25584,23290,166,145,-572,396
15180,25614,21191,232,22,-572,401
17043,26496,19249,287,-99,-551,413
19122,27242,18759,195,-186,-395,408
16298,24868,15160,83,-386,-249,402
22711,21152,12287,39,-470,-127,410
20279,18759,9776,28,-199,-12,407
13630,17239,7580,44,28,44,407
10708,16621,7315,78,87,47,413
9306,18573,7550,68,106,62,408
9257,19495,8168,11,108,87,419
8443,19573,8433,-21,110,109,430
7237,19759,7433,-5,102,122,425
6550,20201,7335,23,53,120,433
6658,20387,7658,31,24,121,438
6491,20338,7992,15,19,137,439
5913,19995,7766,1,22,154,441
5216,19573,7609,-7,25,154,441
4667,19102,7403,-18,31,148,442
4265,18426,7099,-21,40,135,444
3912,17935,6923,-12,44,117,444
3510,17808,6972,-6,42,95,445
3471,17671,7089,-7,36,72,445
