ax,ay,az,gx,gy,gz,flex
4559,20867,10522,-134,428,19,309
3187,21034,10257,-141,454,69,310
5609,22838,12179,-154,376,137,310
9247,26839,13944,-195,332,223,309
10159,28448,15356,-267,271,306,309
14130,-32754,17435,-389,192,443,314
11855,-29939,17680,-473,116,572,318
13209,-25085,23250,-572,-36,572,316
16219,-20417,27859,-572,-52,572,337
11267,-17672,31958,-572,-136,572,361
11267,-17672,31958,-572,-136,572,361
10149,-21310,-30106,-572,-178,572,397
9580,-25174,-25831,-572,14,572,407
-1539,-30440,-23369,-572,255,572,400
-6648,30340,-23144,-572,117,572,382
-9100,25486,-28459,-572,141,572,379
-11944,21672,28105,-572,178,572,375
-12709,19946,23741,-572,230,473,394
-12787,14356,15356,-572,298,317,388
-13101,12356,9884,-519,297,135,374
-8737,10894,8041,-505,254,48,378
-6638,6580,4216,-443,359,-14,367
-9453,7354,-1245,-313,385,-128,364
-6266,9237,2471,-317,283,-196,360
-2765,5589,-215,-296,353,-238,349
-4922,8570,1108,-182,337,-308,355
-1431,8041,2020,-178,266,-384,332
843,8021,1990,-98,322,-435,353
1431,10286,2637,-74,321,-509,354
7717,8119,-215,35,304,-572,350
13915,13326,-2804,196,259,-572,340
30301,15552,-1441,260,199,-572,314
-22663,10953,-5991,514,233,-572,341
-6522,12532,1039,572,163,-509,368
3108,-1912,13522,572,92,-157,363
-6551,-9502,27889,572,145,129,360
-15348,-12895,-23252,572,-81,265,355
-16613,-18504,-10189,572,-136,494,353
-31263,-18416,-13063,438,-135,572,353
25486,-13650,-8728,287,-175,572,347
14758,-10031,-9150,32,-53,572,337
4795,-5923,-14092,-113,-40,572,341
264,-1784,-18593,-230,36,572,335
-4814,2108,-24418,-374,109,572,338
-7158,2637,-30538,-428,191,572,345
-12356,2098,27751,-433,254,492,349
-11983,696,22691,-446,289,342,350
-11620,-588,17033,-418,345,232,351
-11669,-666,12267,-371,388,114,346
-10512,470,10071,-328,383,8,348
-8511,588,7619,-295,391,-78,350
-6776,2834,7237,-222,386,-177,351
-5079,4354,6021,-215,356,-260,351
-2059,4255,4226,-178,333,-309,351
-1490,5089,2853,-112,335,-358,347
-1490,6109,1235,-60,323,-419,354
725,6168,480,-3,304,-463,354
2314,7952,500,84,318,-505,351
4236,10100,225,151,319,-566,343
9561,11296,-78,273,323,-572,352
14768,15729,2588,392,321,-572,366
26996,16739,8001,512,268,-572,367
-25144,16808,12002,572,282,-572,365
-21300,17308,20250,572,284,-437,361
-14818,10335,26810,572,226,-235,362
-15710,2883,32743,572,240,-20,360
-22997,-1166,-17544,572,158,150,359
-23889,-4824,-12759,572,-41,236,362
-22663,-9590,-14838,450,-108,402,366
-28204,-6227,-17809,340,-64,572,369
24358,-1451,-13249,246,-5,572,370
11493,5942,-13043,-4,19,572,371
4520,4873,-17289,-185,-62,572,371
-1147,4393,-23673,-381,-71,572,371
-4589,2912,-31008,-448,-116,572,371
-1510,4314,29762,-511,-162,456,370
-2990,2961,19602,-509,-153,366,370
-1529,3108,14297,-487,-81,284,371
-3912,3020,7717,-460,-28,207,367
-1363,1127,3353,-375,11,112,369
