ax,ay,az,gx,gy,gz,flex
27801,27360,23113,-24,-153,-42,288
17876,-30693,28546,-5,-121,214,290
13925,-23819,27467,-15,4,310,292
12718,-22309,20985,-51,83,397,292
15180,-24074,17023,34,40,444,293
21877,-21642,17827,17,123,503,295
18014,-22956,16955,-42,132,572,296
12983,-30625,13709,62,14,565,298
12140,-26947,21662,24,42,572,300
3755,-28634,20769,-218,-20,499,300
3755,-28634,20769,-218,-20,499,300
-1755,-26379,16553,-196,-44,245,300
3334,-15474,14229,-162,8,46,301
-8305,-3118,8021,-288,110,18,302
-12277,10786,4510,45,-100,-274,303
460,-27537,13326,437,76,-503,305
6236,-6355,32262,445,278,-461,306
10894,-20427,-9748,370,572,-484,303
-2677,19014,-29606,91,-76,-486,298
-21329,10326,23417,-39,-233,-70,299
-8874,6305,18985,-144,189,129,299
-11738,-1618,14552,-74,-267,-17,299
9463,421,20877,-1,72,-43,299
29,-1873,17014,-47,117,10,299
4775,-1971,19779,4,-9,8,299
3726,-2451,21122,15,52,21,300
755,-3147,21534,4,4,15,300
3451,-3481,22034,10,-15,3,301
5118,-2892,22829,11,3,21,301
2177,-2216,22485,0,-22,34,303
3216,-2245,22240,-23,-22,41,304
3039,-3089,22240,-31,-40,49,304
2177,-2794,22446,-42,-22,55,305
2000,-2637,21848,-50,0,45,306
2461,-3255,21015,-41,-14,35,306
2628,-3863,21211,-19,-20,30,307
2990,-3520,22711,-11,-1,23,308
2284,-1539,22819,-42,14,18,311
-1980,-4334,20524,-74,-77,9,312
1931,-3589,18632,-56,-172,-7,315
5167,-2657,18220,-46,-157,0,318
4971,-1068,19328,-71,-149,13,325
4569,-58,16896,-125,-182,17,336
4687,-2088,16670,-135,-249,23,359
6256,1461,17533,-117,-306,31,383
5216,1441,14787,-135,-374,66,407
4040,-2461,13738,-151,-464,51,426
8747,-29,10953,-205,-447,54,447
6962,-774,9198,-221,-298,62,461
5266,-6619,6197,-213,-258,24,469
8511,-3893,5570,-153,-170,-40,475
6884,627,5118,-81,-43,-79,480
4893,-4334,2951,-67,-46,-135,480
5815,-7796,1980,-30,-81,-217,480
8492,-1314,5069,79,-97,-335,477
8757,2510,6766,66,-17,-407,468
10561,-2951,3020,54,-48,-528,464
18161,2451,7482,182,-75,-572,463
27810,11228,14346,205,10,-572,475
25771,9423,13611,163,134,-572,470
26879,9865,15935,209,54,-572,466
27398,9374,19308,277,157,-572,467
27702,12277,21966,337,279,-572,471
22868,17376,23868,251,315,-509,474
23064,18102,23554,181,195,-473,473
22623,17749,22005,210,152,-450,469
20436,17994,21083,262,156,-425,472
18543,19063,22054,232,119,-368,476
17690,18367,21113,161,77,-311,476
17092,17602,19544,144,51,-267,475
15749,16896,17906,159,1,-238,475
13836,17788,16249,180,-83,-222,475
15180,19053,15307,157,-187,-186,476
15876,19808,14219,65,-156,-88,476
14356,19269,12463,-25,-72,4,476
11169,18573,10620,-70,8,40,477
7796,17769,8835,-58,9,54,477
8001,18210,9453,-31,-38,67,478
7913,18720,9512,-27,-30,74,478
7109,18573,9198,-21,4,91,478
