ax,ay,az,gx,gy,gz,flex
6629,254,4618,-20,-27,99,346
10257,-411,3736,2,-76,68,346
12032,-411,4638,10,-58,57,348
12738,-1245,4834,-52,-20,52,348
14474,-2559,598,-20,17,30,347
15601,-2235,2216,28,-19,16,347
17327,-1706,3873,-6,-24,16,348
18092,-2922,1843,-35,3,14,348
18465,-3226,460,20,-7,-1,347
21260,-1274,3324,12,20,-2,349
21260,-1274,3324,12,20,-2,349
18828,-2814,3814,-54,57,13,350
19651,-4295,715,-29,40,2,351
19759,-2137,1412,38,13,-4,351
21191,-1696,5491,-35,6,18,353
19092,-4912,1441,-50,33,19,354
17965,-3314,9,56,-9,-18,353
22603,-2020,4118,45,-52,-14,354
20760,-2481,4510,-14,-8,13,354
20485,-3657,2157,-7,28,6,353
21338,-2186,3010,6,57,11,353
20161,-2785,4412,-39,63,32,353
18514,-4599,2471,-20,38,12,353
19769,-2530,3089,32,13,-10,353
21024,-2588,4775,-4,16,8,353
19730,-3294,3118,-16,5,18,354
19485,-3451,2118,25,-6,-2,354
21044,-2177,4334,17,-5,-3,354
19602,-3039,4138,-26,-2,12,354
19269,-3795,2324,-2,-14,0,355
20240,-2549,3343,17,-14,-8,355
20534,-3363,4226,-3,7,0,356
19651,-3236,3932,-5,-3,2,356
19955,-2922,4226,-1,-11,1,356
19357,-2765,4099,-10,2,-3,357
19504,-3010,3942,-14,4,-11,357
19583,-3245,3265,4,-12,-13,357
20161,-1951,4206,6,-13,-14,358
20279,-2539,4206,-19,-3,-5,358
20416,-3755,3873,-9,11,-6,358
19612,-2716,3785,17,2,-17,358
20681,-1608,4216,0,-12,-19,358
21113,-2157,2608,-14,-11,-15,358
21495,-2520,2824,-6,1,-3,359
20230,-1735,2637,-11,6,-1,359
20201,-2157,2500,-22,6,-7,359
20014,-2343,2353,-15,-17,-7,359
20279,-2363,1569,-3,-21,-9,359
21093,-2255,3059,-4,0,-8,359
20259,-2814,2745,-16,12,1,360
19818,-2873,2794,9,5,-5,360
20456,-2598,3785,10,-2,-6,360
20524,-2530,4795,-3,12,-2,360
19632,-2451,4079,-4,16,-6,360
20367,-2422,3951,6,0,-16,360
21044,-1510,4893,1,0,-12,360
20603,-2029,4216,-17,-3,0,360
21132,-2618,3863,-14,1,0,361
20809,-2216,3863,1,1,-2,361
21387,-2451,4756,-3,0,0,361
21054,-1961,4697,-23,5,6,361
20711,-2539,3294,-21,-4,9,361
21211,-2275,3863,-2,-4,9,361
20563,-1882,4314,-13,-9,15,361
20240,-2059,3373,-18,-30,11,361
21034,-2637,3108,-7,-18,16,361
20456,-2186,3451,3,-1,23,362
20152,-2618,4118,-11,7,28,362
19289,-2598,3638,-22,-1,29,363
19298,-2775,3138,-15,-13,24,363
18749,-2726,2912,-9,-7,24,363
18838,-2706,3902,-17,-9,16,363
18200,-2824,3608,-34,-4,16,364
18024,-3304,2598,-28,-5,3,365
18867,-3255,2628,-6,2,-3,366
18534,-2981,3049,-12,15,-4,367
18720,-3138,2961,-7,-7,-24,367
20338,-2677,3206,-13,-15,-27,367
21220,-3049,3030,-23,19,-23,367
22309,-2392,3049,-34,34,-20,367
