ax,ay,az,gx,gy,gz,flex
11679,2667,-7129,39,-572,-95,528
13277,647,-9345,-6,-572,-115,520
9610,-2000,-12542,-48,-544,-143,520
8109,-882,-15601,-128,-572,-152,525
8462,-1451,-19612,-235,-572,-92,526
8423,-3314,-22515,-293,-572,-1,528
4148,-2637,-24662,-346,-572,52,534
2745,-1137,-26692,-388,-572,121,517
-470,-382,-31792,-474,-533,222,522
-4167,-755,29547,-391,-500,268,519
-4167,-755,29547,-391,-500,268,519
-7060,-862,30420,-341,-390,279,530
-6570,-4912,29302,-249,-306,228,557
-3559,-8149,31901,-143,-166,165,559
-1353,-12002,31832,-53,-80,102,555
2618,-12914,-29928,55,-5,90,544
2304,-11434,-27232,103,140,62,518
2186,-10963,-25476,117,304,19,461
509,-12101,-25329,182,423,-7,529
4658,-11041,-21750,263,471,5,545
8776,-9002,-21809,163,572,78,530
6805,-10296,-26771,129,572,172,514
7462,-8747,-26555,158,572,232,524
9110,-8992,-27653,180,572,271,514
10747,-8894,-26996,228,572,282,480
12679,-4442,-26026,257,572,269,440
13552,-5560,-21927,283,496,182,414
15974,-4354,-17131,325,331,80,420
22162,3059,-12238,245,280,80,411
21436,-1588,-9629,137,377,98,388
19043,-3216,-6736,179,301,47,379
19191,-598,-1225,203,239,12,385
19063,3422,1206,43,247,-14,376
19524,-549,0,46,137,-50,361
23868,2451,4785,42,191,-33,354
18543,6903,4393,-120,390,2,356
12130,2314,-156,-46,198,-108,356
20250,6511,6766,62,-6,-153,358
23397,7286,9267,-58,200,-60,358
16170,5530,7031,-82,434,-55,361
5275,3363,4393,-4,110,-180,359
21319,4481,7541,79,-266,-228,366
23260,6540,9198,-19,40,-106,368
15062,1019,4716,-102,97,-38,368
18200,647,4854,-6,79,-76,370
18190,1186,6942,-8,119,-51,373
19916,-284,7305,-48,112,-13,374
16337,-764,5707,-23,84,-2,374
17592,-1117,6540,-10,-36,-10,375
21328,-1225,7188,-16,-6,-3,375
17180,-1529,7119,-8,13,3,373
19534,-725,8188,-22,2,0,373
18416,-1284,6942,-18,42,0,374
18180,-2059,6697,-6,-6,-10,374
20161,-1245,8031,-9,13,-9,375
19465,-1274,7727,-29,23,-3,376
19808,-1971,6835,-18,5,-1,376
19396,-1451,7168,-1,0,-5,376
20367,-1108,7776,-16,0,-9,377
19789,-1157,6648,-24,8,-3,377
19210,-1519,6550,-18,-28,-6,377
20661,-1274,6687,-11,-28,-10,378
20465,-941,6638,-21,-11,-1,377
20514,-1529,6795,-32,-1,7,378
20181,-1823,6511,-14,19,4,377
18896,-882,6658,-6,-17,0,378
20318,-1314,6736,-13,-60,0,378
21328,-1569,6658,-9,-18,4,378
19534,-1402,6531,-7,20,6,378
19877,-1049,6746,-12,4,6,378
19730,-1117,6580,-22,1,10,379
19573,-1637,6236,-15,-7,1,379
20318,-1421,6207,-5,20,0,379
19377,-1137,7001,-12,21,10,379
18779,-1421,6609,-25,-16,5,379
19897,-1814,6089,-8,-23,-8,379
20240,-1372,6325,-1,-2,-5,379
20495,-1245,6864,-13,2,1,379
19818,-1353,6354,-22,-1,4,379
19936,-1647,5805,-12,-15,0,380
