ax,ay,az,gx,gy,gz,flex
16886,8384,-1735,572,-169,188,326
17886,4638,4206,572,-98,203,324
20505,2216,8845,572,-46,293,321
15111,-1804,12816,572,-49,238,320
14327,-5197,15239,542,-202,158,319
24839,-7482,23231,418,-186,181,317
18681,-16268,24182,380,13,196,313
9433,-17680,24162,425,-93,70,312
18249,-17318,28418,400,-72,10,311
25614,-15395,-21614,189,290,119,306
25614,-15395,-21614,189,290,119,306
5295,-19524,27967,-91,389,97,306
6805,-14944,5628,-89,-103,-46,310
16356,-10159,-7737,-140,-23,4,312
10365,-14572,-4471,10,180,84,312
3853,-15435,13395,57,44,40,306
9590,-16288,14846,-86,-13,-7,308
14503,-16023,4324,-77,-95,-32,311
17072,-15278,2765,-20,-14,0,313
14179,-14797,6040,0,17,24,313
11345,-14415,6844,-2,3,13,313
11983,-14591,5717,1,-8,-1,313
13307,-14052,6099,8,4,-1,313
12571,-13836,6717,4,0,4,313
12885,-14523,6893,0,-12,0,313
12836,-14376,6560,-1,-17,-1,313
13091,-14425,6570,-4,-9,1,314
13307,-14562,6305,-8,-21,2,314
13660,-14513,6119,-3,-12,2,314
13052,-14758,6364,1,-5,3,314
12767,-14336,6442,-1,-14,0,314
13022,-14111,6521,-5,-11,1,314
13542,-14562,6207,-5,-9,0,315
13415,-14219,6531,-5,0,3,315
12493,-13954,6452,-9,-12,0,315
13140,-14483,6501,-12,-16,-2,315
13062,-14385,6432,-10,-5,-1,315
13228,-14140,6197,-15,-14,0,315
13189,-14425,6119,-17,-15,-2,316
13238,-14248,6501,-13,-14,-7,316
13228,-14356,5981,-17,-17,-5,316
12787,-14189,6168,-18,-18,-9,316
12787,-14297,6246,-21,-24,-14,316
13611,-14219,5864,-21,-35,-18,317
13709,-14307,5746,-20,-34,-12,317
13444,-14925,6021,-24,-37,-10,318
13444,-15925,5717,-14,-43,-16,318
13974,-16641,7413,12,-64,-27,317
13866,-17151,9139,33,-86,-39,317
16043,-16749,13405,37,-174,-68,319
21927,-15964,19004,-33,-167,-34,321
23564,-14680,21976,-166,-20,60,323
19622,-14709,21191,-281,131,126,326
14984,-16131,19396,-364,184,74,328
16915,-13532,16327,-404,308,41,332
16464,-11296,13258,-544,450,66,336
15954,-14915,10365,-572,572,83,342
7952,-12630,6119,-572,572,-14,345
4000,-11502,4667,-545,572,-208,348
10943,-9237,3932,-487,452,-308,350
9502,-5668,1176,-424,481,-341,351
8864,-1519,254,-362,306,-442,351
14768,1618,1843,-301,155,-492,352
15660,5109,490,-294,162,-474,352
14993,7717,-1755,-229,37,-497,352
24839,10649,1049,-276,61,-441,350
23015,7413,-2549,-312,270,-341,347
21966,6609,-5040,-203,205,-338,346
27771,5775,-441,-140,65,-279,344
27398,3775,-1637,-157,73,-171,342
23113,2108,-2402,-117,73,-112,340
22221,-58,-49,-54,24,-98,340
24545,1098,2481,-63,30,-76,341
22770,755,549,-62,65,-57,339
22152,1480,333,-28,0,-62,339
24054,2549,627,-23,-26,-34,340
23378,480,127,-11,-3,0,339
22172,1265,2108,11,4,-1,339
22868,1755,3510,-19,27,9,338
20838,392,3265,-39,48,33,339
