ax,ay,az,gx,gy,gz,flex
12444,18965,11875,137,130,-18,472
14032,25114,13777,44,77,79,460
20289,25104,16082,-22,-196,188,456
28134,27702,17219,55,-258,310,423
32223,31125,14866,63,-360,477,401
-28527,-29204,10688,-10,-363,572,375
-26507,-25674,5746,2,-325,572,348
-26654,-23448,225,45,-299,572,326
-30636,-27027,-2716,102,-244,572,311
28212,-29812,-5393,174,-166,572,305
28212,-29812,-5393,174,-166,572,305
21809,32684,-6109,223,-64,572,303
15484,29830,-6168,249,83,572,292
4756,26045,-3804,245,162,572,295
-2020,23986,-1725,193,208,572,292
-15758,22446,-137,164,213,572,289
-30840,24535,-441,58,24,572,293
20672,20926,4942,11,-121,458,289
1874,16562,14719,10,-42,10,291
3609,28438,17053,-219,-106,-572,304
-32086,-30342,7364,-572,-156,-572,308
-6109,-27233,-2500,-572,60,-572,308
19475,-16907,1676,-533,281,-572,291
-6836,-22300,-9355,-572,555,-572,284
647,-21496,-8619,158,-424,-572,300
-19614,-27821,-22397,128,-572,-572,295
-11896,441,-21093,-99,572,-182,296
19406,-14974,-186,216,-377,159,297
27594,-1127,2902,250,-146,486,302
4481,11512,-2696,253,225,572,304
-17603,24300,-4442,267,-40,572,309
-23134,-32185,-6785,235,-115,572,298
23437,-29331,-7325,268,233,572,314
-921,-23761,-5570,225,339,572,314
-17357,-24095,-2373,97,228,572,315
31508,-26958,-1539,2,169,572,315
9277,-31508,5442,0,-10,292,309
-14219,31635,13513,-70,100,-271,304
2119,-27586,13277,-293,-118,-572,306
-30468,-22977,1823,-414,11,-572,307
-10669,-23075,-12777,-152,147,-572,307
-30214,-2580,-24476,141,-444,-572,300
28526,20357,26772,253,-307,-572,315
-30067,-19103,24821,469,572,-572,313
17739,32194,30448,572,481,-44,310
22878,-27311,-25007,383,-190,450,315
-4776,-20829,27143,122,489,572,315
-27066,-15759,12130,-219,572,572,300
16406,-22536,-6060,-515,572,572,313
13258,-30518,-15484,-478,402,572,312
8933,-32215,-17425,-413,487,572,310
11267,32105,-18759,-479,572,572,308
4275,28830,-22966,-566,572,572,306
-2078,29958,-27251,-572,572,572,301
-5923,31703,-26908,-572,539,572,301
-9512,28438,-28909,-572,572,572,302
-7609,27889,-27702,-572,550,572,306
-9894,23770,30263,-572,572,572,309
-23535,22260,17250,-572,572,572,311
26507,24339,-3098,-572,572,572,314
5453,6276,-19749,-572,572,572,315
-2323,8590,-21652,-572,572,572,316
12769,15248,-58,-163,-309,90,319
-20004,16249,21094,-141,-572,-250,317
-4667,12924,-32056,-223,-553,-167,323
-12620,12983,-32086,-278,-256,-74,343
-11669,16759,-27948,-258,-244,-173,372
-9394,17327,-27536,-203,-116,-345,441
-6609,15042,-25349,27,11,-457,457
-2588,16670,-17896,266,113,-499,507
-2883,15091,-15592,455,262,-556,503
-5011,14905,-14297,572,276,-572,491
-3922,17651,-6442,572,263,-572,502
-2196,15062,-4412,572,326,-572,506
-1853,18985,-3922,572,234,-572,501
5462,24957,8894,572,184,-572,534
9021,26575,14111,572,214,-572,554
18965,-32352,27918,572,552,-572,565
11551,-29665,-15524,572,572,-287,552
-15474,22230,-10562,572,572,-132,0
