ax,ay,az,gx,gy,gz,flex
26918,29242,-5207,393,-572,295,473
27536,-31773,-11581,483,-572,388,452
27820,-28733,-17876,572,-572,410,441
24672,-23271,-21201,572,-572,395,394
23652,-17024,-22270,572,-572,387,413
19926,-18152,-21613,572,-572,308,412
12699,-18397,-26398,572,-572,124,414
18700,-14779,-21760,572,-572,104,415
11738,-22085,-20338,572,-162,57,413
4030,-24556,-20603,572,-187,-11,413
4030,-24556,-20603,572,-187,-11,413
4422,-28370,-19377,572,-188,-64,413
4285,-31381,-14356,572,-102,-90,413
-519,29085,-10639,572,-78,-133,410
-1294,24790,-6825,572,-125,-199,409
215,21485,-1569,572,-141,-290,412
745,16180,1980,572,-76,-300,403
3471,11120,8776,572,-33,-324,410
4971,6776,23260,572,87,-369,417
8551,18632,-13151,572,172,-572,437
14327,21348,5471,572,368,-572,450
8198,4785,-15671,-400,113,40,441
-666,-9482,25025,-572,-174,368,432
6442,-10492,24113,-371,-332,299,434
8913,-6089,28340,-425,-160,236,441
5207,-3559,25996,-572,-35,282,439
1265,-7040,20387,-572,-20,297,436
578,-3942,16464,-572,-47,226,421
29,1108,10384,-572,-70,252,426
-39,-1529,1755,-572,-65,230,437
3471,2745,-3432,-572,36,160,417
5687,9718,-2755,-572,212,98,425
-2530,10482,-9472,-572,343,66,432
-1667,22633,-9982,-572,59,-65,433
8845,-31626,-11669,-572,28,-83,435
11414,-23742,-22858,-572,159,-52,438
5687,31292,27606,-572,133,-15,425
2402,19740,21928,-558,-177,-23,426
8060,14709,27213,-331,-117,-40,426
6197,13777,-31713,-237,60,-11,428
6079,12895,-28918,-148,52,-23,427
5373,14886,-26996,-120,10,-28,428
6942,14130,-26261,-114,-97,-16,428
9051,13748,-27457,-55,-40,-11,429
6128,13169,-28016,2,30,9,429
6560,12267,-25467,47,11,24,431
5785,11434,-22299,112,-3,14,431
4354,12022,-19622,146,-29,18,432
3853,11532,-17994,154,-63,10,430
4197,9188,-16543,187,-57,8,428
5511,9806,-14160,188,-4,15,427
3422,8953,-14199,176,43,20,430
3706,8639,-12483,191,-25,11,420
5952,7050,-11483,168,17,27,435
5795,6923,-10747,184,127,32,436
8060,4775,-8659,222,247,44,428
9639,6089,-6589,199,418,120,447
9835,7550,-5687,118,571,184,453
9698,7433,-5687,88,572,214,446
8276,6295,-7050,16,572,214,465
6315,6266,-7707,-48,572,163,478
5717,6021,-7227,-80,572,97,482
3883,2667,-5815,-46,572,1,479
4403,2579,343,60,572,-179,480
4687,7756,4579,119,572,-386,477
4422,12738,6178,135,572,-514,482
5187,15160,9718,178,517,-572,490
8070,19720,13562,283,283,-572,489
8913,26320,14013,334,224,-572,480
9178,31782,14297,316,158,-572,493
10786,-31146,14797,298,117,-572,491
10718,-28449,15827,330,124,-572,490
11502,-27743,16425,392,84,-572,497
13611,-26929,14493,368,56,-572,494
16553,-30949,13807,256,5,-542,491
16062,30791,14640,200,-5,-362,492
13748,28879,14984,152,-92,-246,495
13032,26143,13630,76,-173,-166,493
13689,23564,11365,19,-227,-91,493
14336,22662,10522,-14,-219,-18,492
