ax,ay,az,gx,gy,gz,flex
872,-3255,-245,-263,200,200,553
-2441,-5962,-529,-218,113,145,553
-3343,-7913,627,-153,22,86,553
-1735,-11453,303,-100,-3,70,553
-2333,-12189,2461,-60,-12,69,553
-2255,-14866,3510,-10,24,70,554
-2608,-16592,5462,47,5,59,555
588,-16817,6178,73,-60,14,555
2941,-18514,4785,99,-68,1,556
7639,-16327,2804,100,-105,39,556
11032,-12640,-764,146,-101,70,557
13297,-8963,-3275,233,-69,121,557
11963,-4667,-5530,340,37,197,557
11581,853,-6550,424,36,268,557
11797,7011,-5481,572,69,279,558
12424,13719,-3942,572,173,274,558
11453,19887,-4569,572,253,303,558
13522,28722,-4206,572,257,409,558
14003,-24644,2069,572,130,518,559
12895,-18211,19073,572,-297,572,560
11414,-4874,-19564,572,-572,572,562
25712,10218,-4404,572,-572,572,566
-15956,21740,794,572,-572,572,568
-14230,26790,-5012,559,-404,572,566
-24919,19073,-11837,206,79,572,560
23250,5726,-19966,-66,395,572,561
7982,-11405,-30842,-338,457,572,552
-333,-25105,25927,-538,313,572,565
-5864,29144,20397,-572,111,572,536
-7227,22515,17102,-572,-14,572,565
-5344,18484,15415,-572,82,572,557
-8129,15631,10796,-572,172,433,564
-7197,16337,8943,-572,258,331,558
-10698,13640,6050,-572,302,264,562
-9472,11973,2794,-572,337,183,556
-10316,8188,156,-572,353,65,559
-11767,6874,186,-450,273,-63,559
-9129,7050,1569,-384,224,-205,558
-7962,6501,2029,-334,246,-346,556
-6893,7433,3353,-268,258,-439,560
-4863,10737,3461,-247,272,-543,560
-4530,14297,3314,-255,321,-572,561
-4579,19308,4000,-229,378,-572,557
-578,27516,8100,-153,414,-572,554
-2392,-29488,10365,-91,289,-572,539
-2785,-16426,14366,-93,58,-572,544
2677,8560,12895,-209,-60,-572,565
16278,27261,12414,-299,-156,-572,547
28114,-30842,21485,-214,-153,-572,562
-31165,30919,12620,-290,-43,-572,560
-28370,9119,941,-418,-71,-572,563
-27164,-12268,-4275,-328,-56,-572,562
27712,-23095,-431,-61,-91,-381,548
20367,-25938,3696,92,-98,-228,556
15719,-30724,4295,82,-42,-213,539
15405,28203,4167,35,35,-203,559
14944,23917,2863,-16,172,-162,549
15641,20720,2677,-27,273,-138,558
14954,18788,3628,-22,316,-108,536
13209,18043,3520,-26,218,-71,552
13670,17975,3922,-16,42,-36,554
15621,18180,3500,7,-111,2,548
16504,18073,3902,14,-173,63,533
15847,18857,2951,25,-172,119,561
14640,19700,3746,42,-172,195,552
14640,21377,4756,36,-118,274,549
13562,22662,5148,43,-74,323,553
12365,23280,5638,64,-8,341,551
11591,23172,6354,113,92,376,553
10218,24015,6246,142,205,400,551
8923,24358,6354,145,311,400,558
6795,24388,5491,165,378,365,566
5609,24408,5511,174,397,346,567
4795,24290,5570,161,390,345,567
4403,24045,5207,168,349,344,566
4991,24104,5109,202,299,323,566
4157,24780,5432,224,291,268,566
4893,24084,5609,195,279,257,566
4667,23388,5275,143,266,270,566
3912,21897,4863,118,231,249,565
1980,20691,4922,120,211,197,564
1765,19416,4971,109,168,184,563
1225,18514,4618,80,105,180,562
657,17386,4422,56,29,135,562
1215,16455,4403,49,-25,71,563
1774,16209,4883,44,-40,9,563
2588,15366,5628,38,-26,-29,564
2628,15974,6070,29,-27,-50,563
1882,17131,6148,-14,-65,-86,563
1774,18151,5736,-45,-113,-176,564
3059,18936,5393,-51,-139,-251,564
4069,20642,4491,-68,-144,-290,564
5226,21564,4275,-75,-145,-324,564
7139,22495,5187,-44,-147,-341,564
7639,24319,4383,-38,-129,-355,564
8972,25231,4295,-63,-97,-353,564
9904,24515,4040,-58,-69,-321,564
9718,23760,3177,-31,-65,-293,564
9982,23221,3039,-17,-82,-260,564
10865,22436,3157,-17,-77,-218,564
