ax,ay,az,gx,gy,gz,flex
10522,21024,7168,-58,46,96,535
13199,21917,8041,-67,66,122,533
13581,23054,7805,-101,49,200,528
14513,24153,9012,-109,-30,263,515
16268,25535,11316,-105,-100,318,502
17357,26692,11512,-134,-100,367,488
19200,28203,11365,-151,-42,429,473
19612,28712,12787,-203,84,479,455
17896,27124,11787,-270,181,497,436
17200,25280,11247,-303,210,468,415
18435,24388,11806,-316,207,455,400
15611,22329,11728,-324,161,430,391
12130,19298,10845,-364,63,436,383
9747,14935,9776,-372,-63,399,376
11041,11355,8835,-372,-117,343,369
16151,9992,9835,-373,-31,343,365
12346,6599,8256,-419,117,331,358
6972,1784,5658,-425,102,268,352
9541,-1510,5628,-370,54,223,349
10816,-3383,6354,-329,86,218,347
11571,-6050,5442,-355,109,197,343
11522,-9061,2922,-354,123,178,339
10796,-13846,1539,-246,91,95,339
16141,-11512,2608,-217,187,145,338
9345,-14709,1451,-232,199,159,336
4912,-17082,755,-186,86,159,334
6089,-18534,2363,-109,15,154,334
6550,-19632,1696,-85,57,170,334
1314,-22819,-362,-33,71,153,333
1647,-25584,-676,65,-13,144,334
5001,-27310,-166,117,-61,184,334
7570,-28526,-657,134,-103,244,334
12405,-29958,274,195,-121,316,335
17229,-29781,4540,252,-66,380,336
15278,-30360,6746,233,76,428,336
8894,-32076,5501,229,25,469,336
6707,-32155,4658,224,-55,480,337
4520,31587,4481,262,-12,364,338
-323,30351,3755,372,78,150,343
-2814,-26330,3236,419,120,-74,349
-4314,-13120,2431,301,209,-154,352
-4883,951,1980,254,213,-220,353
-18073,22299,3608,241,149,-222,353
-13866,-10788,10943,452,-106,-503,358
10865,17474,25702,572,57,-572,365
17671,-658,-25929,571,310,-572,363
20534,29379,32488,202,42,-337,357
16513,14935,22221,-50,-65,148,358
5805,20544,15023,-163,-67,347,362
431,22554,5354,-154,104,361,363
-6187,21672,1206,-47,127,298,365
-6119,16455,2049,58,72,191,366
-2990,13522,6619,85,99,160,369
-5550,12365,9767,100,23,141,371
-5942,6923,8913,144,-208,101,371
-696,2304,8109,222,-330,37,371
-637,2785,8551,306,-294,-68,372
-2029,5874,8256,351,-316,-217,374
-1068,5491,10208,446,-441,-338,378
3716,9580,12905,489,-572,-440,385
11983,20720,14023,443,-572,-546,402
15258,27212,14680,356,-572,-572,425
26741,30027,16847,285,-572,-572,448
26928,30036,14719,131,-572,-572,461
21995,29919,10532,-35,-572,-572,468
18396,32517,7550,-118,-572,-572,478
19161,-28596,5609,-109,-572,-572,489
24162,-25154,6481,-95,-572,-572,500
26114,-26488,5432,-74,-572,-572,510
27232,-30469,2775,-14,-485,-572,517
28330,29360,1274,75,-313,-415,522
27693,26614,2834,151,-77,-194,526
21799,25123,2500,131,143,-37,529
14444,23368,3196,80,204,87,533
12336,22123,4932,4,164,164,537
9365,20407,5972,-26,137,199,539
6109,18220,5962,-30,13,184,541
5638,17151,5824,-33,-89,161,542
8178,17180,5815,-47,-135,137,543
8894,17729,5354,-61,-113,114,543
9110,18200,4677,-60,-58,112,543
9198,18926,4373,-56,-15,122,544
9345,19553,3951,-42,6,119,543
9374,20269,3706,-12,31,107,543
10188,20975,4304,3,48,140,543
10424,21279,4442,3,101,179,543
10836,20916,4952,30,143,206,543
