ax,ay,az,gx,gy,gz,flex
9580,19112,1225,-32,-23,95,545
10443,19269,2294,-19,-42,103,543
15052,20063,5275,11,-38,77,542
19965,22270,8511,31,16,86,539
22093,25702,9217,-4,-33,162,514
27379,29870,8904,-29,-134,290,506
-31881,-28910,7276,23,-226,404,502
-28115,-17946,7433,-70,-318,572,480
-30851,-13641,3618,-266,-447,572,444
-30096,-21045,715,-90,-401,572,405
31046,-23379,353,186,-162,572,386
21299,-24624,2137,223,21,572,373
11561,-29096,3147,148,163,572,359
2294,31037,2500,78,276,572,351
-8286,26996,970,-32,294,572,346
-15945,19946,-1804,-146,220,572,342
-28144,13630,-4432,-152,110,572,337
24732,7992,-5167,-147,-106,495,335
26066,1549,-3942,-143,-167,159,336
26390,274,-1294,-40,-35,-203,341
27282,7001,1784,0,-29,-562,348
-26781,16572,4844,-32,-78,-572,354
-9825,22809,9620,-98,-43,-572,359
13640,-31744,6638,-187,-393,-572,363
28399,-15004,-6472,-422,-572,-572,363
8697,-29851,18593,-302,-17,-148,359
-23654,16180,28174,157,143,158,359
6638,7688,-12071,296,262,515,363
-23556,4148,-539,232,163,572,367
25506,7286,3157,191,210,572,370
7492,11698,2490,104,309,572,372
-4854,12875,176,-6,289,572,373
-12434,11179,-1686,-73,183,560,373
-20750,8119,-3716,-118,49,396,372
-24751,6383,-4383,-141,-100,167,371
-22407,3853,-4481,-111,-111,-103,371
-17729,4285,-2883,-20,-5,-383,372
-13944,8629,-735,44,77,-572,374
-5197,12199,5638,94,1,-572,377
23162,22995,13826,44,-237,-572,380
11983,-27998,5893,-180,-572,-572,373
-17829,21809,-9080,-220,-436,-291,363
-28478,14023,-12071,10,369,287,364
1647,11767,-5109,69,518,572,364
-13641,9982,-696,47,306,572,366
-22045,10159,-833,12,206,572,368
-30793,12973,-2559,-21,246,572,370
22083,13660,-4824,-82,270,572,371
11591,12248,-6109,-138,218,572,371
4471,12297,-7747,-219,208,572,371
-696,9659,-8757,-270,215,572,373
-5403,5579,-9541,-243,245,572,375
-11022,4893,-11071,-260,228,572,377
-17357,2412,-12071,-288,157,572,374
-25751,-1314,-14905,-310,63,572,373
31097,-5197,-19249,-334,-160,572,371
28822,-9659,-20848,-276,-362,459,369
27125,-13562,-18190,-162,-448,358,367
24585,-11983,-15180,-204,-406,300,369
18535,-9943,-17876,-389,-432,129,372
20417,-11973,-20661,-466,-490,-118,374
21045,-8158,-18484,-384,-304,-364,376
19770,1363,-13630,-200,24,-572,382
19152,10414,-10453,153,333,-572,409
-29399,-28871,5344,505,158,-572,463
7511,10933,15945,533,-73,-572,499
-4953,32723,26800,572,-267,-572,516
-21722,8178,26202,479,412,-572,543
-344,26594,8678,-14,572,-438,536
31733,3265,-274,-59,-121,-14,558
25574,4099,5687,208,-255,105,540
12846,7609,7913,266,-64,33,557
1304,6687,8511,238,167,-33,558
-8806,3471,7796,246,156,-142,558
-6040,6030,5854,246,83,-362,553
666,12444,4452,257,63,-557,555
3549,16876,3304,231,86,-572,554
4452,20181,3334,216,59,-572,554
4707,26447,3618,193,-33,-572,553
4785,32478,2343,135,-158,-572,553
8708,-29018,4079,92,-222,-572,540
14287,-20074,5893,56,-192,-572,546
11767,-13426,4246,-17,-308,-572,546
15258,-5983,529,-121,-568,-572,534
21319,-4139,-3245,-231,-572,-572,549
27271,-9758,-4814,-243,-572,-572,539
27722,-17936,-2363,-139,-495,-572,547
28575,-24458,392,-20,-334,-547,555
26330,-30224,1147,50,-141,-445,550
22780,30605,1529,50,0,-358,554
20308,26977,1912,23,102,-291,557
18386,23437,2402,-8,171,-245,558
17131,20956,2853,-18,163,-217,558
17259,19279,2824,-42,120,-177,557
16955,18073,2255,-70,47,-130,557
16494,16994,1117,-97,-19,-70,557
16533,16092,-196,-98,-101,-12,557
17337,16062,-1461,-68,-153,46,557
