ax,ay,az,gx,gy,gz,flex
31792,19259,-1529,36,-308,135,532
-29900,19112,-2216,90,-440,209,531
-30763,20534,-6050,140,-492,274,530
-27419,23280,-13003,177,-572,335,529
-25478,27693,-19328,259,-481,469,528
-29194,31311,-22927,346,-274,572,526
31027,32321,-23397,434,-92,572,520
24594,32164,-24447,540,-61,572,514
21358,32037,-24613,572,-123,572,506
20103,29772,-21524,572,-114,572,496
15523,26751,-20181,572,-75,572,481
11414,24133,-20426,572,-109,572,466
11767,22172,-16553,572,-24,572,452
8815,18563,-13395,572,124,572,436
3696,15768,-10767,572,121,538,423
2049,13640,-6972,572,84,514,413
-823,10551,-4314,572,39,498,404
-2431,8247,-2382,572,-50,407,395
-4285,6374,313,572,-148,315,387
-3304,4255,4020,572,-216,282,375
-4255,4108,7707,572,-206,232,364
-3530,3667,13297,572,-135,192,355
-4697,3442,24702,572,-107,126,352
-1804,5795,-15416,572,2,26,359
-3392,14562,3824,327,86,-26,370
-5226,15141,-4404,-249,-143,139,373
-1863,18798,-9876,-518,-320,253,375
-1314,-31126,-8797,-572,-193,241,382
-8727,-18378,-22428,-572,-138,246,386
-13277,-6188,29723,-572,-119,347,388
-4030,58,17514,-572,-49,238,390
-4285,1313,843,-572,-17,2,390
5520,25476,-21211,-572,-22,35,393
15650,-19731,1727,-572,-60,235,391
31674,32429,20457,-572,114,293,380
-23701,-26782,21977,-572,485,117,373
2226,11865,-1990,-113,-158,-126,382
1784,8021,14710,-223,506,-185,388
6893,7629,22948,-178,7,-86,391
13424,8600,26390,-199,-129,18,394
8815,7099,26272,-176,32,12,396
6413,5824,29861,-82,20,1,398
8021,6452,-30232,-50,22,12,401
6432,6884,-26016,-18,86,24,406
3540,8580,-21672,29,39,25,412
2696,8482,-18700,22,45,16,415
3422,9973,-19475,0,118,-36,412
4255,9070,-18994,2,268,-43,412
1186,9306,-17886,58,160,-41,413
6158,9669,-14562,87,68,-23,417
5216,9012,-13591,46,103,-3,421
6393,8266,-15258,35,112,-12,420
3696,7835,-15984,42,30,-37,419
5197,8384,-14611,31,17,-13,419
7384,7952,-14327,-7,29,21,419
5334,7521,-15337,-21,18,19,419
5687,7266,-15660,-20,-10,11,420
6678,7531,-16180,-20,-12,11,421
6374,7952,-16749,-28,-2,9,422
5923,7962,-17376,-34,24,13,423
5844,7639,-17484,-15,-18,2,424
5815,7894,-17376,4,-72,3,424
6982,8090,-17190,-13,-59,10,422
6942,7335,-17553,-15,-16,15,421
