ax,ay,az,gx,gy,gz,flex
6383,17818,5766,-20,-30,-11,545
9306,18592,7884,16,-67,-57,545
15445,19769,11679,49,-44,-66,544
18122,21681,11571,0,-39,-27,529
26643,22917,13679,11,-138,54,521
30193,27222,19102,6,-53,215,472
27889,31556,20632,-76,49,356,469
26790,32253,20318,-203,69,395,447
31076,31547,18131,-286,112,495,423
31380,31468,18161,-373,222,572,394
27801,28879,15592,-395,239,572,362
29085,27487,17690,-457,218,572,351
30772,24780,17357,-536,289,572,340
30487,22064,16052,-572,452,572,318
25349,19504,14523,-572,568,572,322
20671,18063,13326,-572,572,572,314
22838,15758,14729,-572,572,572,308
17494,18622,10031,-572,572,572,305
10080,20583,3314,-572,572,572,310
6187,20004,-353,-572,501,538,313
6491,19730,-3736,-572,265,452,319
9051,22427,-9806,-572,216,471,317
921,20044,-20583,-572,236,483,315
-5668,17759,-29419,-572,117,417,316
-11483,21848,27262,-572,-35,295,320
-16504,20995,16681,-572,-199,206,321
-21838,15886,10376,-572,-295,130,320
-32145,13699,12651,-377,-278,-39,320
29233,14601,19731,-277,-261,-244,323
30989,18926,19496,-293,-141,-475,332
-24751,17151,13994,-49,-26,-572,354
-9521,15719,24418,572,102,-572,401
-1784,25133,-19171,572,274,-572,465
647,-29312,-1833,572,318,-572,497
4148,-15024,11787,572,158,-572,520
19759,-3394,-15083,572,311,-572,534
31517,-10042,-4433,572,572,-331,542
16710,28173,-11327,572,572,-100,553
9286,9659,-29459,293,118,-18,554
10973,4775,21623,275,-220,113,554
5687,4991,14140,325,-165,158,553
-2098,8502,7403,421,-156,66,553
-2990,3726,5050,498,-155,-20,553
-245,5609,8168,572,-21,-78,553
-1265,11218,11610,572,65,-175,553
862,16288,15376,572,99,-238,555
3089,18749,18965,572,21,-238,557
3402,24104,18887,543,-183,-234,558
7472,25359,15984,416,-421,-233,559
14915,26996,18073,346,-511,-213,560
15994,28860,19759,334,-499,-271,561
14111,30213,20230,287,-493,-353,562
11444,28516,15317,104,-572,-396,561
17082,31213,17504,-6,-549,-463,551
22054,30517,19092,53,-332,-572,549
20632,-32597,19083,162,-143,-572,542
18710,-28861,15798,154,-99,-572,548
18563,-29998,12581,137,-168,-572,555
19014,32674,10394,170,-279,-572,559
18720,30046,9845,231,-316,-523,561
19524,28173,10228,260,-324,-403,561
18279,27075,10737,248,-281,-281,561
16817,25153,10865,198,-223,-184,561
14631,22103,10110,163,-139,-119,560
12875,19485,9325,162,-78,-82,558
12130,18455,9100,181,-43,-51,554
11071,18769,9521,144,-27,-43,543
