ax,ay,az,gx,gy,gz,flex
25467,31851,17602,-26,-27,366,533
22995,-28488,22191,-61,-40,541,529
19622,-27723,22593,-100,-69,572,523
23064,-26988,27565,-112,-86,572,516
18308,-23202,-32224,-163,-52,572,506
14689,-21329,-31469,-327,-82,572,472
10816,-23467,-30577,-475,-28,572,467
3128,-28331,-29371,-572,121,572,438
-10571,-29371,31625,-572,161,572,419
-18279,29703,23996,-572,66,571,402
-22760,23907,16406,-572,-65,342,392
-29624,20475,11895,-572,-193,118,378
-28261,19808,6178,-572,-212,-50,370
-22907,18171,-3942,-572,-81,-201,365
-17043,17396,-9178,-572,111,-294,361
-14297,18357,-9394,-572,326,-361,359
-15994,23603,-10237,-572,526,-504,359
-19877,29781,-10963,-572,501,-572,360
-20210,-22202,-8109,-378,395,-572,360
-8708,2019,-2569,-215,114,-572,376
20593,5922,2726,-235,572,-572,389
11944,17160,-6030,-185,572,-572,396
-16632,15189,706,167,572,-470,398
-11190,9629,-11287,499,572,164,402
22946,4216,2069,572,572,468,401
-25379,6883,22799,572,354,568,403
-19594,27624,-21702,572,484,572,415
-25468,-18329,-3472,572,572,572,424
6099,24584,-4208,336,572,572,419
-8541,6883,-8895,86,430,572,410
-12101,-3462,-17632,-113,278,572,405
-17876,-15985,-29116,-309,312,572,400
-23466,-25791,26359,-515,311,572,397
-21750,32409,19583,-572,299,572,396
-23496,22789,13228,-572,406,438,393
-28654,19965,4658,-572,424,169,391
-24898,19504,-1166,-572,418,-88,393
-17504,20397,-5628,-572,494,-266,395
-14768,18710,-7962,-572,572,-443,398
-12865,19122,-6511,-572,572,-572,398
-8698,25888,-1539,-447,572,-572,399
-6874,29007,166,-313,572,-572,397
-10855,-26792,2706,-115,572,-572,398
353,3294,7403,185,572,-572,412
15876,19808,12571,336,572,-572,418
-8189,18386,22270,298,572,-572,410
14601,-736,7492,222,572,-94,397
31527,-6424,-12679,153,572,240,371
-6336,-6796,-18994,558,134,178,373
7266,32351,657,572,572,572,394
-16573,-13700,25535,572,572,572,404
26761,-2168,-22290,572,572,572,415
11081,293,-14877,572,566,572,426
-2490,-10052,-14416,270,324,572,441
-6344,32439,-24183,107,-33,572,467
205,13767,32272,214,-233,572,497
-931,4971,24309,281,-169,572,517
-598,-4129,19495,261,-217,572,516
215,-13720,16151,147,-192,572,521
-4707,-25958,10571,55,-130,572,526
-8433,28016,8747,53,-47,572,528
-14719,18710,8031,63,62,572,543
-21838,12630,5050,-10,34,555,551
-20318,3520,2039,-16,-49,410,556
-15837,-755,4050,42,-50,287,560
-13346,-1873,4658,31,-7,185,561
-9384,-5824,4148,10,-37,115,563
-3951,-8237,5354,11,4,52,563
-2667,-8678,5903,37,77,10,564
-2775,-9973,6432,51,46,-28,564
1108,-12640,6148,46,11,-90,564
3451,-14013,6697,75,42,-152,564
