ax,ay,az,gx,gy,gz,flex
22348,17386,19661,-209,530,221,535
23956,20720,25722,-194,475,286,508
29291,23250,30419,-266,377,362,467
-31538,27546,-31714,-380,322,501,453
32321,30507,-28763,-546,350,572,414
27085,-32558,-27311,-572,286,572,376
29468,30968,-27360,-572,285,572,365
29909,-32224,-27831,-572,415,572,365
20554,32429,-30891,-572,501,572,364
14405,29830,32027,-572,400,572,357
11767,28232,29830,-572,414,572,356
2608,24329,23093,-572,418,556,360
-3716,19455,16317,-572,365,418,365
-7952,15905,10786,-572,332,279,365
-9276,13522,6854,-572,296,187,368
-13013,12561,6011,-543,295,118,375
-14856,11061,2883,-455,265,22,378
-17043,9355,1078,-379,210,-82,380
-13709,9786,-3128,-299,134,-174,380
-8845,7825,-5677,-184,135,-180,381
-10218,7256,-5275,-92,197,-154,381
-12150,6285,-5246,-17,169,-220,380
-6452,6756,-3775,70,126,-281,381
-1725,6766,-2461,139,139,-285,382
2588,6854,-2147,208,145,-271,383
7089,6982,-107,294,106,-264,381
15366,5589,2677,357,72,-263,381
24682,1431,3412,437,98,-180,380
28252,-3226,11689,531,45,-130,375
-32097,-10022,19671,545,-47,-77,356
-29331,-15366,25045,512,-102,22,360
32655,-22888,32115,500,-177,92,359
30409,-26330,-26468,429,-212,177,365
26026,-29468,-23399,365,-221,272,358
18279,-30831,-16828,287,-212,362,355
16052,-28065,-12082,169,-154,481,367
4059,-21770,-6541,39,-97,547,372
-2481,-16141,-6689,-119,-124,546,377
-11757,-11120,-6787,-256,-28,572,379
-26143,-6236,-11200,-402,28,503,379
31881,-2471,-21124,-498,-32,327,379
-31860,353,-32107,-554,20,216,381
-28418,2618,23133,-533,78,98,383
-24319,4030,17788,-441,172,33,383
-24162,4461,15582,-380,239,-21,383
-22280,4707,12610,-341,289,-93,384
-16700,5628,8953,-281,315,-161,385
-12552,6550,6589,-205,350,-204,386
-8845,7776,4099,-141,363,-252,387
-2461,8963,1853,-63,362,-271,388
1274,9727,1902,10,372,-259,388
3863,9669,2284,78,353,-251,389
8874,8884,-98,120,305,-247,389
14807,6785,-4275,199,250,-258,389
22868,6697,-2490,340,148,-303,390
-31842,5020,-460,428,125,-214,390
-31754,284,2657,473,138,-38,391
30193,-6393,14032,566,18,12,390
28673,-13277,23829,572,-53,15,390
27114,-15366,31821,572,-155,-4,388
30419,-20377,-24968,493,-181,113,387
23299,-22358,-20349,351,-143,294,389
14140,-23633,-14740,249,-163,382,390
10786,-23290,-14436,147,-205,382,389
10080,-18141,-9778,79,-163,448,389
2029,-13081,-7620,-98,-106,558,391
-8492,-11640,-11729,-251,-67,572,391
-16356,-11090,-18074,-339,-78,531,391
-20308,-8629,-22477,-391,-40,449,391
-27320,-6050,-26468,-470,-8,342,391
-27281,-3765,31723,-511,-12,196,391
-23476,-1098,24584,-494,25,110,391
-21505,529,19916,-455,94,64,392
-21034,490,16582,-413,144,9,392
-17935,98,13738,-375,205,-43,393
-16690,411,11444,-335,287,-65,394
-13817,1019,8717,-283,325,-119,395
-12189,1245,7021,-227,369,-165,397
-8698,1206,4608,-182,403,-203,398
-6403,2461,6050,-116,389,-250,399
