ax,ay,az,gx,gy,gz,flex
20044,-1657,1912,30,99,26,416
19289,-1235,147,82,61,-9,420
23849,1059,382,144,19,-40,433
26251,4118,-1451,196,46,2,468
-32587,7776,-5638,248,165,134,497
-30430,14483,-11247,310,333,346,497
-23742,25408,-16307,459,497,572,458
-13367,-31018,-15013,558,572,572,501
-25654,-27213,-13768,572,572,572,509
21211,-32469,-2304,572,572,572,530
5589,31203,4530,465,572,572,531
-21230,29193,11767,287,572,572,521
-26163,25908,18406,56,-66,572,531
-23643,22976,20407,35,-167,572,540
26321,23711,16896,13,-29,572,538
6277,20289,12738,-68,-120,572,531
-8472,15994,12718,-133,-299,302,493
1629,14621,17533,-89,-200,-168,531
8640,17112,16484,60,68,-572,527
22840,22309,17004,129,-41,-572,541
-30301,26398,20661,111,-272,-572,540
-15572,27379,24192,42,-572,-572,537
-676,31782,22986,-107,-572,-572,532
12267,-27488,14699,-357,-572,-572,530
-11758,-21967,17778,-572,-572,-572,506
-14789,28458,1421,-572,-83,-333,500
20446,18926,-6658,-572,-235,-257,520
13777,14297,-10855,-450,-572,-427,517
22181,11708,-10071,-318,-572,-500,511
28026,4844,-4255,-232,-572,-409,507
26996,3618,961,-196,-358,-251,489
23643,3736,343,-219,-64,-130,468
21054,2088,-902,-135,-17,-87,458
20210,2137,2196,-84,-7,-64,463
20514,3010,3647,-79,-6,-54,457
20436,1647,3902,-70,-34,-46,456
19906,1598,4324,-73,-3,-17,455
19377,706,3304,-43,69,-12,453
19102,804,4628,13,66,-22,455
20377,598,6570,30,26,-1,459
19946,823,7472,20,15,19,466
20230,804,7707,-9,31,17,466
19710,735,7011,-26,55,14,466
19769,941,6325,-42,29,2,466
20671,892,5726,-39,-6,4,459
20916,1323,5824,-40,-21,13,457
21142,1431,5677,-42,-4,20,451
19799,1176,5118,-37,0,21,459
20279,1000,5256,-25,-22,15,459
20750,666,5471,-22,-2,20,457
20514,951,5677,-22,13,20,453
