ax,ay,az,gx,gy,gz,flex
8688,17190,15278,-120,-13,-15,506
14474,14974,18710,-121,-52,13,506
19230,17984,19495,-146,-61,109,502
21152,19936,18739,-194,-86,189,495
23839,20367,16572,-213,-132,249,486
25927,21701,14160,-170,-227,297,474
32723,24466,13660,-137,-248,398,465
31507,26094,11885,-88,-189,566,450
30958,29654,9718,-55,-259,572,427
32557,31429,7658,15,-345,572,407
-31616,-31861,6040,104,-381,572,387
30664,-32215,4599,206,-443,572,366
27595,32321,4334,281,-486,572,349
22407,30331,5030,337,-473,572,337
16327,28026,4697,363,-445,572,328
13660,23407,4658,416,-473,572,320
8963,21828,4246,446,-435,572,315
3755,20524,2686,466,-480,505,312
1068,18484,2216,464,-486,392,309
-1117,16915,2657,470,-442,264,301
764,12865,3765,479,-387,150,298
-784,12248,2608,502,-300,65,298
22995,-22250,15366,572,-551,-193,300
-4463,9041,-21339,572,572,50,303
-14248,2186,-30312,-572,-128,262,300
-6776,-9276,32715,-572,-373,-117,300
9600,-12493,28635,105,-172,-319,303
26153,-18122,-2637,424,108,-206,308
25398,-9335,20122,125,33,-96,306
24123,-9698,-176,-164,-96,38,309
19102,-12306,-8933,-36,4,68,310
13846,-12699,-225,63,49,46,311
10885,-12532,2275,0,12,11,311
12895,-12071,-1667,-20,-42,-33,312
18004,-11934,-2255,0,-42,-39,313
20220,-12169,-1392,-1,0,1,314
17141,-11738,-1225,-9,14,33,314
14768,-11512,-1441,-12,1,26,314
14787,-11679,-1196,-10,-4,11,316
14856,-12375,-1196,-5,-3,-1,317
15307,-11993,-1755,0,-15,-13,318
16915,-12052,-1059,4,-22,-7,319
16837,-11875,-1196,-4,-14,5,319
16317,-12326,-1951,-1,-13,13,320
16239,-12150,-1392,12,0,15,320
16258,-11610,-529,3,9,9,320
15778,-12561,-1667,0,20,7,320
16474,-12277,-421,0,17,24,321
15239,-12081,-794,-11,33,6,321
