ax,ay,az,gx,gy,gz,flex
-29380,28614,-23820,-572,-572,430,524
-29145,31919,-22545,-572,-572,572,512
-30587,30586,-25046,-572,-572,572,488
-30881,23182,-29400,-572,-572,572,456
30134,20858,29811,-572,-572,572,418
20720,22123,24692,-572,-572,572,384
19367,21132,21417,-572,-572,572,358
12561,21044,17043,-526,-520,572,344
11022,19887,12444,-491,-399,572,334
8433,18720,9894,-498,-324,572,327
6413,17455,4608,-542,-263,572,323
3098,12787,588,-492,-165,572,319
-362,11267,-4736,-419,-170,572,313
-3373,7452,-6746,-375,-111,572,309
-4608,4707,-8551,-343,-76,572,305
-7462,1912,-11287,-330,-19,572,302
-11306,882,-15356,-315,-37,572,300
-14072,2402,-17249,-334,-80,481,298
-16317,1706,-20279,-380,-28,465,296
-24094,2255,-24937,-417,48,348,296
-23868,2824,-27653,-426,-200,27,299
-13013,5393,-29575,-463,-353,-121,304
-13483,7747,31352,-465,-195,-7,309
-24770,8786,28910,-418,-179,-40,312
-28673,14023,28459,-379,-239,-213,317
-26310,15660,25605,-343,-203,-356,325
-23741,14327,24566,-175,-70,-445,334
-25545,18279,28184,40,101,-545,343
-21358,22917,-30174,276,216,-572,359
-14552,25574,-23280,522,382,-572,395
-5815,-31832,-8276,572,438,-572,440
-4403,-27223,-2098,572,462,-572,482
-1088,-17172,931,572,284,-572,506
1735,-8111,3353,572,248,-572,512
5383,1774,21044,572,466,-572,530
5785,-15916,26938,572,572,-572,537
3834,-26694,-19309,572,572,-572,546
-14102,24868,7805,572,266,-572,557
11679,12297,-3678,-104,306,69,559
19632,3167,-10082,-134,-122,275,557
9345,-980,-20153,-78,-87,103,556
8649,-1725,-26949,-111,-208,-6,556
14346,-2981,-32283,-189,-349,35,555
20426,-1569,28428,-247,-172,112,553
12257,294,23044,-295,-19,161,551
7962,49,16464,-406,-156,195,549
8609,-1725,12444,-439,-243,218,546
8659,1235,8247,-398,-214,247,542
5570,3314,4844,-341,-166,283,539
4206,-1147,2265,-305,-134,296,536
3128,-911,303,-216,-15,273,535
902,509,196,-67,54,195,534
-990,-2177,-2373,30,1,92,533
1559,-3559,-3167,124,-16,-9,532
2598,-2137,88,254,53,-108,532
2059,-4638,-127,310,77,-223,531
2392,-1500,3608,331,83,-355,531
8943,372,9453,422,56,-528,530
13013,-274,15033,515,89,-572,530
13591,6472,20828,539,114,-572,529
17494,12218,27850,424,121,-572,527
23976,7550,-30145,303,116,-572,526
29870,7001,-31293,213,206,-572,526
24790,8139,30399,207,307,-550,526
24780,8864,32213,322,119,-572,526
29644,13434,-30498,349,28,-572,526
29389,14287,32066,257,23,-501,526
25967,11787,29330,228,80,-389,526
20446,11522,27193,204,72,-338,525
18298,10865,26084,174,29,-289,525
18475,10375,28712,111,-92,-275,525
22544,10688,25888,-37,-19,-151,526
