ax,ay,az,gx,gy,gz,flex
4246,21319,15670,-204,-11,53,528
4569,20357,19240,-299,-255,52,527
11532,22662,26987,-433,-521,83,526
17347,26055,31713,-572,-572,204,519
26506,25810,-31508,-572,-572,364,498
31645,25525,-28772,-572,-572,522,447
-26086,25114,-27694,-572,-572,572,394
-24252,17533,-29645,-572,-572,572,360
-30508,14336,32713,-572,-572,572,333
30517,15494,30762,-572,-572,572,322
29164,19406,29615,-572,-572,572,317
20848,25163,27644,-572,-458,572,315
10659,25359,17494,-572,-414,572,314
7923,20308,14464,-572,-435,572,310
8384,24300,12561,-572,-345,572,304
441,21377,5187,-572,-226,572,300
-5383,17435,-1421,-572,-187,572,297
-7109,15778,-6001,-572,-170,572,294
-11287,13522,-11600,-572,-76,572,290
-23839,12365,-23231,-572,26,572,288
-27085,6148,32175,-464,51,372,289
-13120,6021,-30713,-260,-41,30,294
-794,6746,-27908,-202,-127,-89,297
-2314,6893,-29605,-235,-181,-71,300
-10767,5658,30714,-282,-241,-109,302
-16837,5579,27243,-284,-261,-212,305
-18916,8345,24232,-312,-227,-291,310
-19406,9639,20859,-290,-162,-366,320
-16984,5913,15397,-28,-54,-402,336
-19691,6756,19143,476,304,-507,374
-23603,12248,29341,572,295,-572,432
-8413,23358,-23545,572,37,-572,489
-1667,30635,-15464,572,43,-572,508
-264,-22781,-5128,572,125,-572,526
-568,-24311,794,572,269,-572,543
-1971,-19309,-4197,572,52,-572,549
-4108,-7365,11100,572,431,-572,554
-12728,-11043,-31185,572,572,-572,558
-11062,31380,-667,572,199,-572,562
-5717,12297,-23703,367,491,-162,562
2794,12905,-24801,-279,-188,227,562
10649,5530,-27811,-269,126,215,559
-1696,1480,-30498,46,272,48,558
-6197,2137,-31528,200,-116,-106,558
8521,4197,32292,158,-204,-91,558
7207,5648,27791,46,-83,13,557
2137,5305,21083,-122,-103,56,555
970,2873,12963,-263,-212,50,554
823,755,5648,-312,-255,25,551
1716,1117,3795,-269,-152,0,543
666,-715,2127,-204,-78,-70,531
607,-558,1971,-138,27,-173,515
-4255,1657,1402,78,54,-302,502
2471,8943,3961,274,-101,-401,499
7580,11100,6178,316,54,-358,492
1735,12807,9325,368,117,-347,476
-1706,19524,13287,402,-21,-443,490
5462,24888,14650,267,-141,-515,493
13905,20524,16504,226,83,-449,486
8776,23858,22672,434,257,-369,488
1549,31164,25673,404,221,-336,490
872,-31175,25123,258,127,-394,485
2981,30399,25722,349,129,-414,480
2265,31507,27359,492,15,-470,480
5344,-27645,28712,448,-132,-507,483
14925,-32136,30085,295,40,-469,484
11973,30752,29879,301,13,-426,482
2471,29997,-30547,251,-572,-567,487
-13661,-31920,24319,-50,-546,-388,486
31596,14660,10865,-46,421,1,480
8188,14562,21358,145,392,74,484
14454,18857,27330,-49,138,35,486
11816,14787,20436,-226,197,112,483
2177,12856,14346,-109,110,121,485
-2637,18279,17847,-63,5,61,488
-970,18141,16562,-136,-31,28,490
-1843,15856,12532,-146,3,37,491
-2941,14150,11944,-77,-21,19,492
-4197,17504,12571,-51,-51,0,493
-1706,17553,11228,-42,-91,-5,493
-735,17896,10502,19,-50,42,492
-5118,18053,11385,22,-18,14,493
-3442,16543,11963,22,-48,-39,495
-813,16317,11532,35,-104,-81,496
-1157,18259,11728,51,25,-35,497
-1618,17827,12846,4,-9,-6,498
4187,20740,16092,-103,-55,49,498
2020,17700,16111,-286,269,154,499
