ax,ay,az,gx,gy,gz,flex
2598,19906,8963,-47,2,-4,531
3961,19769,9463,-94,17,15,524
4246,19024,9914,-121,97,31,526
3020,18632,10051,-120,112,35,511
3383,18504,10149,-106,91,33,499
4824,17543,11502,-108,99,36,475
5599,17700,12650,-130,165,54,450
6903,19563,13140,-177,209,59,451
11561,16896,14179,-187,272,108,429
13140,17710,16288,-198,352,143,408
14935,20122,15346,-188,311,172,391
18504,20769,19661,-201,206,234,366
21426,22064,21515,-264,219,341,350
18151,22240,23348,-257,110,433,340
16513,21446,29517,-240,23,451,320
15690,27045,-31204,-275,-86,451,311
14925,28340,-26978,-308,-236,526,304
14209,28624,-24870,-338,-238,572,302
12316,32615,-21526,-321,-299,572,301
10316,-26537,-17201,-422,-367,572,299
7903,-27547,-20398,-523,-381,572,301
6187,-28929,-24556,-529,-391,572,301
4981,-31636,-28890,-542,-332,572,304
1667,30360,31174,-571,-257,572,303
-68,25869,26104,-572,-204,572,307
-1186,21505,20603,-572,-86,572,309
-3500,17906,15003,-572,40,572,311
-4824,13787,9669,-572,106,530,313
-6374,11071,5511,-572,124,428,316
-6874,8825,2431,-572,108,303,315
-5148,7452,274,-572,97,207,316
-3294,6227,-1676,-538,141,139,318
-2471,3981,-3500,-495,202,88,318
-1529,1755,-4991,-446,260,33,319
-382,382,-6060,-404,342,-28,319
862,-186,-6687,-377,464,-78,319
294,696,-8060,-357,572,-152,320
127,2834,-8835,-301,572,-276,322
2373,4520,-8472,-203,572,-391,324
5795,11787,-3628,-172,572,-436,324
8864,17170,980,-234,572,-508,322
13277,16690,3549,-228,546,-572,321
25280,19985,7443,-179,482,-572,319
-25497,24937,4216,-110,572,-555,322
-28831,22427,-3834,160,572,-390,321
28291,25486,3138,507,572,-346,319
-29479,30419,21211,572,572,-266,318
-29998,30370,30174,572,572,-104,318
-30253,24555,-27968,572,572,19,322
31654,21064,-24879,572,572,102,324
-30832,15994,-28449,572,402,80,322
-23722,15160,31851,543,88,210,325
-29616,20897,29330,572,194,572,325
29419,20956,-31224,572,341,572,327
23770,28124,-28223,540,341,572,325
18298,29370,-27331,467,117,572,327
15366,32527,-20015,347,-69,572,328
9659,-32617,-20555,70,-207,572,329
10178,24064,-27292,-51,-343,572,329
12130,21544,-28106,-23,-374,572,331
9267,23633,-29783,-132,-440,572,332
10002,17690,29458,-233,-478,572,333
10296,13719,24633,-224,-413,572,332
8443,12140,20769,-252,-333,571,331
8090,9492,16700,-291,-258,557,331
7776,6589,13218,-297,-169,539,330
6942,4814,10257,-300,-77,510,328
6648,3785,8256,-325,-12,471,331
7315,1441,6217,-360,87,451,330
6050,637,4167,-385,192,415,331
4785,-294,1990,-414,250,332,332
5069,-2078,147,-429,300,253,332
5158,-3343,-1304,-425,370,178,333
6050,-2608,-1421,-422,437,101,333
6844,-1539,-1961,-443,504,12,333
6991,-1569,-3098,-438,526,-87,333
8021,39,-3932,-406,524,-211,333
10139,2824,-2892,-404,507,-293,333
10502,5315,-2186,-431,572,-347,333
8364,8462,-2883,-454,572,-428,330
6972,14062,-3285,-473,490,-542,329
8786,17876,-5158,-470,415,-572,330
15062,26133,-6893,-476,364,-572,331
13983,28252,-9149,-407,427,-572,329
20250,-25752,-2628,-298,489,-572,330
28055,-17260,-2137,-172,572,-572,332
-26595,-19957,-186,45,572,-468,333
31095,-17740,3098,295,572,-79,334
19357,-8777,7472,430,572,-221,336
-25840,-16515,8511,571,572,-263,338
-23703,-9601,8305,572,536,46,342
-23477,-12710,14787,572,357,371,345
31223,-4914,26516,572,405,572,348
20014,-5247,-32185,572,281,572,352
14081,-7130,-29047,572,161,560,356
11061,-9581,-24801,572,154,509,374
8884,-16622,-25164,572,176,572,409
3216,-27488,30134,562,165,572,456
-5413,29860,22485,572,98,572,488
-8511,24143,19730,572,4,572,496
-4756,19916,17102,555,-41,510,508
-3206,15033,17229,344,47,464,493
-3932,9541,12689,89,164,428,512
-4530,5069,5050,2,116,327,507
205,1529,5746,-38,83,260,526
1774,-2706,2235,-70,50,203,532
5030,-3020,1108,-19,-4,130,528
9453,-3187,1961,-28,-56,67,534
14356,-4638,568,-54,-31,41,534
16759,-4050,-480,-57,9,28,534
16651,-3922,-1902,-30,-56,5,535
19583,-3696,-1539,-27,-82,11,539
20720,-4265,-3177,-54,-21,22,532
21162,-5570,-4638,-17,66,41,537
19318,-4148,-3442,12,74,48,535
