ax,ay,az,gx,gy,gz,flex
21740,147,3481,-19,34,7,350
22103,88,2137,-60,15,17,353
26045,-1039,-519,-35,35,45,363
27742,-215,-951,45,162,121,384
26330,1431,-2363,83,286,195,419
26428,1284,-4942,171,217,218,453
31184,2863,-5099,305,257,300,480
28624,4059,-2814,398,431,421,499
24986,7776,-2284,484,400,481,510
25996,11120,-2275,572,313,521,526
26898,17318,2265,572,271,572,535
26153,20642,3844,572,202,572,544
24182,21328,6933,572,146,572,549
21171,21054,11041,572,117,572,552
15758,21132,15013,572,100,572,553
9963,24045,20456,572,92,572,554
5050,25221,26055,572,120,572,555
-2088,28879,31194,572,229,572,556
-16523,29428,-28047,428,291,572,556
31705,24290,-25046,248,171,572,556
23291,18092,-26282,59,39,380,557
16269,14483,32017,-147,104,3,557
28978,11198,28242,-185,-69,-319,558
-22858,13120,23515,-223,-49,-572,558
-20338,15749,23005,-147,-15,-572,558
-14513,18671,23446,-168,-106,-572,559
-7884,20730,24819,-260,-158,-572,559
-3069,22289,26055,-304,-302,-572,560
5883,25673,24015,-381,-421,-572,560
15543,28163,21064,-494,-351,-572,561
17465,31713,17984,-572,-400,-572,561
20034,-32666,12571,-572,-572,-572,561
20593,-31489,-990,-572,-572,-572,561
24408,28742,-14229,-572,-572,-436,560
27624,15072,-18592,-572,-551,-345,560
22417,10708,-16562,-453,-374,-324,560
32341,9541,-21995,-260,-572,-265,560
-29753,2961,-12473,-46,3,-66,561
22260,4863,-245,100,170,38,562
22652,3598,4981,34,13,30,562
23839,843,5736,15,77,47,562
20318,774,4962,53,135,48,563
