ax,ay,az,gx,gy,gz,flex
17563,21897,24859,-299,-336,65,545
31282,22309,23898,-360,-446,292,541
30958,25908,27585,-342,-572,490,528
-27753,31743,29379,-333,-572,572,504
-22369,-28361,26065,-232,-572,572,470
-23850,-25733,22083,-90,-572,572,439
-28616,-28822,14238,175,-572,572,409
29654,-32126,10169,225,-572,572,386
14081,30929,8560,215,-550,572,365
-4638,31801,7443,190,-364,572,347
-23397,28036,7040,97,-237,572,332
25262,21956,6079,-62,-64,572,326
20927,14621,-3069,-95,-24,204,326
30557,9423,-4138,31,6,-261,324
-18426,7599,1980,118,122,-559,322
-7286,7894,3922,43,245,-572,318
3236,1588,5677,147,336,-572,317
28203,6501,14356,197,76,-572,309
15621,16710,19387,-10,-121,-572,316
-29743,10022,2569,-63,-234,-283,325
28771,-8776,-8629,45,-56,89,321
-6198,-3216,-4883,131,35,359,319
-18897,-451,696,180,-241,480,313
27663,5687,1500,163,-126,572,326
3412,13473,-431,116,-80,572,326
-20044,16474,-4206,28,-14,572,326
32185,11600,-10296,-1,12,267,326
30440,8090,-11179,95,13,-54,326
-25339,7943,-5236,157,31,-375,326
-5118,4756,5932,134,151,-572,327
11424,7737,13522,49,2,-572,328
-1570,14395,15964,-93,-381,-572,324
24947,7992,-2667,-230,-392,-259,324
4873,3647,-7747,-53,-507,57,329
7452,-1078,-16700,-128,-291,316,329
-12945,3245,-12061,19,-154,572,330
-25576,5216,-11090,67,-196,572,329
27026,10806,-10022,78,-147,572,330
13709,13062,-12297,51,-56,572,329
2461,13179,-18288,75,21,572,328
-3863,12463,-18985,147,58,572,328
-9119,12159,-17023,135,133,572,329
-17318,9129,-16435,86,91,572,329
-21338,5570,-14582,73,-22,572,330
-26075,4736,-11600,37,37,572,331
28047,8305,-10551,-40,127,572,335
19800,7040,-17347,-214,0,556,338
20467,2941,-24447,-350,-179,131,344
27125,2314,-29389,-387,-283,-223,355
-28379,-2451,-31419,-219,-151,-461,369
-22446,-2412,-29938,122,124,-572,391
-17504,-598,-24064,417,225,-572,429
-9825,1294,-12718,562,267,-572,467
-5256,-1441,-8923,572,239,-572,493
2530,1873,-1412,572,165,-572,518
2588,13307,6658,572,377,-572,536
17886,-26586,22083,572,-10,-572,548
24731,-23683,29193,572,240,-572,556
31086,-22261,-30292,572,303,-572,557
32282,22819,-31303,353,319,-572,555
-30459,7913,28565,193,29,-405,529
31743,2961,21534,52,-61,-10,542
20828,5334,21711,11,-33,272,559
12208,6942,19691,-27,-109,308,558
9227,6236,14258,-77,-259,242,556
11953,3991,11022,-66,-289,200,553
11895,2598,9384,6,-152,191,549
9355,5648,8266,81,-55,152,546
7080,1745,5570,82,-48,106,548
7344,2294,6432,127,-47,42,545
5462,3108,7099,186,-28,-30,543
4677,-1166,6334,221,-105,-128,541
7021,1706,7590,197,-165,-244,537
9217,5619,8639,91,-164,-363,539
12012,1108,9443,70,-137,-479,538
15199,3157,13885,152,-93,-572,538
15650,11257,14229,82,-186,-572,538
19887,14434,9943,-124,-319,-572,537
31478,13503,8217,-206,-215,-572,537
-32136,12552,12503,-136,-10,-572,539
30890,15758,12238,-167,39,-572,540
29271,18230,9561,-232,87,-572,540
26535,19710,7913,-289,100,-545,540
21750,19141,8531,-272,76,-511,539
19475,20877,8864,-168,-39,-531,539
17572,23662,6874,-79,-60,-512,539
17867,26428,7521,-43,-76,-512,539
17690,25525,8384,-21,-59,-477,539
17004,25623,8158,19,-69,-430,540
18583,25457,8806,0,-84,-327,540
