ax,ay,az,gx,gy,gz,flex
6285,15592,13974,28,-122,-155,372
7286,15582,14974,3,-126,-121,371
7050,15288,14729,-13,-112,-86,374
7080,15219,14023,-8,-93,-74,375
7374,15513,14003,2,-62,-53,376
6638,15543,13719,-3,0,-20,376
6295,15729,13875,-8,12,-3,377
5962,15356,13640,-9,31,2,377
5864,15562,13209,-2,44,5,376
6119,15395,13542,-3,28,3,375
6168,15141,13287,3,30,2,376
6805,15131,13621,16,31,13,378
6795,15533,13424,20,56,30,382
7021,15690,13993,21,65,49,385
6128,16170,13326,12,102,55,386
6423,15915,13366,18,95,63,389
6315,16111,13611,17,117,73,389
6256,16072,13660,14,124,82,390
6119,16160,13670,22,112,82,392
6413,16611,14189,17,119,96,397
6050,16003,13895,4,140,118,402
5530,15572,14336,2,183,138,404
4295,16356,13513,5,204,156,405
4344,16660,14121,-3,194,166,405
4412,16023,14523,-12,194,183,405
3991,15543,14483,-10,199,193,405
2932,15660,14582,4,185,188,405
3294,15631,15346,5,170,183,406
2990,15052,15788,-10,164,185,406
2598,14974,15552,-14,164,186,407
1784,15111,15307,-8,149,175,407
1794,14964,15386,-6,121,149,407
1588,14797,15278,5,80,117,408
2235,14807,15837,16,49,86,407
2657,14572,15954,21,34,73,408
2883,14366,16288,23,21,68,410
2971,14493,16445,23,20,67,411
2922,14817,16327,13,26,67,412
1735,14542,16445,5,5,58,413
1941,14199,16739,4,-25,51,414
1951,14258,16739,6,-53,38,412
2373,13964,16611,3,-50,22,409
1059,14297,16151,8,-42,3,414
931,14650,16298,0,-64,-13,415
1441,14631,16445,-16,-68,-29,416
1343,14454,16023,-40,-76,-57,416
1569,14013,15386,-46,-110,-101,416
2167,14787,15533,-56,-177,-151,417
4932,15111,15582,-86,-193,-177,417
5275,15258,14199,-84,-166,-182,417
5285,15807,13493,-71,-178,-197,418
