ax,ay,az,gx,gy,gz,flex
-23860,24339,26859,-43,-79,234,544
-18309,29693,-28969,5,-148,454,545
-18839,-23585,-29145,-129,-115,572,545
-26390,-20594,32282,-274,-137,572,545
-31665,-20015,29026,-327,-179,572,545
23947,-20672,22888,-420,-124,572,545
13699,-25801,17131,-540,-31,572,544
6462,-31587,10443,-572,28,572,544
-431,28507,2530,-572,117,572,530
-7089,25692,-7325,-572,151,572,544
-8305,17847,-16376,-572,116,572,544
-6266,12758,-19946,-413,133,405,544
-5226,12002,-21407,-158,38,190,543
-1314,11551,-18455,80,-26,58,543
3128,12002,-16072,278,9,5,543
3775,13052,-14415,454,16,-61,543
7109,13218,-10610,572,-73,-198,543
13640,12934,-5736,572,-39,-227,543
16925,19102,1215,572,-51,-222,543
24643,30399,12002,572,-111,-263,543
-23477,-31656,25437,572,156,-140,543
-22683,-30538,-28978,572,360,103,544
-28665,-29881,-29920,572,297,372,544
-31038,-30979,-22055,572,249,517,543
27016,-26860,-15652,572,23,542,543
27281,-24242,-15112,572,-208,572,539
25525,-26939,-18388,531,-85,572,542
14179,-31930,-24624,371,63,572,544
3432,28173,-29841,213,98,572,545
-4010,23456,30654,-26,84,572,546
-8708,18887,24692,-235,-4,572,546
-8364,14258,19965,-348,-79,487,546
-7482,13169,17268,-392,-103,424,546
-7354,14091,14415,-457,-110,362,546
-6815,14444,12110,-559,-104,241,547
-6540,12875,9168,-572,-95,126,547
-5501,12140,6942,-572,-86,40,547
-4422,12463,6001,-572,-64,-52,547
-4844,13875,4638,-572,-79,-161,547
-3971,16974,3245,-572,-113,-270,547
-1990,21250,2755,-572,-113,-383,547
235,28507,1794,-572,-78,-502,547
980,-29596,-1833,-572,-83,-572,547
5560,-24732,-1902,-572,-84,-572,547
11953,-16171,-1059,-572,184,-572,548
-2677,-6345,-8943,-572,232,-572,547
24506,15327,-5001,-572,-463,-572,540
-24075,19132,-2549,-572,572,-572,547
26692,13660,-6079,-572,572,-572,542
-29871,-3198,-15356,-572,199,-572,550
-19015,23996,-15288,-303,-465,-553,528
-32558,29938,-7560,177,-307,-98,545
20573,-30920,2029,84,-187,-27,550
16768,24192,1441,-93,-123,-75,545
15847,20446,-402,-120,-164,-36,548
15150,19769,-1470,-83,-159,-2,544
13150,19191,-794,-24,-148,0,548
12424,19053,1794,5,-107,19,545
9600,18426,3726,-16,-42,53,546
8835,18122,5275,-10,-27,61,543
7443,16925,5815,17,19,28,531
