ax,ay,az,gx,gy,gz,flex
18906,19377,8766,-283,413,337,414
23133,19475,11640,-274,469,434,398
27369,16435,15974,-225,476,532,386
29664,15258,22358,-197,502,572,389
24476,12081,31390,-225,480,572,404
19808,10541,-23330,-328,270,572,409
21642,8325,-16328,-444,241,572,414
10532,11100,-10454,-551,273,572,417
1108,13307,-10641,-572,233,572,421
-3255,14935,-14838,-572,144,527,423
-6334,17367,-19515,-572,190,449,425
-12503,18161,-29057,-572,228,340,426
-11532,16660,28085,-572,211,225,427
-10326,14925,21877,-572,257,132,430
-10090,13748,16700,-572,314,62,431
-9276,12669,12699,-572,301,4,432
-6805,12728,10826,-572,335,-27,434
-7011,11885,7531,-556,388,-82,435
-7129,10737,3628,-487,349,-166,437
-4765,10159,1265,-405,297,-223,438
-2333,10149,-607,-333,306,-246,439
-1863,9629,-2686,-275,349,-254,440
-1382,8786,-3726,-200,379,-260,441
-823,9286,-3520,-101,361,-289,442
2726,9335,-2824,-25,370,-301,442
7227,9433,-4000,50,435,-297,442
12159,9590,-5609,191,449,-296,442
16082,12012,-558,366,471,-309,443
19445,13601,8737,572,382,-415,443
29517,14915,15798,572,333,-461,443
-29528,13846,21770,572,389,-316,442
-26870,8100,27477,572,350,-163,439
-23389,4461,-30165,572,195,-117,438
-15142,-1098,-22742,572,109,0,437
-15073,-7089,-15044,572,96,283,437
-19201,-10061,-9150,572,49,553,437
-29724,-16749,-1678,572,12,572,438
24172,-16033,3667,385,-9,572,439
20818,-14856,2539,111,-112,572,440
14542,-12836,2265,-82,-60,572,440
5775,-6707,1382,-372,-55,572,441
1304,-1314,-256,-528,-52,572,441
-4883,6148,-3766,-572,33,572,442
-12012,9051,-16348,-572,68,572,443
-14091,9570,-28233,-572,20,401,444
-13052,10649,29262,-572,1,213,446
-10090,10375,24192,-572,43,117,447
-6962,10100,19367,-572,167,113,449
-7864,9874,15190,-518,303,132,450
-8325,9188,11414,-458,368,100,451
-8129,9551,7796,-408,396,32,452
-7482,8649,4559,-404,395,-28,452
-6178,6776,1490,-346,382,-77,452
-5118,6844,-715,-260,400,-125,452
-4550,7001,-2069,-198,404,-170,452
-2990,6491,-2579,-149,420,-189,452
-1402,6207,-3177,-75,446,-214,452
39,5148,-4363,20,440,-260,452
2608,5609,-3824,109,441,-295,453
6785,8060,-2353,175,479,-336,453
12346,7148,-2461,282,463,-386,454
17926,7894,107,395,458,-372,454
21672,10169,6844,500,477,-375,454
26604,11051,13503,572,390,-459,455
-31842,13228,18279,572,277,-467,456
-25379,9355,19141,572,324,-297,457
-27135,3579,22613,572,328,-144,457
-29400,3540,31115,572,249,-83,458
-30243,372,-25889,572,130,-22,458
-32175,-5324,-19947,572,113,114,458
26231,-6099,-17682,572,120,213,458
18622,-9267,-18554,519,40,211,458
14640,-9590,-21898,427,-18,190,458
11610,-7129,-25497,388,-55,170,460
9217,-3422,-28321,364,-71,177,462
7109,-480,-26762,299,-12,264,465
3981,3324,-29282,112,110,367,466
78,2510,26761,-25,94,357,466
264,2637,20985,-39,6,253,466
2628,1353,18524,-30,-6,169,465
4344,1519,17945,-4,19,128,465
5020,2981,17396,-1,23,86,465
6040,2824,17043,-6,8,41,465
7570,2373,17641,-2,-6,11,464
8747,2000,17622,0,1,-4,461
