ax,ay,az,gx,gy,gz,flex
2186,22780,18190,-258,-94,135,532
4805,24633,20456,-294,-237,203,531
6266,27938,23701,-292,-445,307,529
9531,31017,26741,-302,-492,418,485
10394,-32617,27791,-247,-457,491,488
10296,-31852,27055,-210,-451,539,476
14856,-32195,27457,-236,-484,572,453
16023,29144,22986,-238,-449,572,423
15356,26369,20740,-218,-341,572,389
12728,22534,16386,-238,-299,572,341
12650,19593,14229,-271,-207,572,314
10708,17347,11218,-341,-45,572,308
8364,16876,7403,-442,47,572,317
7492,9943,1235,-497,-34,572,302
7648,3363,-4520,-441,38,527,313
3530,-2539,-9217,-309,144,490,294
-2520,-8835,-11591,-270,258,424,294
-12973,-17367,-15905,-192,313,335,295
-9825,-26663,-13454,55,116,132,302
10581,-25780,-5344,192,-79,32,308
28242,-25123,-2039,67,-107,202,310
25565,-28732,-5207,91,-13,436,310
18769,-27163,-4736,180,-104,528,311
19318,-25074,607,222,-119,572,312
13679,-24094,303,195,-65,572,315
14072,-23594,-1196,180,-282,572,315
18975,-23123,823,190,-301,531,316
18033,-22525,1333,198,-128,475,317
14621,-19651,3324,136,-8,456,319
7796,-18700,2716,58,-20,363,317
4020,-20750,2069,115,19,161,319
1353,-16092,4442,244,122,-35,323
-637,-6991,7943,280,208,-168,325
-7080,3069,11532,269,246,-308,323
-8727,11149,15101,301,191,-446,327
-8570,19906,20142,334,233,-527,329
-5589,29389,27751,423,357,-572,329
-88,26026,-27596,398,510,-524,329
11257,14631,-30067,139,267,-355,332
21064,1333,31056,88,193,137,327
-23339,-578,27222,-129,-572,107,326
-6403,-5138,17200,-77,-326,-2,323
7756,-5874,18122,56,-3,-33,323
5707,-3039,25682,41,202,57,320
-3196,-6531,24221,-46,105,69,322
-1745,-7599,20956,-4,-89,12,325
5991,-6903,22230,21,-99,-10,322
5413,-6285,23378,-24,1,24,321
2824,-7266,20926,-44,48,28,321
2657,-7286,20289,-22,53,13,326
3510,-7786,19563,5,36,14,324
4285,-5815,19191,48,19,12,323
