ax,ay,az,gx,gy,gz,flex
2147,19887,7531,-142,108,44,541
1863,19465,7737,-180,151,57,540
3236,20240,9021,-239,163,77,533
3089,20152,8374,-264,206,93,533
5197,19328,9590,-254,224,103,517
5981,20093,9855,-237,252,119,495
10492,22015,13287,-270,217,155,475
16680,22897,12248,-325,256,263,444
17808,23142,10953,-293,286,372,409
17014,24202,12650,-215,87,424,386
24074,28605,15709,-196,-108,497,348
28497,32213,16121,-228,-169,572,327
29683,31978,15533,-216,-153,572,314
30733,-30753,15847,-103,-244,572,310
-29694,-24801,19122,30,-306,572,314
-30744,-24468,20367,96,-381,572,314
31350,-25291,16249,206,-435,572,304
31723,-26135,15170,356,-440,572,311
26751,-24566,15817,368,-303,572,309
16190,-27439,14072,314,-180,572,308
7070,31439,11277,280,-166,572,309
1353,26898,9531,277,-111,572,309
-5158,22574,8511,240,-64,572,305
-12208,15484,8845,217,-50,572,306
-14935,12110,12689,206,-74,572,307
-14434,5844,15886,160,-66,448,308
-14650,-3746,18220,127,-66,310,307
-12306,-10198,20505,83,-20,184,307
-7874,-14964,18563,-2,-32,67,306
-2363,-17033,14425,-65,-48,-11,306
4354,-19141,9698,-82,-46,-41,308
6246,-17886,7001,-91,-24,-27,308
6638,-17690,5913,-63,-14,-35,310
8080,-17661,6531,-17,-1,-36,312
8560,-16964,7992,10,13,-6,314
7668,-15925,9678,8,14,26,314
7099,-17239,10463,3,34,21,315
5844,-18200,10688,5,43,11,317
5177,-17641,11002,21,35,20,318
5285,-17386,11198,19,12,17,319
5874,-16808,11355,28,21,27,319
5393,-16406,11218,-16,0,12,319
4952,-17043,10473,-12,2,-4,319
4667,-17298,9825,2,-5,-16,319
4461,-15964,10237,-6,-23,-22,320
5883,-16170,10806,-49,-24,-21,321
5109,-16641,10120,-51,4,-18,321
5991,-18592,9061,-44,-8,-25,323
6756,-17170,9051,-13,-11,-20,323
7570,-16435,9757,-17,-19,0,324
7570,-17131,9982,-28,-28,18,324
