ax,ay,az,gx,gy,gz,flex
14307,26692,9031,-116,-140,267,523
13111,26585,7492,-107,-482,326,528
17837,27840,10306,27,-572,330,513
19377,30595,7756,178,-572,301,514
21015,-31587,7178,382,-572,331,516
23417,-30194,3216,537,-572,398,493
21348,-30685,-2304,572,-572,456,474
19906,-32744,-8521,572,-572,422,459
21220,30899,-9639,572,-572,387,473
15209,27771,-12777,572,-543,449,468
9119,25761,-15670,572,-447,425,465
8158,20093,-15209,572,-388,376,458
5570,15141,-15719,572,-226,362,445
1000,12552,-13120,572,-105,321,434
784,7158,-8953,572,-35,265,423
-1745,4197,-6746,572,62,233,410
-4962,353,-2402,572,54,201,403
-5697,-2863,1372,572,40,161,396
-5413,-4010,6521,572,51,117,392
-3442,-3559,16562,572,145,47,392
-7393,-4716,24339,572,267,3,394
-11846,-6785,28879,572,209,16,400
-12875,-10022,31880,400,-6,116,403
-14111,-13130,31037,258,-214,233,405
-14376,-15680,28752,168,-347,299,405
-14385,-15984,27565,77,-405,310,406
-16386,-14640,29860,-24,-408,283,408
-15690,-12728,32753,-234,-351,259,407
-19887,-12110,26741,-565,-317,240,396
-16082,-11404,20279,-572,-347,170,388
-10473,-7639,15180,-572,-191,55,383
-8963,-5903,7560,-572,-83,-84,381
-2314,-3275,3402,-572,3,-188,380
-2167,4540,-19,-572,96,-275,391
-1176,14081,-1971,-572,50,-371,405
3118,24643,-1961,-572,12,-423,409
5981,-27704,-5579,-572,45,-467,414
10983,-18289,-16445,-572,63,-516,417
-28155,-28802,-28222,-572,10,-470,418
-26576,19544,25144,-572,356,-125,413
-4344,7197,7944,-572,438,91,394
23760,-9855,19672,21,-572,-171,399
27575,9639,-27742,272,-404,-199,405
14670,6570,-20328,-60,572,-31,408
7639,3893,-17582,-18,14,-20,410
13346,4354,-20691,-85,-91,-4,411
11708,1823,-24388,-122,-90,19,411
10443,1421,-25339,-81,-28,26,411
9119,2353,-21397,-12,-4,12,412
8521,3098,-17553,-9,81,13,415
6148,3412,-14768,-49,120,19,418
4628,3618,-13277,-94,59,7,421
6835,2863,-14032,-127,26,27,423
8129,3138,-15778,-157,61,49,423
7501,1951,-17494,-114,70,32,424
8600,2755,-18622,12,41,24,424
