ax,ay,az,gx,gy,gz,flex
7864,20838,5393,-34,30,73,531
7854,20181,4677,-100,25,69,530
4520,20671,5579,-170,-126,-1,530
9139,18367,6972,-119,-101,29,530
14876,19210,6766,-39,-180,84,529
19073,21240,9718,-5,-148,128,526
20397,23231,11944,-48,-40,192,515
18122,24241,12561,-98,29,276,492
18141,26761,12748,-135,-44,340,448
20750,28820,17484,-215,-226,385,416
25074,31703,20367,-305,-284,469,409
28046,-32028,18632,-368,-311,572,379
-31842,-29724,16710,-341,-353,572,360
-27223,-26684,16278,-337,-292,572,347
-27615,-25605,14121,-387,-171,572,332
-31724,-26390,8688,-401,-67,572,316
30017,-30018,8276,-405,28,572,298
27555,-27674,5609,-491,213,572,278
22123,-32224,2775,-557,294,572,264
17151,29575,1049,-572,331,572,254
13856,29487,-1627,-572,319,572,253
11649,23731,-3187,-564,289,572,255
10728,24761,-4962,-551,265,572,259
9021,20338,-8913,-533,222,572,262
5638,16915,-10973,-482,289,572,264
2245,14533,-14317,-432,362,572,268
-4108,12444,-19759,-414,408,572,270
-13346,8001,-27310,-432,336,540,272
-18808,2490,31371,-434,189,402,272
-20907,-323,25909,-376,163,337,274
-28252,686,20790,-373,133,271,275
-31301,-490,18142,-387,-76,159,277
-28163,-3951,18790,-304,-245,82,278
-24035,-2539,23938,-196,-276,34,280
-21956,-333,28586,-240,-335,34,282
-19622,480,30508,-366,-396,-4,285
-16768,-1441,29116,-451,-408,-79,287
-17161,3010,28047,-409,-374,-181,288
-20357,12561,27851,-419,-327,-317,289
-24662,25408,26066,-497,-255,-375,291
28233,-26752,14318,-497,-114,-505,293
6747,-19054,-9914,37,13,-572,309
21418,21975,-2735,572,345,-572,377
-31184,-23624,5120,572,298,-572,561
-12581,3265,647,572,572,-572,599
28016,-31734,32556,572,572,-572,589
13377,-16878,23564,572,572,-572,546
-6805,-21614,28428,-572,-572,-37,611
22544,-15670,7335,-228,-572,208,589
6119,2196,27830,572,94,-32,594
-10659,6276,32664,474,36,-67,574
7031,3981,-29184,146,64,-44,572
8217,3981,31154,66,157,86,587
1225,4873,29526,77,110,148,578
-1265,5991,26643,99,-50,130,582
804,6403,21456,78,-98,114,566
2559,6236,15356,62,-79,134,568
3589,5432,13218,96,-31,152,561
2461,7207,12552,165,-16,144,560
892,9296,8453,173,-55,139,549
647,8963,4324,164,-145,144,557
2235,8825,6874,231,-217,144,561
3785,13111,6491,286,-246,93,562
3461,12748,5285,295,-354,10,561
9139,11718,8502,304,-408,-39,560
9531,13493,9659,326,-356,-48,560
11228,11620,10698,335,-415,-108,560
15395,12306,12875,318,-341,-184,546
14562,18161,12297,240,-220,-237,539
11002,20701,21730,334,-228,-290,548
11336,26820,23515,311,-383,-415,539
18033,31615,19289,141,-416,-489,540
18180,29301,19083,41,-351,-480,546
14552,28967,19749,-5,-400,-489,541
23849,-32136,16945,-101,-397,-558,548
29654,29870,12336,-140,-278,-520,546
28144,24731,10286,-61,-241,-420,545
21848,21034,9757,30,-280,-394,546
