ax,ay,az,gx,gy,gz,flex
4549,-25742,-11561,28,-572,282,552
2500,-30508,-11600,48,-572,465,551
696,-11680,-11836,184,-100,572,552
-12641,-10,-11855,249,148,572,552
-20888,5059,-17327,189,278,572,552
-26850,1941,-21593,264,413,572,552
-28341,-1619,-20965,373,514,572,552
-30224,-2560,-19612,334,572,572,553
28703,-6983,-20210,207,572,572,555
18612,-14445,-18230,112,572,572,558
16533,-19859,-15650,24,572,572,559
16356,-22545,-15268,-33,572,572,559
13483,-22340,-14209,-80,572,572,559
8443,-25066,-14787,-121,485,572,559
5677,-26537,-17425,-70,299,572,559
7482,-27674,-20916,35,76,572,559
9914,-27743,-23329,134,-45,572,559
10708,-26135,-21946,273,-24,572,558
7354,-22467,-19573,430,13,572,558
5050,-17789,-17170,572,29,572,559
7335,-8228,-12601,572,106,572,559
12601,3932,-9933,572,318,572,559
4971,16052,-8727,572,467,572,559
-2059,24054,-5462,570,471,572,560
-14238,31625,7070,572,572,572,561
-28899,-22526,18298,547,453,572,563
31861,-14779,29615,421,117,572,564
-28516,-13024,-28380,161,171,572,563
-27516,-16652,-30989,-152,441,572,564
-31576,-28812,28350,-481,531,572,564
-29262,22073,26604,-572,427,572,563
-23093,6746,25908,-572,351,572,562
-17063,-8689,23574,-572,347,467,562
-15042,-21947,21887,-572,301,251,562
-12561,-31126,18553,-572,195,111,562
-9884,30654,12816,-572,107,2,561
-8992,29928,5138,-572,19,-92,559
-7256,30134,-58,-572,-23,-178,559
-7227,32321,-3638,-572,9,-277,559
-9149,-31626,-7011,-572,-50,-377,559
-7541,-31430,-7874,-572,-122,-442,559
-2902,31556,-8256,-572,-27,-482,559
-3795,31409,-8609,-572,131,-529,559
-7344,32674,-10296,-572,173,-572,559
-7590,-31989,-10561,-572,118,-572,559
-5962,-30440,-10424,-572,65,-572,559
-6374,-25527,-11228,-572,31,-572,559
-7119,-17466,-13101,-569,-44,-572,558
-3226,-10062,-13738,-572,-101,-572,559
-2020,-3050,-15131,-526,-98,-572,559
-137,7609,-21142,-469,-196,-572,560
12002,11365,-24417,-373,-241,-572,561
26231,6658,-15572,-139,-145,-572,562
22780,7040,-19151,-122,-71,-572,563
-30763,4334,-16219,-146,-103,-572,562
-28871,3255,-12767,-123,27,-572,562
-31420,78,-11218,-89,-2,-534,562
31694,-9474,-7874,-14,-106,-383,562
30752,-19201,-3746,95,-230,-282,562
30203,-23928,-843,146,-290,-188,562
27634,-29939,88,94,-269,-69,562
23015,29870,549,21,-214,67,561
15641,25545,578,-21,-179,176,561
9502,22476,862,-35,-190,224,560
5609,20446,1618,-41,-220,209,559
4432,18720,833,-54,-222,176,557
3167,17504,333,-45,-176,156,556
911,16543,382,-21,-116,152,556
-921,16572,1098,11,-85,123,555
-1451,16945,1294,3,-62,62,555
-1412,16003,1294,-7,-71,26,555
-715,15062,1304,-9,-50,22,554
-1284,14886,578,31,-40,12,553
