ax,ay,az,gx,gy,gz,flex
20416,22025,-441,-101,2,96,536
31713,22417,-205,-138,116,77,543
-25144,26182,-882,-86,465,165,550
-23761,32331,3765,-84,572,329,554
-26919,-28057,8913,-164,572,512,556
-32362,-24144,11287,-239,572,572,557
27516,-21173,11797,-320,537,572,557
26585,-20967,11640,-386,477,572,557
19808,-19878,7776,-450,527,546,555
16857,-23075,4304,-474,474,534,553
14886,-26154,1980,-465,415,503,551
14719,-30949,-68,-483,390,473,550
14640,32576,-2127,-478,458,458,549
13621,27418,-5942,-483,398,468,549
22682,24466,-9433,-457,304,486,549
27663,22789,-11032,-347,351,553,549
29468,25486,-11571,-207,299,572,549
-30351,32566,-9306,-99,167,572,549
-28106,-24389,-5717,0,152,572,548
-27674,-13945,-127,79,135,572,548
27026,-2805,2451,54,38,572,548
7305,-10856,6079,-9,-166,572,548
-1274,-17868,11512,21,-209,572,547
-9825,-13573,16837,193,-144,572,547
-26947,-8993,23986,255,-160,572,548
17015,-17485,-30753,200,-231,572,547
-13179,-31126,-23095,115,-2,572,546
-9394,25074,-17927,-19,44,150,550
-7158,23858,-26272,24,-86,-516,551
6845,32262,30095,-46,-77,-572,551
21035,-29057,25084,-86,-124,-572,551
31999,-20849,20926,-140,-210,-572,551
-11090,-12729,20661,-95,-186,-572,552
11718,-1501,26987,29,62,-572,554
16955,10021,27487,-50,-6,-572,557
25349,362,17180,-378,-384,-572,558
28595,-15475,-7227,-572,-469,-572,555
31027,26457,-17631,-479,-557,-529,553
31605,12405,-9041,-112,-399,-422,551
29987,6933,-3422,109,-292,-346,551
25055,6393,1892,201,-233,-217,549
20230,8757,5089,146,-178,-68,546
16121,7903,3696,52,-161,5,541
12287,7286,2490,31,-155,28,539
7747,8080,823,82,-194,25,538
6599,9208,1529,163,-288,20,538
6874,10482,2471,200,-353,-18,537
5393,11453,1667,167,-388,-74,536
7727,10934,1196,134,-400,-110,538
9561,13169,2569,144,-300,-166,536
