ax,ay,az,gx,gy,gz,flex
17661,22054,8404,-39,338,119,528
20799,27134,9061,-29,572,128,524
27536,29674,10796,-53,572,226,513
-31253,-32626,16425,-2,572,413,488
26496,-14720,19514,58,572,572,458
20436,1696,22123,-131,425,572,420
13807,12914,22211,-373,379,572,374
4618,13493,23221,-549,376,572,342
-2382,7060,21966,-572,286,572,323
-6197,1500,19465,-572,190,572,315
-7786,-5267,15817,-572,154,572,311
-7060,-11121,11502,-572,208,572,309
-12610,-16799,4746,-572,233,572,309
-14189,-22634,-2559,-572,121,418,310
-12797,-26870,-8178,-572,67,274,311
-9021,-29331,-9904,-572,131,211,308
-5972,-30440,-13199,-572,382,150,307
-8423,-32499,-16778,-572,572,8,315
-12748,30478,-19740,-572,572,-251,316
-12718,28144,-19965,-572,572,-511,316
-8727,29350,-18798,-572,572,-572,318
-7992,-31038,-17180,-407,572,-572,320
-8051,-22232,-13895,-267,572,-572,320
-5883,-9787,-10855,-233,505,-572,323
2941,6844,-5775,-179,334,-572,326
14562,26133,-872,-34,572,-572,328
26143,-24536,5991,303,572,-572,330
5530,-25193,12689,513,572,-572,333
18259,16641,-16249,572,572,83,337
-14602,-30391,-32449,480,572,572,341
-22103,-31656,1108,30,572,572,335
-22574,-26400,-25713,34,523,572,337
-11885,-23575,-20133,100,-87,572,337
-6472,-26331,-25487,125,2,572,337
-9933,-31724,-32205,12,194,572,338
-13817,22632,24839,-253,323,572,340
-15543,12110,17219,-570,434,572,341
-20191,-1540,8109,-572,515,572,340
-24064,-13426,-156,-572,448,572,336
-25084,-22997,-5579,-572,306,572,335
-23054,-26998,-8178,-572,219,556,338
-16200,-28831,-10502,-572,349,313,334
-12257,-30283,-14748,-572,565,47,334
-9737,-28802,-14523,-572,572,-127,335
-4667,29948,-16141,-572,572,-304,331
-9472,29419,-22319,-572,572,-533,329
-15513,-27213,-20210,-448,572,-572,330
-15209,-7002,-13238,-371,572,-572,332
-1510,4363,-11473,-484,31,-572,330
29213,13591,-9061,-572,11,-572,330
11130,26065,-7648,-572,470,-572,329
-30302,-27459,-8031,-260,529,-572,330
4363,17602,-7482,140,572,-364,335
-18593,13130,-24957,572,572,513,340
4324,18376,-23407,572,572,572,359
5726,-29086,-8158,572,552,418,420
-28812,9551,-4079,572,-125,171,516
-25899,32537,-2402,572,-65,293,566
-31106,14101,17759,572,-25,488,603
18239,-17201,2883,572,-2,572,610
8982,11738,22770,572,113,515,608
-8796,-11974,-29665,572,42,358,602
-8629,-24987,-27086,572,69,203,603
-7815,24368,31282,382,176,140,605
-8158,12650,20387,210,156,58,599
-4540,2981,9825,45,63,-15,601
1039,-5432,-137,-60,-12,-22,589
4246,-9816,-6511,-69,-20,-11,592
5373,-10502,-8580,-74,-16,-41,598
6707,-11394,-11953,-103,-38,-46,599
9110,-12434,-13209,-68,-82,-33,599
11669,-11904,-11551,-32,-59,-44,598
11787,-10894,-11365,-55,-28,-41,598
12591,-11169,-12934,-60,-45,-26,597
13817,-10443,-11973,-41,-42,-35,595
14768,-10482,-10610,-63,-2,-34,589
13699,-10845,-11130,-68,9,-16,590
12552,-9914,-12493,-47,-33,-21,592
13875,-9698,-11444,-46,-53,-26,591
14062,-10159,-11296,-55,-15,-14,592
12610,-9914,-11444,-37,-3,-6,588
13405,-9384,-10571,-49,3,-4,589
12061,-8806,-11041,-77,49,-20,590
