ax,ay,az,gx,gy,gz,flex
22927,117,5530,-202,190,136,320
23250,264,3138,-279,490,196,320
13405,215,-3226,-274,572,284,320
8178,3461,-5540,-204,571,225,321
24241,8266,-5815,-140,572,287,322
18847,13277,-11777,-27,572,474,323
21034,13375,-7099,60,572,566,324
17808,12758,-7511,136,572,572,325
8129,3343,-4383,304,572,572,325
15641,4148,13209,363,324,572,326
16435,-3706,21897,314,341,572,327
6491,-5364,-31685,282,336,572,329
1667,-9551,-23242,125,205,572,332
-2755,-10090,-12945,-8,150,572,344
-13189,-12434,-14573,-171,114,572,372
-22427,-14964,-11425,-20,61,572,412
-28418,-5707,-6895,-233,149,484,506
28939,-735,-14043,-540,137,350,536
27243,4981,-21349,-572,-15,225,577
30567,7080,-26242,-572,-19,150,578
26135,7619,-32695,-572,70,32,595
26899,6423,28016,-572,48,-112,591
32705,6560,17778,-572,-106,-347,571
-17906,10914,16847,-486,-73,-484,536
-9267,13758,13689,-513,147,-438,455
-7658,14052,6531,-486,325,-383,375
-6364,13042,1922,-333,331,-401,332
-1186,12758,1284,-228,346,-388,317
-1510,10855,-362,-151,400,-380,313
1333,10414,1265,-128,387,-388,312
2196,9482,558,-67,400,-397,316
6746,8051,1382,-28,400,-399,315
8227,8727,-500,65,422,-438,317
15768,11149,2961,117,346,-481,320
23721,9492,1098,148,352,-453,321
27281,8668,1333,215,363,-387,323
29046,8080,2794,313,335,-372,325
-29841,6913,4138,389,266,-363,327
-26556,4805,4334,435,264,-250,330
-27959,1667,5001,497,229,-147,331
-24477,-2569,8325,572,154,-127,332
-19966,-3108,15964,572,120,-59,333
-18692,-4501,23280,572,54,105,335
-17701,-8580,30134,572,25,310,335
-21006,-9247,-22075,572,18,474,336
-23977,-7070,-10846,511,-24,572,337
-28400,-10502,-5796,334,-66,572,337
-32568,-10845,-3403,156,-52,572,337
27398,-10502,-256,10,-50,572,337
18053,-4579,6099,-170,6,572,338
1853,1166,1294,-429,90,572,338
-7080,4344,-6826,-536,77,572,338
-11963,8502,-15289,-572,78,528,338
-13591,10630,-25772,-572,143,401,339
-15572,9747,31017,-572,217,288,339
-15876,9394,25359,-572,241,159,340
-12032,9610,21750,-547,250,61,340
-11090,9551,16396,-517,309,5,341
-9708,9531,11816,-478,312,-64,341
-6040,9512,7815,-423,325,-126,341
-3569,9384,4138,-355,346,-159,342
-1343,9414,2039,-283,359,-182,343
470,9580,931,-237,383,-180,344
549,8825,-1951,-193,427,-167,345
725,8531,-3491,-111,439,-169,345
4344,8217,-3579,-18,450,-188,345
7796,8139,-2226,84,483,-217,345
12159,7501,1372,192,449,-259,345
18592,7521,5864,261,373,-314,345
26104,6021,6903,273,314,-323,346
28556,3206,5403,322,302,-289,346
29624,3726,6609,396,229,-285,346
32105,451,4530,426,181,-241,345
31517,-3422,3039,514,157,-212,345
-32636,-4059,7786,572,65,-224,345
-31381,-5560,10051,572,29,-179,345
-32509,-7962,12581,572,-19,-131,345
-30194,-6423,21348,572,-112,-102,345
-28694,-4236,29105,572,-73,50,346
-31744,-1951,-29881,572,-17,216,346
28507,3795,-20231,572,9,409,347
21368,7443,-20820,572,60,501,348
11434,3559,-20947,529,79,501,348
-186,2834,-20015,398,153,461,349
-4863,666,-27233,254,20,267,349
-853,3049,-32411,193,-44,111,349
3628,4481,29085,131,-48,65,347
4383,5530,26428,65,8,99,343
3255,5648,23800,15,37,113,341
3363,4667,21319,-4,19,86,341
5040,4177,20132,-17,43,55,341
5413,4403,19495,-11,40,5,341
7374,4628,20034,-15,-5,-12,342
9600,4991,20024,-27,28,-17,343
7227,4618,18739,-45,-5,-70,344
8256,4608,17249,-37,-67,-115,344
12993,3324,19259,-19,-162,-181,345
17210,3991,19396,-36,-63,-136,347
12905,4383,19445,-135,-14,-63,348
13415,2539,17200,-187,-42,-55,349
11973,2078,16749,-142,-35,-85,353
13415,2343,18004,-162,-41,-90,359
12218,1225,15690,-141,-58,-92,360
14052,1392,15229,-79,-41,-81,360
