ax,ay,az,gx,gy,gz,flex
17063,-1470,9394,48,127,2,382
17553,-29,9796,94,170,-4,388
17219,2549,11561,109,232,53,367
12542,9600,11394,139,164,105,362
17484,20867,15386,119,76,205,367
22917,-30538,19691,-37,99,357,365
18651,-20927,26771,-244,75,499,353
18082,-26684,32194,-321,-3,572,330
5011,25967,26869,-323,69,572,319
-4314,11071,14748,-336,86,446,319
755,-9198,2883,-337,15,336,315
1804,-28977,-7845,-205,-32,152,315
4089,13465,-2598,-115,-118,122,315
-11238,-25996,-4765,-17,-132,74,315
25379,-28604,-7168,113,-424,61,319
-3402,-15199,-3726,67,-253,-39,324
16082,-1049,-7315,218,572,57,326
4265,9189,-6040,354,572,93,328
7374,2403,-10355,383,337,68,328
-5373,1001,-27026,251,306,9,327
-22613,23595,29331,354,477,-228,327
15661,-27302,-7560,572,572,-569,328
22241,30870,-30891,507,513,-572,335
-1833,-8160,-24703,572,572,-572,333
-4002,-9199,-25968,295,379,-223,331
8511,-11857,-27557,-121,-393,570,334
-12846,17719,-27802,-572,-572,572,336
-16494,-23977,14444,-572,-63,572,336
-17200,6393,14336,-282,-18,446,337
-8119,-7129,21044,-180,-152,364,338
-4756,-14787,22456,-201,-66,255,340
-7021,-19740,17170,-222,-77,145,342
-7472,-24623,14062,-216,-172,118,345
-6531,-25663,12287,-218,-285,36,349
-7060,31950,8825,-169,-332,-10,351
-6423,31214,10571,-181,-355,-40,353
-3049,-32557,8188,-250,-249,-39,354
-539,-26339,7658,-229,-93,-98,354
7786,-22505,12375,-67,12,-157,355
7972,-16964,15131,-80,68,-112,359
5118,-14905,12022,-226,-143,-65,371
18043,-14327,15837,-294,-279,-45,403
18681,-14729,8933,-203,-100,-52,448
10816,-16543,7403,-77,-83,-64,501
11277,-17072,7727,-21,-160,-37,541
12954,-15023,10365,9,-108,-7,541
9894,-13974,11208,-2,19,-47,548
7393,-15111,9904,9,17,-80,539
4736,-13925,8178,12,-45,-24,552
