ax,ay,az,gx,gy,gz,flex
21485,20573,4912,117,-59,195,534
23584,23525,3647,158,-19,296,533
25506,26241,2716,179,72,407,533
23054,26673,3461,206,156,502,533
25329,27487,5746,243,144,546,532
23554,27124,5854,236,69,566,522
27134,25163,4559,265,-56,572,506
30840,24123,4265,300,-11,572,481
31782,21613,5118,261,41,572,437
27761,20622,5413,177,-21,572,391
27163,17906,3795,83,-52,572,346
30517,17406,3138,11,-52,572,309
28762,18445,-1873,-13,-36,572,296
24976,16915,-5011,69,-68,572,289
25398,17455,-6766,109,-129,572,289
25673,20514,-8227,174,-181,572,292
20318,18073,-10002,266,-260,572,296
19602,18210,-5726,372,-297,572,300
13748,17023,-2275,379,-296,572,304
9992,14611,372,411,-352,571,306
12326,12257,5991,430,-423,485,308
12777,9355,11669,400,-398,451,310
9306,6354,13944,353,-427,373,311
13630,1431,19053,300,-482,317,312
13013,-1657,20799,218,-372,288,313
8776,-6511,15719,190,-295,216,314
7354,-9276,9198,256,-249,130,315
15817,-10728,5344,256,-80,55,292
-3932,-18426,3088,-221,-47,60,303
2137,-16906,6462,-154,-201,2,310
13032,-16994,-15346,45,-38,-35,313
10090,-15131,715,186,268,31,314
-5991,-15356,14474,62,85,0,314
715,-15101,6501,-58,-138,-48,315
9776,-16925,7148,-48,-134,-53,315
11228,-17494,10394,-27,-91,-15,315
10228,-17288,8296,-25,-106,-4,315
7854,-18239,6325,-11,-86,-11,316
6785,-18200,7001,1,-83,-28,316
9355,-17857,6903,-1,-90,-30,317
8462,-16925,6580,1,-83,-26,317
9286,-16915,7276,4,-92,-2,317
10110,-17641,6942,9,-59,9,316
8972,-17161,6276,11,-25,0,317
8776,-17072,6952,-3,-32,-9,317
9365,-17494,6815,-9,-43,-1,318
9688,-17994,6070,-2,-21,-5,318
8423,-16896,7158,5,-19,-13,318
9012,-17210,6168,3,-37,-10,318
