ax,ay,az,gx,gy,gz,flex
-30332,29615,13875,-111,-32,336,504
-31773,-29959,17504,-157,-4,398,497
-23114,-26694,15749,-265,-89,546,486
-21104,-22241,13513,-270,-226,572,460
-15534,-15230,10443,-203,-238,572,420
-16426,-12298,6785,-177,-190,572,369
-22055,-12514,2932,-166,-101,572,329
-32165,-15534,19,-159,-94,572,289
28428,-19702,-872,-112,-49,572,263
19995,-19162,-568,-96,175,572,257
2431,-19113,-627,-246,291,572,261
-13111,-25978,-5226,-339,153,572,263
-21475,31527,-8953,-281,-70,572,270
-24074,26359,-9070,-163,-227,572,271
-31350,20877,-10306,-103,-184,572,272
21486,13777,-10806,7,-63,332,275
16799,8198,-6423,112,19,-33,276
18289,9100,-3618,149,9,-397,280
23546,14278,-6050,155,-98,-572,285
28635,26281,-14513,178,-302,-572,287
-27104,-26909,-20760,265,-437,-572,288
509,-14514,-6589,456,-322,-572,290
22946,-2148,18484,389,-76,-572,292
12404,9796,24378,97,-317,-572,291
23799,-677,5903,-210,-6,-572,291
30389,-24585,-14631,-15,12,-218,291
12198,29919,1470,209,-30,420,292
-30842,-27154,9982,111,105,572,293
4098,-19486,7364,19,151,572,294
-29410,-9778,3010,-106,306,572,296
3706,-7826,-4677,-253,513,572,296
-32537,-16554,-12189,-364,397,572,297
15926,-27743,-13954,-360,139,572,297
-2696,28242,-17886,-378,183,572,297
-20985,12983,-27183,-295,-19,295,297
-6648,9453,-23682,-80,-73,-310,298
12788,18386,-10394,116,109,-572,299
31283,30497,-2226,147,118,-572,300
-6187,-22555,7815,224,51,-572,300
-26654,-8630,26771,320,75,-572,299
17219,-3423,-22634,174,46,-572,299
-6198,-13798,23907,-34,-344,-572,300
19377,24074,14003,-24,163,-340,302
-3698,19779,17053,-74,572,199,303
29154,23633,18357,-282,480,572,304
6128,-31146,7805,-544,303,572,305
-18986,-23742,-14768,-572,321,572,306
26192,-20123,-29232,-572,438,572,307
8188,-16426,28920,-572,572,572,308
-2971,-19358,27233,-572,572,572,308
-8708,-21280,-32272,-572,572,572,309
-20456,-21369,-22819,-572,513,572,310
29616,-24007,-16866,-572,282,572,310
17593,-31714,-15278,-572,-137,572,311
11572,23113,-14091,-572,-360,572,311
9699,24721,-10600,-572,-234,572,312
3649,20357,-12993,-549,-12,542,312
579,16406,-17906,-502,94,278,312
5149,13611,-19151,-491,51,-33,313
13033,12650,-19602,-451,-30,-367,314
22771,15150,-17808,-429,-81,-572,314
23565,17337,-16994,-391,25,-572,315
19201,23015,-20014,-329,220,-572,317
21075,27497,-23966,-17,194,-572,327
28586,-23987,-18857,572,200,-572,374
-23260,8992,-15847,572,79,-572,511
2000,-29479,-16680,572,-184,-572,559
24260,-16064,26222,572,572,-572,613
1166,-23301,-13857,572,572,-572,617
-20398,-23095,-25321,27,119,-572,617
-2080,20750,11934,-519,-394,86,616
-19152,6236,4108,-204,-225,288,614
26398,8325,15209,84,-100,136,604
20818,4099,19406,36,-44,59,595
25025,2353,20318,-109,7,-22,595
22436,-1480,15562,-175,71,-32,600
21132,-1549,14425,-148,-36,5,595
20112,-696,13111,-140,-106,38,591
20818,-2049,10943,-139,-103,47,593
20505,-3579,10110,-109,-103,47,582
21093,-3500,11081,-126,-86,49,590
19887,-4157,10080,-150,-42,55,588
16249,-6060,7560,-96,3,74,587
16504,-6481,9031,-42,-47,67,587
17278,-6040,10247,-54,-83,72,585
15945,-6040,8963,-99,-77,59,583
15749,-7374,7531,-98,-90,59,581
