ax,ay,az,gx,gy,gz,flex
9924,15611,14935,-313,-11,109,563
-176,15964,15190,-411,-35,52,564
13522,12189,12503,-470,26,47,550
10453,9835,10012,-346,34,-13,567
10345,6854,9767,-342,87,-36,562
9002,9492,10414,-332,102,-73,570
7452,7266,7972,-236,196,-162,568
11581,8060,6168,3,293,-334,571
14964,14189,8943,323,314,-530,572
21122,19661,9531,572,422,-448,570
27055,29105,9355,572,572,-61,572
16641,-24389,1461,572,572,265,571
9365,-21820,5324,443,572,445,558
-3814,-26056,10875,272,572,519,517
-6972,-28478,14454,201,290,572,540
-9217,31399,13189,321,-35,572,520
-1657,30242,12385,504,-324,572,434
11032,-30547,10139,572,-394,572,366
23339,-20741,12885,572,-214,572,323
20534,-19947,18102,268,44,572,296
11718,-27292,14817,-107,93,572,285
12983,28771,12002,-187,96,572,285
8982,22711,16788,-236,256,572,286
4432,13101,20328,-516,243,572,286
4461,3245,14023,-572,230,572,285
5099,-4863,12532,-571,153,572,287
6256,-9816,10992,-569,121,513,289
7050,-11806,11561,-572,105,407,294
4079,-11394,8717,-572,39,390,297
-500,-5668,9188,-572,-88,344,300
-5815,-2902,8972,-572,-221,273,304
-14758,-1147,10022,-572,-441,131,304
-15415,17916,19818,-572,-572,-72,304
-21858,17082,2255,-572,-572,-146,304
25427,22907,913,-572,-397,-88,299
26516,30105,-15533,-572,572,154,299
-10541,6717,16044,-14,342,245,302
-4236,9874,-19396,164,1,55,303
7129,8639,-8502,185,45,-68,305
9433,8923,-1274,147,65,-16,306
7511,8717,-6011,-19,40,0,307
7599,6374,-13022,-58,0,-5,308
10904,6599,-13130,-52,28,-19,308
11659,7286,-12777,-58,72,-7,309
9463,7433,-13817,-66,68,1,310
10090,7266,-14229,-54,13,-5,311
11120,8247,-15395,-57,20,-2,311
9884,7766,-16553,-59,31,0,312
10237,8541,-15798,-35,13,-2,312
10365,7766,-15915,-41,22,-3,313
11041,8158,-15395,-36,26,-9,313
11296,8178,-15807,-51,20,-3,313
11267,7933,-16817,-38,1,1,314
11434,8551,-16180,-30,13,3,314
10394,8786,-16513,-26,23,16,314
9070,8423,-17357,-23,18,10,315
10394,8737,-16837,-5,6,-12,315
11591,8011,-16406,-10,19,-14,315
12346,8649,-16013,-21,27,-5,315
11306,8551,-17141,-36,23,10,316
11797,9012,-16876,-40,-2,22,316
11385,7737,-16121,-17,-1,25,317
9492,8972,-15239,-11,33,7,317
9943,7864,-15964,-14,-12,-12,317
