ax,ay,az,gx,gy,gz,flex
4785,17229,14121,9,234,121,467
7031,16307,14385,6,307,112,465
8884,16778,15337,72,383,100,464
12267,19848,19916,149,488,126,464
16611,21299,26379,167,572,208,465
17386,25947,-32126,206,572,256,464
9992,-28429,-28351,129,572,344,460
-598,-18848,-29822,-95,572,428,446
-1657,-16073,29958,-344,393,526,430
-2569,-11660,22966,-499,299,572,407
-4030,-9336,17190,-572,278,572,390
-4059,-11278,12199,-572,290,544,382
-3471,-15475,8188,-572,334,453,380
-5138,-21467,5874,-572,353,388,378
-8747,-28184,4628,-572,267,308,375
-9502,31890,4403,-572,127,211,373
-9276,28879,3304,-572,19,155,372
-10188,27751,1225,-572,-96,129,373
-12287,27722,-558,-572,-222,102,374
-11002,26996,-1539,-572,-321,28,368
-5373,26938,-1863,-572,-168,-41,366
-6354,25908,-4932,-572,148,-40,370
-14572,23917,-8129,-572,307,-84,377
-16700,24270,-7962,-572,244,-244,382
-9894,23417,-5609,-572,340,-442,388
-3608,23898,-4510,-572,566,-572,394
1000,31458,1284,-572,572,-572,396
13660,-17868,6707,-572,572,-572,397
27104,-9601,6158,-572,424,-572,391
-4982,-6983,-990,-572,568,-572,378
-8101,-24144,-12091,-572,572,-572,360
-24379,-19515,-6893,-38,572,-572,357
-18231,-14916,9051,374,572,-572,368
-4492,-24105,13611,572,572,-572,377
-7453,-13641,13071,572,572,-158,385
-16211,-12229,19789,572,572,407,385
-23967,-29361,16523,572,572,572,381
-21849,-23752,16925,572,572,572,383
31880,5256,26947,572,572,572,388
1657,31340,-29900,299,572,572,391
-5413,20906,27673,-539,572,572,390
-7776,11639,17602,-572,572,572,387
-16592,607,10022,-572,572,572,383
-25810,-13131,6119,-572,572,572,379
-26634,-28920,5589,-572,355,572,382
-12532,26820,7972,-529,65,441,387
-4265,22230,7766,-524,260,355,388
-6138,19504,3471,-566,530,222,388
-9335,14993,-500,-572,572,10,388
-8031,11924,-1892,-572,523,-164,388
-3961,11287,-1686,-572,452,-234,389
-1490,10973,-2049,-572,426,-230,388
-2392,9620,-3696,-572,399,-246,388
-1667,8305,-4138,-508,384,-334,388
68,10718,-3765,-440,441,-371,389
1451,12552,-2883,-383,463,-384,388
5236,13081,-931,-319,518,-525,388
7992,16445,568,-255,572,-572,386
17190,22044,5266,-263,523,-572,384
27928,25280,5334,-348,494,-572,381
-25997,27546,-2127,-444,499,-572,368
-25987,31900,-12493,-287,505,-572,350
-12631,12110,-8325,-330,165,-572,342
764,6923,-27016,-247,540,-572,337
-18162,9208,-7874,341,572,-572,355
28928,8364,-21163,572,572,-572,370
-12974,12091,-28606,572,572,-572,396
4030,21818,-19633,572,288,-572,364
23652,-17848,-17710,572,531,-291,352
-30920,15062,23428,572,572,572,364
25527,28241,-16562,572,572,572,343
-10708,27996,28909,572,533,572,333
10267,-21192,26153,572,572,572,319
-1098,-10386,18249,572,572,572,320
17348,-28312,-25164,488,21,434,330
-4932,19848,31792,-1,137,306,330
362,12326,13964,24,572,178,331
-13542,9580,4540,96,572,105,331
-4991,7776,7158,86,288,-15,333
-1529,4599,9629,-9,185,-33,335
-490,1068,8364,-96,56,-73,336
3177,-666,7109,-99,-9,-120,338
3687,-254,5932,-128,-18,-191,343
4873,-696,4540,-108,0,-205,347
5874,951,5275,-4,83,-205,349
5923,5275,9433,14,153,-219,353
3157,7668,9649,-96,156,-235,356
-1294,5932,7246,-135,6,-285,357
3922,10375,7570,-64,-90,-388,356
