ax,ay,az,gx,gy,gz,flex
14111,20367,15925,-4,-33,28,542
19014,20760,17857,-9,-204,20,543
27526,21868,19651,42,-290,43,545
30831,28055,20240,120,-357,124,546
-30538,-29930,21240,111,-433,255,548
-27351,-24575,19749,33,-338,426,548
-30342,-19809,18308,-35,-108,572,548
30125,-15701,16455,-113,91,572,548
23172,-13455,13071,-218,220,572,543
19740,-14808,9865,-316,308,572,544
18632,-17583,6285,-402,494,572,543
13464,-19555,1029,-530,572,572,542
6040,-24016,-2127,-572,572,572,546
3383,-30302,-3912,-572,403,572,546
7570,28997,-7070,-572,248,572,545
14503,24486,-9610,-561,368,572,544
11532,21309,-10875,-463,544,572,544
5785,18308,-11277,-399,456,548,544
5883,16719,-10188,-346,152,503,544
8355,16396,-11767,-284,-44,509,544
10031,13728,-13238,-146,-75,534,542
7129,13248,-11757,52,-54,555,542
3961,15101,-8982,199,-88,553,542
1265,15582,-6295,308,-121,530,542
1745,17190,-2059,463,-106,462,541
6138,20681,5471,572,-77,349,543
10247,32243,9031,572,-56,275,546
14199,-25546,13591,572,-141,423,549
19544,-17368,24780,572,-207,572,550
18180,2363,32596,572,-144,572,542
18455,13777,-27557,572,-139,572,540
18847,21818,-24036,572,-192,572,550
26585,25231,-21143,572,-184,572,554
29085,26712,-21633,479,74,572,550
22584,21171,-23575,163,289,572,553
11120,7521,-27557,-34,303,572,555
4383,-8258,32664,-136,112,572,555
4255,-20172,26477,-247,-17,572,552
6697,-29116,21319,-456,-48,572,547
1078,28605,17112,-572,97,572,540
-3000,23603,14238,-572,164,572,536
-2941,22711,12885,-572,243,541,535
-2147,23741,11345,-572,384,389,535
-4599,22976,8198,-572,494,264,534
-5266,22299,6511,-572,469,135,533
-2461,21770,5648,-572,493,3,533
1755,21005,4608,-572,572,-117,533
1637,21113,2824,-572,572,-228,533
980,23554,3010,-572,572,-349,534
2843,28408,5020,-572,572,-466,534
7423,-32430,7825,-572,572,-572,534
12356,-26409,10845,-572,572,-572,535
7570,-20614,11365,-572,572,-572,538
5050,-6414,14297,-467,572,-572,541
22799,1274,25074,-128,572,-572,524
-31175,12012,-27635,351,572,-572,542
-29312,19288,16268,-299,488,-572,531
-17583,-20898,16729,-374,-88,-572,555
-16681,-27959,21515,33,477,-267,552
21868,-27253,24800,372,572,-266,553
8051,-26291,31880,340,268,-393,554
17376,32439,26810,154,-254,-469,552
24908,25702,18230,150,-373,-421,551
23564,24231,13552,230,-305,-311,548
20152,25290,13032,215,-264,-228,549
17082,23574,11973,122,-237,-116,549
14395,22329,9708,61,-180,-32,547
12277,21220,7737,39,-84,-9,546
