ax,ay,az,gx,gy,gz,flex
-31714,16700,-1441,207,78,334,486
30958,15288,-2510,174,-57,341,483
-32636,15052,-2167,200,-185,354,480
-30783,15278,-3383,246,-178,393,468
-30371,17367,-3804,293,-92,383,457
32517,16915,-1892,290,126,448,432
26241,17318,-441,238,286,572,399
22260,16219,2559,184,178,572,367
16327,14837,5177,148,92,572,340
8904,14768,6776,138,17,572,326
1451,13287,6276,71,-43,572,318
-4099,8629,3628,-10,-104,572,315
-7619,3343,372,27,-204,572,313
-13464,117,-1088,94,-270,572,312
-26300,-1510,205,146,-249,572,311
21398,-1627,3275,107,-273,271,311
15897,2883,7766,0,-284,-218,311
23742,14542,12454,-100,-120,-572,313
30243,30419,11071,-243,36,-572,314
-20593,-18260,3647,-294,6,-572,316
-833,-6453,990,-281,-1,-572,318
24917,2323,-4246,-371,-167,-572,322
26153,11375,-27614,-572,-500,-572,324
24829,29909,16564,-297,93,-572,323
14973,14582,27880,159,572,-203,325
32115,7933,-9845,278,-29,383,326
14003,13836,-3226,113,-160,572,328
-8189,19151,-2951,162,105,572,329
-27047,32508,1510,120,432,572,330
14768,-27086,1539,-31,518,572,331
568,-29577,2569,-174,266,572,331
-10904,30762,833,-230,84,572,330
-18847,23888,-147,-250,-25,572,330
-22515,17592,-431,-253,79,572,329
27782,7717,-6305,-282,161,572,326
13396,-568,-8796,-249,-14,310,325
11180,1892,-1627,-198,-109,-125,326
20329,9659,-813,-244,8,-572,327
-31321,25643,-774,-165,113,-572,328
-17945,-23673,2069,-159,197,-572,329
-9031,-5051,4167,-201,199,-572,331
2284,18592,5011,-204,91,-572,334
5962,-13632,-794,-475,-469,-572,338
9855,25584,-13630,-572,-572,-572,342
8541,-26556,14710,-572,-128,-572,342
23907,274,8758,-145,265,-65,341
11208,-2050,-24476,415,-167,487,341
-11974,-14132,-14582,344,-87,572,341
-28253,-18711,-13258,323,103,572,341
23486,-19613,-13052,245,152,572,341
16641,-21251,-13709,219,87,572,341
16964,-23202,-12993,246,169,572,341
15974,-24575,-11414,207,429,572,340
6178,-29410,-12846,116,572,572,340
3079,25270,-12856,28,488,572,340
5981,17631,-11846,31,468,572,340
3844,14258,-11748,22,468,572,339
-735,8864,-12865,13,428,572,338
-2775,3687,-13140,97,386,572,337
-4285,2010,-11493,164,384,572,336
-7197,2686,-8580,186,367,572,336
-9757,2510,-6893,186,349,572,335
-11100,2873,-5874,187,352,572,335
-14023,3079,-5677,132,349,566,335
-16347,1127,-6187,97,307,518,335
-17906,578,-5373,145,212,511,333
-19563,1294,-2118,163,150,503,333
-20308,3657,2961,80,127,508,332
-22495,2157,4491,7,160,515,331
-25761,4089,5599,-27,206,534,331
32705,5883,5854,-138,275,476,331
25448,7894,6736,-229,201,375,331
24252,9786,4716,-397,75,239,331
31048,9306,-1176,-500,-4,122,332
-29046,9061,-8070,-534,52,71,332
-31743,10522,-13552,-537,-26,-23,332
-30076,11394,-13974,-551,-166,-150,332
-30272,13062,-11385,-560,-128,-247,332
25026,16847,-8305,-553,-22,-380,333
9915,26722,49,-540,66,-572,334
-2941,-21241,11032,-562,165,-572,336
609,-5620,18916,-572,274,-572,340
28027,-15740,5520,-407,567,-572,347
12365,18504,6580,415,572,-572,365
-10709,18533,16739,572,194,-572,468
-27841,5314,-20859,572,572,-572,548
8031,-28449,-22407,-572,572,-572,535
-20259,-16710,22241,-572,-572,-234,534
12963,1166,5060,253,-572,182,531
-30243,1304,7697,130,378,33,524
11493,6531,1706,182,477,90,528
-2981,382,1882,48,362,-31,509
8207,1765,2922,182,199,-238,524
16356,4216,4962,316,197,-303,521
16670,9747,4491,276,332,-177,517
9404,12022,1176,176,261,-183,510
9580,9796,539,151,55,-261,504
10247,10080,1049,270,-170,-351,497
19583,10178,1314,276,-288,-460,494
-32685,7992,3863,195,-110,-463,493
-29606,8286,8511,288,102,-440,492
31213,10610,10169,290,-13,-435,494
-28567,8972,10728,234,-205,-409,494
-24938,10581,12218,197,-138,-318,500
