ax,ay,az,gx,gy,gz,flex
24339,20083,6344,62,-202,233,500
23103,21064,7982,113,-147,288,500
23152,22976,9168,132,-198,315,498
24751,25065,9404,95,-284,355,484
27389,28350,6795,61,-327,446,470
29507,29624,5766,67,-295,546,456
27585,30576,5648,93,-268,572,446
23260,30183,5305,118,-328,572,420
23476,28605,4844,142,-392,572,413
23192,27026,3343,191,-421,572,415
21828,25839,2049,231,-443,572,404
20593,23437,-588,281,-480,572,390
20446,22044,-2912,398,-524,533,374
22986,21976,-2275,477,-508,527,374
19563,18416,-1529,477,-374,572,368
12561,14189,-2490,505,-317,572,361
9659,11983,-1157,541,-352,536,346
6805,6972,1882,522,-311,546,355
1490,2422,5246,483,-257,549,352
-6128,-4304,10178,426,-239,498,344
-14258,-13130,16935,374,-295,418,346
-18749,-19848,26761,276,-284,322,355
-21554,-26604,-31636,86,-160,240,360
-22368,-30272,-32391,-116,0,123,357
-22956,-30811,28065,-291,51,6,359
-21907,-31772,23270,-442,38,-124,359
-22701,-29536,23290,-537,27,-261,366
-20112,-17004,25722,-572,3,-415,368
-10306,3118,23966,-572,-96,-530,375
5932,26447,15494,-572,-76,-555,377
2186,-2442,8443,-572,-186,-572,382
-26556,26290,4010,-572,-321,-572,391
-8552,26398,30498,-572,-67,-7,368
-12846,22946,-10659,-572,-91,528,369
-14533,12101,1815,-138,51,96,364
-3226,23319,-23407,553,102,-306,388
23417,15386,1019,164,69,104,380
1255,9198,-10639,16,434,239,389
-6580,8766,-21956,-88,-27,-72,389
12787,10080,-20632,-74,-365,-193,390
20583,9404,-19024,-49,-46,25,391
6050,9531,-22446,-24,138,127,389
706,9374,-21269,18,-21,20,390
8413,8796,-15984,77,-86,-45,390
9914,9139,-12463,26,20,30,391
5177,7403,-14768,-21,28,58,391
4236,6707,-16729,-13,-21,21,392
6217,7315,-16278,49,-8,0,392
6354,8845,-13493,17,29,28,393
4795,6844,-13748,4,32,31,394
4079,7207,-13042,7,9,4,395
5001,6923,-12797,20,0,-19,396
6756,6982,-11002,14,38,-10,401
7286,6197,-9816,-6,106,9,407
5216,6413,-9316,-2,137,13,416
4206,5746,-8345,9,107,-11,428
4559,5648,-5589,34,75,-65,442
6707,7943,-3736,-12,118,-96,460
6178,8600,-4285,-89,155,-88,476
6119,8001,-4746,-96,135,-83,487
7825,10247,-3706,-83,184,-91,493
8325,12012,-3667,-130,279,-98,494
8747,13464,-4216,-195,357,-111,493
11198,15013,-3716,-215,424,-113,494
13444,17563,-3628,-224,553,-113,497
13728,19122,-3549,-262,572,-139,503
12248,18592,-2108,-300,572,-164,510
16268,20093,-166,-272,572,-199,515
19897,24123,2049,-228,572,-239,520
15817,27143,3167,-292,536,-250,523
15866,25035,2667,-338,398,-246,524
18847,24976,2431,-254,388,-252,525
17210,26683,2402,-176,462,-246,525
14003,24025,3677,-134,420,-235,525
17739,23035,6374,-55,413,-233,525
17219,24358,7207,18,483,-197,525
12032,26241,8217,34,439,-162,525
13248,23397,9521,-22,336,-158,524
14954,20936,10384,14,277,-149,521
12954,20505,10512,58,302,-115,521
