ax,ay,az,gx,gy,gz,flex
9384,-4991,30605,260,1,12,448
9580,-2706,-32077,297,13,48,495
10031,-156,32694,269,40,93,509
10943,2549,-31185,192,92,184,511
9747,4246,-32185,9,143,265,508
9188,6001,31507,-146,155,287,507
7590,7109,29379,-270,221,277,506
6589,5609,27359,-367,261,287,506
4579,3687,24162,-396,268,285,505
3451,500,20799,-374,258,278,505
1117,-1990,17425,-292,290,271,503
88,-3177,14984,-257,242,269,502
-1059,-4922,12620,-239,182,238,501
-1137,-8031,10502,-187,142,191,501
78,-9992,9394,-117,158,156,502
205,-10208,8188,-95,207,127,505
-1598,-10885,6942,-120,263,104,507
-1765,-13032,6903,-131,283,66,508
-1578,-14297,6227,-120,305,37,508
-411,-14278,6648,-131,355,26,508
-3020,-15013,5893,-186,407,17,507
-3677,-15945,4089,-212,437,-4,504
-3951,-14670,1902,-235,504,-2,501
-6246,-13571,-353,-333,534,27,497
-10080,-13111,-3549,-476,424,48,486
-9198,-11875,-6795,-571,230,47,480
-1863,-9365,-8109,-572,220,93,477
-1480,-4658,-12650,-572,404,183,475
-8815,353,-18259,-572,399,168,472
-8649,3540,-21093,-572,240,101,469
-4952,9080,-21672,-572,224,92,468
-5717,17229,-23172,-572,301,84,466
-7433,23466,-25094,-572,321,8,463
-9168,26457,-27232,-572,261,-100,459
-4559,31331,-26614,-572,251,-182,455
-3491,-30577,-26594,-572,385,-253,452
-4540,-25605,-26457,-572,506,-340,451
-5305,-18250,-23800,-481,572,-447,450
-6619,-8768,-21730,-204,572,-572,451
-14199,11434,-21024,185,572,-572,454
-26084,-30577,-18014,572,572,-572,466
-19936,-25252,-5707,572,572,-572,489
-6687,-26733,9365,572,572,-572,516
16415,17925,-32568,572,572,-572,546
17454,-16956,3176,572,572,38,562
-20426,-29047,8335,572,572,572,554
18701,-22613,9208,20,-572,-572,552
-10641,-15199,-21565,350,-572,-389,551
12914,-6580,27791,536,572,301,549
-14013,-11953,-30695,266,481,190,547
-2755,-13130,-24830,313,-144,-25,544
14797,-13003,-22241,382,-238,-143,542
20103,-4157,-24634,192,161,58,537
6178,-6354,32743,-3,257,131,525
1314,-5913,27143,-86,13,35,498
6285,-5550,18563,-100,-197,-58,460
17180,-5118,15680,-29,-183,-68,433
18906,-6452,15807,41,230,37,397
