ax,ay,az,gx,gy,gz,flex
15749,17926,9080,110,106,43,388
15994,19759,11306,19,145,83,388
23084,20828,11757,-68,220,159,392
22829,22074,10237,-47,353,280,391
29664,26526,14454,-41,258,393,389
-31361,27232,18573,-106,346,572,387
-30587,28958,23878,-204,473,572,379
29556,32478,30850,-322,572,572,373
22123,23456,-29518,-353,377,572,375
-24664,24692,-13426,-345,190,572,380
-27125,-30449,-8218,-572,498,572,383
20642,-28959,-4119,-572,572,572,381
-2981,-25625,637,-572,572,572,378
-16886,-24487,-14612,-572,385,549,375
-18926,-32401,31105,-572,133,233,375
-8649,27614,21927,-572,170,124,377
-13415,27595,15778,-572,432,101,379
-20436,27565,12581,-572,450,-62,380
-21201,30693,8531,-572,293,-234,382
-17347,31772,2245,-562,274,-280,383
-19053,30370,-6893,-475,441,-253,384
-18494,29095,-11483,-270,408,-362,385
-9551,25957,-8198,-91,460,-413,388
-6580,24133,-3912,58,572,-354,390
-3618,25594,657,166,572,-338,391
607,27516,2883,269,572,-341,392
7550,31056,7864,480,572,-353,393
16621,-28929,18641,572,507,-446,394
28889,-24791,29320,572,464,-526,396
-21575,-21163,-29930,572,215,-572,398
-69,-22977,-26046,572,230,-476,400
-520,30742,-15573,572,365,-4,401
-9797,25927,-3835,572,213,224,402
-2129,11542,3794,572,192,434,402
-8003,9561,17543,572,372,572,402
29056,10404,29654,340,460,572,399
3696,3873,-31695,-36,341,572,390
-20357,3236,31870,-413,159,572,383
-31007,5648,21210,-572,60,572,379
27076,11130,9531,-572,60,572,377
21761,19897,-3992,-572,74,480,372
23967,18965,-23320,-572,35,152,370
32273,19602,30478,-572,52,-59,370
-25006,21230,24712,-572,206,-142,374
-21544,25565,23976,-572,319,-194,376
-21760,30684,20053,-572,330,-273,378
-21269,32253,9492,-572,325,-350,378
-15641,31066,-3373,-499,408,-333,378
-12434,28928,-10286,-297,506,-317,378
-5883,27850,-8600,-90,572,-296,379
-941,27702,-3873,52,572,-234,381
3549,29968,-1716,176,572,-171,383
5550,31458,4089,370,572,-152,384
8070,-29920,14964,572,506,-329,388
24898,-26144,23005,572,384,-453,394
31095,-24948,25182,572,447,-330,399
-25958,-22300,-28753,572,363,-240,406
-23065,-27439,-17446,572,333,-77,411
-21702,29154,-3962,572,273,46,414
-11003,15670,12551,572,86,68,416
-942,6815,28693,572,149,424,417
-13210,1137,-29861,415,197,572,415
32596,-3628,-32323,82,82,572,405
12777,68,-32362,-162,51,572,398
-7796,10600,30517,-506,24,572,392
-20612,16033,16886,-572,-57,572,385
-24457,17219,-2335,-572,-96,572,383
-23633,16376,-15289,-572,-24,539,383
-24437,16474,-23536,-572,72,364,385
-23064,16219,-29498,-572,133,157,387
-19808,17190,32527,-572,126,-4,390
-15807,17288,27928,-572,155,-54,391
-16710,18161,20701,-572,266,-24,391
-21005,18592,10914,-572,339,-73,392
-21475,18592,3481,-517,320,-200,392
-18298,19092,1284,-380,331,-316,393
-14140,19563,-323,-294,347,-391,395
-9757,18092,-1333,-226,402,-410,396
-7011,16641,-990,-123,444,-404,398
-4922,16052,1392,-32,447,-409,399
-1108,16386,5167,33,492,-383,400
-353,17327,8659,70,572,-296,401
-1647,21269,11914,145,572,-270,401
-29,28595,16415,322,572,-365,402
5001,32439,23554,572,534,-572,402
19759,-22330,32733,572,360,-572,408
32763,-18721,-31911,572,346,-572,411
-27939,-18515,24074,572,310,-572,411
-21035,-21810,20299,572,261,-572,413
-21653,-17123,25310,572,572,-303,417
32449,-22202,30997,572,572,-77,419
31929,-28772,30644,572,540,59,421
-25987,-28527,-31214,572,513,189,423
-19201,-13377,-18289,572,572,486,431
-26792,-12769,-11356,515,572,572,432
21868,-16809,-15818,165,572,572,423
22682,-14632,-10994,98,524,572,422
32478,-6640,-3668,-202,572,572,419
10041,-10729,-5541,-572,572,572,407
-9698,-14279,-8395,-572,487,572,396
-18308,-22026,-21143,-572,68,572,394
-15690,-32097,-32234,-572,-128,521,396
-11453,26585,24986,-572,-98,343,399
-9453,23662,19749,-572,0,211,405
-7148,20760,15896,-572,40,110,409
-5511,18465,12552,-572,45,45,416
-2696,17739,10178,-572,90,11,423
-3422,14984,7344,-572,155,-7,423
-4952,13101,4667,-541,152,-26,424
-5736,11316,2069,-526,146,-56,424
-7080,8482,-1578,-513,203,-76,424
-7776,4569,-3402,-439,262,-100,424
-7943,2971,-4805,-330,319,-151,424
-9296,2392,-5373,-214,367,-225,424
-6903,3128,-1578,-77,346,-332,424
1049,7354,4383,0,354,-402,425
6540,6589,6374,23,461,-350,425
8600,9345,7452,109,529,-319,425
10424,10267,9188,227,484,-364,425
17278,12326,12473,348,385,-444,425
25202,14091,16817,412,438,-413,425
24751,16033,19916,457,505,-303,425
25123,16278,21799,516,452,-275,425
26849,17249,23231,572,396,-300,423
29566,14562,25212,572,445,-200,421
24633,12630,31703,572,541,-13,418
17602,17553,-28419,572,518,11,418
16278,12356,-25144,572,434,-37,422
11051,10737,-19731,572,358,11,426
7423,15886,-20202,572,106,0,433
7629,16719,-23065,444,-93,-113,444
6609,15513,-28841,291,-289,-156,451
8531,14336,29046,181,-448,-140,453
12228,14189,23290,164,-460,-102,455
12316,15376,20867,129,-327,-42,460
11385,16435,18308,89,-163,39,462
9188,15033,16866,34,28,105,463
6374,13601,14670,54,131,122,465
3500,13846,13150,140,117,87,469
2549,15984,13258,200,33,36,477
4599,17023,15180,155,19,8,488
