ax,ay,az,gx,gy,gz,flex
7393,17769,8462,-19,23,0,322
9825,17523,9659,-7,-11,-3,323
10414,18328,11149,-8,16,17,325
11316,19200,12552,-57,25,54,328
10806,18445,11855,-93,38,113,330
12385,19740,11247,-84,5,159,330
18279,22701,12052,-132,-62,287,331
21613,22799,12267,-185,-153,432,332
25270,22564,15003,-177,-251,552,333
28252,25849,18730,-193,-269,572,334
31664,27771,21171,-335,-139,572,336
25447,22221,18426,-393,-17,572,338
27879,20818,18975,-351,-7,572,339
26526,19338,18622,-338,46,572,340
23044,15445,16729,-313,36,572,341
20004,12924,14464,-219,-48,572,342
20671,13052,14385,-221,-43,572,342
12454,7992,10375,-253,-9,572,344
7639,4197,7403,-233,-56,519,345
4314,-666,3471,-220,-42,437,346
3157,-7256,-411,-128,-22,403,347
2765,-10963,-1304,-61,76,402,348
-3049,-13983,-5619,-89,204,373,347
-7335,-21573,-10208,-40,64,291,343
1598,-23231,-7452,52,-4,228,340
3942,-25408,-6962,59,89,255,337
480,-31350,-9208,110,26,246,335
13081,-30723,-4854,223,-76,251,336
14130,32018,-3412,115,88,380,336
6756,22879,-8600,97,-11,387,336
7178,20878,-10541,106,-89,413,336
-6354,16466,-20740,-122,-127,372,333
-16131,17162,30930,-34,-146,94,331
-24388,-20436,24095,301,-57,-319,332
-18102,32184,-27330,572,-88,-572,333
7884,32488,-1784,572,344,-572,339
24457,-1040,7285,572,572,-572,345
9454,-3904,18220,572,572,-572,346
-18221,9649,16033,-216,-572,76,345
8825,15346,24123,-76,15,449,344
-25290,8256,18435,-93,157,211,343
-11649,-1470,13130,29,81,55,344
-5491,-441,22652,134,-186,36,345
2157,2226,-27782,78,-236,29,345
1931,245,31566,-76,-54,21,345
1745,-2314,20514,-76,-138,12,344
4304,774,18475,-31,-268,33,344
6511,2706,16553,-95,-244,73,343
4559,-1225,8963,-79,-55,54,342
